Module	Section	Sample Name	Source
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw.fastq.gz_trimming_report.txt
Cutadapt	all_sections	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw	/tmp/test194/work/bc/ba8b5361ace200074a1a30cd7d397b/mqc_in/Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw.fastq.gz_trimming_report.txt
