"","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10"
"ENSMUSG00000001750",2023.43393823719,233.185557674999,714.855438622535,3184.12743602809,2400.91464157406,2142.28286228091,3592.15361905927,6244.04575003739,1218.10359907406,1823.37672663476,6716.95660600128,3541.88657541749,5521.59888430478
"ENSMUSG00000003053",1867.75245193799,2100.13703289256,30.6824001105056,616.905333535568,4231.74586729016,1380.08383179597,1126.96859191247,6048.61837091977,2275.59940924454,1546.63785660178,6054.179927074,2683.21172790137,2566.71771270475
"ENSMUSG00000003228",710.420929422532,2288.36575888978,80.1327282896891,1100.06284926811,2293.21603376149,2209.32805282016,3485.57530617012,7655.69899988909,2634.37571732302,3501.47587710272,6855.81146245108,1501.02253498296,3487.37945662901
"ENSMUSG00000003555",4005.67624853787,358.172879357878,779.593945603054,1412.2137363482,4713.84566653926,1070.32575891287,2477.3124536928,5694.44024633216,2.0223879623616,3663.2382354327,6765.58843516281,3054.6853867599,2034.68637394622
"ENSMUSG00000003559",2421.20459648016,3856.1187252161,3498.54608495653,584.370462048044,1331.29363671047,4167.93690570997,2141.05513688054,5117.99909529908,491.779871461069,1411.53456350799,3010.06097141014,995.361782851042,1163.6988932686
"ENSMUSG00000003680",4550.63887923986,715.56258216397,4679.49679487151,1996.9631534088,3669.4322443044,371.88285064526,4329.89239181418,2173.62811359911,276.377306235381,1139.30086543951,4052.42104049389,1278.95550190186,5743.40824517005
"ENSMUSG00000004054",2305.22997630023,4001.69168073392,1743.93260861004,2219.85785976828,3265.40307292283,91.8660166339341,4171.68219119648,3030.30684241118,1782.30974232478,4053.87932123423,413.920880164846,1878.65925183946,6208.32152761298
"ENSMUSG00000004231",1500.28375923051,2877.28351978065,1419.10406517758,3246.32583112873,4447.66419060378,1464.66323963808,2015.88013363644,3301.39318742159,181.675351283907,3601.61886859876,2444.88563684514,2366.15185209434,1437.2856674389
"ENSMUSG00000005986",3587.18132306809,4875.06000463121,467.544936700451,2667.20256576944,2317.80495922668,3131.08162981212,3293.64416528213,6795.74231423968,1900.16849145714,1087.27179030563,1675.07901248045,4988.15988425134,4383.20614537093
"ENSMUSG00000006270",3849.56165233708,1741.58257062596,3431.99153574353,65.0909225905066,2183.71595574365,4205.25196566609,3079.24774259824,1249.1321441094,106.034566310964,2976.15404892006,414.467085076857,2284.59521737177,5485.90582830602
