"","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10"
"ENSMUSG00000001750",2061.5360016989,347.863959640118,4299.16694148521,1450.46908847745,1362.87419824983,981.820492830196,2499.405012355,1115.35041945732,3301.80688919026,1342.42454411571,847.412929864666,989.037050674248,5151.94624142473
"ENSMUSG00000003053",592.202779175481,1300.93899664251,2981.7945680565,344.734319569343,1367.00381379436,4090.07819509578,2558.22543212053,3213.53857274011,1662.53199825744,1978.03053896829,460.107220665149,792.670821796331,2144.04997826797
"ENSMUSG00000003228",2508.36882701334,2098.42407681878,3659.47690511908,3720.10259306792,102.616013977294,3355.23200001161,1547.06885840424,2986.82886307975,705.05015194438,4288.13525839166,1100.31349018366,262.976137874296,5180.86589105312
"ENSMUSG00000003555",4270.74461633101,4138.74466048913,2970.71003501089,1811.84090573897,15.921804536954,2317.87699362692,4358.81671935929,4073.46624436708,398.639444487897,5313.55205114324,890.703533142316,420.266675277163,1892.06350253451
"ENSMUSG00000003559",260.838746184786,2674.47218358791,3646.33269645717,2233.2256104907,1467.04635070278,1674.73893200697,3248.12127160508,3695.02562203705,4346.08539935395,1284.92905495522,3214.07905146512,2667.53043690482,1153.00172970895
"ENSMUSG00000003680",1694.65063334842,342.456865176973,2578.37705235258,4227.97694740608,4052.7798328204,3485.71858503236,1943.49636191966,2870.87901630431,425.663060292826,2715.75265664273,541.572232459077,2968.9150643854,3522.44502269519
"ENSMUSG00000004054",2611.2454370104,2728.54447837755,1482.73329188399,4085.69819946271,1866.34963564603,445.279570190106,3099.5401134295,1998.02066679463,2914.48318183351,2589.72662857106,4052.17479237069,3343.99553960088,4527.060827795
"ENSMUSG00000004231",4060.59879359402,1011.85682056477,1242.02593218902,141.728882683779,3754.66252819438,688.160892269936,4192.40247031445,2565.14515594955,2887.83749195294,2296.21468587908,2714.54131594413,3627.64072451257,250.872430824742
"ENSMUSG00000005986",1825.36706377004,774.561679446962,544.535696461434,3613.65196971048,4200.76846718422,2998.31591443295,823.986874007244,88.6491457486531,96.7042593040235,1292.30452473132,3185.89241902608,845.492711039556,125.265174184885
"ENSMUSG00000006270",3875.27692505188,2243.74448918599,4920.61991183108,4635.68687477109,3856.68683464944,2796.29615738137,4844.66996945549,1346.10491650726,1745.55224695644,3362.52761348367,436.633394697508,282.062404036201,3559.66374898584
