"","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10"
"ENSMUSG00000001750",2172,221,708,4663,2488,2267,3939,3883,1812,2099,4532,3466,4426
"ENSMUSG00000003053",1996,1979,30,915,4356,1454,1224,3757,3415,1774,4166,2643,2059
"ENSMUSG00000003228",758,2152,78,1639,2355,2324,3773,4753,3965,4011,4750,1482,2799
"ENSMUSG00000003555",4305,340,775,2061,4894,1134,2724,3542,3,4221,4541,2983,1631
"ENSMUSG00000003559",2601,3658,3471,854,1381,4414,2351,3184,731,1626,2025,973,932
"ENSMUSG00000003680",4878,677,4618,2936,3795,393,4735,1351,412,1310,2750,1254,4607
"ENSMUSG00000004054",2469,3782,1717,3271,3373,97,4554,1883,2661,4658,282,1844,4981
"ENSMUSG00000004231",1599,2702,1377,4852,4560,1539,2177,2049,274,4122,1702,2340,1154
"ENSMUSG00000005986",3863,4639,467,3871,2413,3324,3635,4231,2812,1255,1115,4859,3508
"ENSMUSG00000006270",4171,1681,3556,92,2306,4517,3484,773,150,3463,264,2201,4465
"ENSMUSG00000006435",1656,4260,3375,1888,4856,3685,754,1450,2194,3670,823,3257,1386
"ENSMUSG00000006456",1924,934,1204,3500,3483,2992,492,40,3422,292,3420,850,4922
"ENSMUSG00000006457",3748,610,3515,3123,2358,3762,3953,921,2618,531,710,1375,3480
"ENSMUSG00000006463",1307,3864,2059,3522,3681,2137,1544,3168,472,4109,3242,411,4663
"ENSMUSG00000006464",1101,2011,1697,3499,4194,2904,4780,2758,525,1305,472,2519,894
"ENSMUSG00000007338",2786,2520,4448,469,1451,138,2528,2633,1650,1281,948,4842,2113
"ENSMUSG00000009378",1668,1217,1181,2396,1720,1351,2099,3489,3997,3759,832,405,2045
"ENSMUSG00000010095",3824,1000,2869,2719,3787,1626,701,2072,1220,862,3513,2265,92
"ENSMUSG00000010097",3136,2615,2029,2917,4210,3711,1924,91,1787,4353,2565,80,2914
"ENSMUSG00000010110",4460,3291,616,3518,2588,4000,4543,4478,4993,4907,2692,1054,4874
"ENSMUSG00000010663",2242,1028,1695,558,597,4037,1708,472,3734,440,4315,4058,3628
"ENSMUSG00000011752",740,3673,3578,1219,1232,4061,4758,3355,4681,3208,2471,1261,4578
"ENSMUSG00000012443",3805,3793,358,313,1317,1088,4814,1932,2105,1537,3721,2662,300
"ENSMUSG00000013662",4129,1355,158,1103,1098,4413,1191,4838,1986,2251,759,4576,4522
"ENSMUSG00000013663",4213,1699,1220,4390,661,3643,1688,3078,3853,3159,3478,1811,3471
"ENSMUSG00000015176",3116,3911,4599,2816,3180,3930,2526,4597,4898,3691,3077,2519,1001
"ENSMUSG00000016495",1962,1884,3468,3669,2199,62,2927,1020,3082,4017,3013,723,4384
"ENSMUSG00000016496",3243,0,4424,1894,3164,4557,625,4498,2143,4985,2175,3970,2775
"ENSMUSG00000016498",1588,4409,4653,2729,2746,276,3183,2202,890,2649,3114,4167,2000
"ENSMUSG00000018820",2079,3986,2298,1241,2920,2865,4284,552,4132,1065,4690,1696,4583
"ENSMUSG00000018821",265,2989,275,3600,4610,1182,1115,3540,3010,3877,4603,2078,273
"ENSMUSG00000018822",3741,886,3166,3300,1459,488,972,1362,3492,4926,208,2698,2560
"ENSMUSG00000023307",3619,2054,3374,2389,4471,4073,3760,3382,849,2171,220,4170,4580
"ENSMUSG00000024639",4377,3805,579,3658,2203,3628,4490,982,4121,1026,3717,3750,2311
"ENSMUSG00000024640",2631,3285,2231,2662,1573,3027,3044,999,2071,2353,4517,3335,789
"ENSMUSG00000024642",1337,793,1277,252,551,1490,3117,3784,1677,2787,4361,3436,4990
"ENSMUSG00000024650",4120,1175,2679,408,781,2174,3860,3563,1806,1136,4000,4552,856
"ENSMUSG00000024653",954,4465,477,987,1941,1916,3883,2618,20,3353,2859,3411,195
"ENSMUSG00000024654",1694,3654,379,3778,3522,1890,4209,403,3604,1760,517,4505,724
"ENSMUSG00000024658",760,2276,4845,3111,843,3409,3682,1960,1361,2434,2406,1131,2874
"ENSMUSG00000024659",4541,1507,1857,678,3889,1356,4096,4014,3283,1035,1940,4819,2894
"ENSMUSG00000024660",171,1229,3820,4611,2170,1953,1680,393,3138,641,278,4892,4562
"ENSMUSG00000024661",187,479,4105,3630,2225,4085,4978,2178,2555,2826,4686,2785,2971
"ENSMUSG00000024663",3844,1306,2719,3269,4310,3167,1097,4327,2344,3419,4215,899,3753
"ENSMUSG00000024664",3950,2955,3674,4978,2663,4180,2927,2495,1121,1606,1760,3052,610
"ENSMUSG00000024665",1437,402,23,1747,3318,2952,4238,548,3297,131,3150,2059,2728
"ENSMUSG00000024666",1335,2744,2603,1439,1983,4516,3977,4798,3740,3771,779,497,3991
"ENSMUSG00000024667",2335,1728,790,4670,407,1478,2144,703,2998,4959,1146,1002,1749
"ENSMUSG00000024668",828,3773,1657,1762,1730,4278,306,2230,1278,926,987,2619,3604
"ENSMUSG00000024669",4599,3270,1247,277,1950,1300,1955,4710,1453,717,1980,1247,3669
"ENSMUSG00000024670",2632,2574,4945,602,1660,2690,2135,4411,4461,3244,3664,135,2322
"ENSMUSG00000024672",3139,4035,3362,3691,2853,2817,1212,3551,2411,4438,2947,2353,3682
"ENSMUSG00000024673",2723,2480,430,4760,2936,2562,4603,4762,1010,176,4078,3945,2777
"ENSMUSG00000024675",2328,340,3037,1711,1732,4349,194,3812,1056,141,985,4877,2868
"ENSMUSG00000024677",3991,906,3019,1266,329,4179,2701,14,2996,1035,3193,62,2178
"ENSMUSG00000024678",3706,2574,50,1346,1135,524,4436,1742,3922,1795,2745,1953,3502
"ENSMUSG00000024679",518,7,2034,4479,1744,2038,4008,2686,4487,4546,3369,2675,872
"ENSMUSG00000024680",1161,1448,2536,2408,4155,2693,4095,4535,2663,694,2892,2066,3364
"ENSMUSG00000024681",872,412,686,1383,4737,3298,2524,3543,1692,4798,168,3372,1227
"ENSMUSG00000024682",490,4390,4961,1854,3475,2374,4259,4774,4816,3109,696,3367,1007
"ENSMUSG00000024683",4890,3948,4795,1475,4584,2491,3769,1217,678,2452,883,3623,1538
"ENSMUSG00000024687",4779,2801,3888,1336,4135,3777,1781,4872,908,1511,2436,3904,363
"ENSMUSG00000024691",3931,1675,2307,2836,2473,1704,3627,1559,2927,1942,4259,880,424
"ENSMUSG00000024694",3688,4146,941,3750,1803,2249,3977,3402,1123,463,4480,2084,1078
"ENSMUSG00000024695",552,3013,3965,2061,1336,1311,715,2200,2962,696,3736,2154,3752
"ENSMUSG00000024696",2390,1363,693,680,3186,4918,4426,541,4272,4839,3351,224,4001
"ENSMUSG00000024697",4074,4509,231,4959,511,154,1308,4845,3819,90,2718,4669,4414
"ENSMUSG00000024712",64,3724,1753,3361,1792,3437,2810,1108,922,101,633,2850,587
"ENSMUSG00000024713",4556,1123,342,4581,1756,990,1820,4937,3051,827,976,3605,3485
