"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10","LRT.p.value","Log2fc_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Stat_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","P.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Adj.p.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2fc_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Stat_(Basal Control & non-irradiated)v(Space Flight & space radiation)","P.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Adj.p.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2fc_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Stat_(Ground Control & non-irradiated)v(Space Flight & space radiation)","P.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Adj.p.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2fc_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Stat_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","P.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Adj.p.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2fc_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Stat_(Space Flight & space radiation)v(Basal Control & non-irradiated)","P.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Adj.p.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2fc_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Stat_(Space Flight & space radiation)v(Ground Control & non-irradiated)","P.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Adj.p.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","All.mean","All.stdev","Group.Mean_(Basal Control & non-irradiated)","Group.Mean_(Ground Control & non-irradiated)","Group.Mean_(Space Flight & space radiation)","Group.Stdev_(Basal Control & non-irradiated)","Group.Stdev_(Ground Control & non-irradiated)","Group.Stdev_(Space Flight & space radiation)","Updown_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Updown_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Updown_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Updown_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Updown_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Updown_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Sig.1_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Sig.1_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Sig.1_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Sig.1_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Sig.1_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Sig.1_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Sig.05_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Sig.05_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Sig.05_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Sig.05_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Sig.05_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Sig.05_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Log2_P.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2_P.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2_P.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2_P.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2_P.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2_P.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Log2_Adj.p.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2_Adj.p.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2_Adj.p.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2_Adj.p.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2_Adj.p.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2_Adj.p.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)"
"ENSMUSG00000001750","Tcirg1","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3","NM_001136091|NM_001167784|NM_016921|NP_001129563|NP_001161256|NP_058617|XM_011248632|XP_011246934","27060","10090.ENSMUSP00000120531","GO:0045851|GO:0051453|GO:0098771|GO:0030003|GO:0030004|GO:0042592|GO:0055067|GO:0055080|GO:0019725|GO:0048878|GO:0009987|GO:0006873|GO:0055082|GO:0006885|GO:0065008|GO:0050801|GO:0065007|GO:0051452|GO:0030641|GO:0007035|GO:0015318|GO:0005488|GO:0003824|GO:0008324|GO:0015077|GO:0019899|GO:0015075|GO:0022804|GO:0005215|GO:0016462|GO:0022857|GO:0015078|GO:0016787|GO:0016818|GO:0005515|GO:0016817|GO:0017111|GO:0022890|GO:0016887|GO:0022853|GO:0098588|GO:0098796|GO:0043231|GO:0005774|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0016469|GO:0043229|GO:0098805|GO:0005737|GO:0032991|GO:0005622|GO:0043227|GO:0005886",2024.43393823719,234.185557674999,715.855438622535,3185.12743602809,2401.91464157406,2143.28286228091,3593.15361905927,6245.04575003739,1219.10359907406,1824.37672663476,6717.95660600128,3542.88657541749,5522.59888430478,0.999401501428124,-1.22378140303644,-1.58088215921514,0.113904984297788,0.999266563454149,-1.29024407815542,-1.75689051274938,0.0789364730498591,0.999617084268689,-0.0664626751189859,-0.0905130185639716,0.927879549099675,0.993529904020888,1.22378140303644,1.58088215921514,0.113904984297788,0.999266563454149,1.29024407815542,1.75689051274938,0.0789364730498591,0.999617084268689,0.0664626751189859,0.0905130185639716,0.927879549099675,0.993529904020888,3028.45551038052,2058.54841155323,1539.901,3595.849,3765.384,1332.352,1875.605,2350.853,-1,-1,-1,1,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.13409721645969,-3.6631641299705,-0.107990558063766,-3.13409721645969,-3.6631641299705,-0.107990558063766,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000003053","Cyp2c29","cytochrome P450, family 2, subfamily c, polypeptide 29","NM_007815|NP_031841|XM_006526636|XP_006526699","13095","10090.ENSMUSP00000003137","GO:0050896|GO:0051716|GO:0070887|GO:0042221|GO:0055114|GO:0009056|GO:0044237|GO:0009987|GO:0006082|GO:0044248|GO:0044281|GO:0071704|GO:0008152|GO:0016705|GO:0005488|GO:0003824|GO:0097159|GO:0046906|GO:1901363|GO:0008395|GO:0016491|GO:0004497|GO:0020037|GO:0005737|GO:0043227|GO:0110165|GO:0043226|GO:0043231|GO:0005622|GO:0043229",1868.75245193799,2101.13703289256,31.6824001105056,617.905333535568,4232.74586729016,1381.08383179597,1127.96859191247,6049.61837091977,2276.59940924454,1547.63785660178,6055.179927074,2684.21172790137,2567.71771270475,0.999401501428124,-1.4701413014334,-1.66047763010185,0.0968184044639585,0.999266563454149,-1.39057332017759,-1.65553907413461,0.0978151971693664,0.999617084268689,0.0795679812558053,0.0947449300913686,0.924517429417639,0.993529904020888,1.4701413014334,1.66047763010185,0.0968184044639585,0.999266563454149,1.39057332017759,1.65553907413461,0.0978151971693664,0.999617084268689,-0.0795679812558053,-0.0947449300913686,0.924517429417639,0.993529904020888,2503.24927030165,1883.34073358603,1154.869,3197.854,3026.269,992.4601,2365.6317,1749.9949,-1,-1,1,1,1,-1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-3.36857487052846,-3.35379756122707,-0.113227576666905,-3.36857487052846,-3.35379756122707,-0.113227576666905,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000003228","Grk5","G protein-coupled receptor kinase 5","NM_018869|NP_061357|XM_006526697|XM_011247149|XM_017318066|XM_036161439|XP_006526760|XP_011245451|XP_017173555|XP_036017332","14773","10090.ENSMUSP00000003313",NA,711.420929422532,2289.36575888978,81.1327282896891,1101.06284926811,2294.21603376149,2210.32805282016,3486.57530617012,7656.69899988909,2635.37571732302,3502.47587710272,6856.81146245108,1502.02253498296,3488.37945662901,0.999401501428124,-1.90430553486675,-2.39584367443131,0.0165821608013739,0.728610095817943,-1.78321470142811,-2.36478291602995,0.0180406421707822,0.628678962596146,0.121090833438639,0.16062676710525,0.872387371539141,0.993529904020888,1.90430553486675,2.39584367443131,0.0165821608013739,0.728610095817943,1.78321470142811,2.36478291602995,0.0180406421707822,0.628678962596146,-0.121090833438639,-0.16062676710525,0.872387371539141,0.993529904020888,2908.91274669229,2208.82088652635,1045.746,3911.955,3597.013,929.4984,2563.6347,1997.5457,-1,-1,1,1,1,-1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,-5.91422417484053,-5.79260549640794,-0.196959208849233,-5.91422417484053,-5.79260549640794,-0.196959208849233,-0.456781109296689,-0.669604607683216,-0.00936470342312137,-0.456781109296689,-0.669604607683216,-0.00936470342312137
"ENSMUSG00000003555","Cyp17a1","cytochrome P450, family 17, subfamily a, polypeptide 1","NM_007809|NP_031835","13074","10090.ENSMUSP00000026012",NA,4006.67624853787,359.172879357878,780.593945603054,1413.2137363482,4714.84566653926,1071.32575891287,2478.3124536928,5695.44024633216,3.0223879623616,3664.2382354327,6766.58843516281,3055.6853867599,2035.68637394622,0.999401501428124,-1.09000839725565,-1.01876717776185,0.308313511452273,0.999266563454149,-0.921325890526075,-0.90767894399094,0.36404787173857,0.999617084268689,0.168682506729576,0.166193964378056,0.868004309125371,0.993529904020888,1.09000839725565,1.01876717776185,0.308313511452273,0.999266563454149,0.921325890526075,0.90767894399094,0.36404787173857,0.999617084268689,-0.168682506729576,-0.166193964378056,0.868004309125371,0.993529904020888,2772.67705804524,2111.48738629808,1639.914,3489.981,3105.044,1636.224,2100.612,2474.273,-1,-1,1,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.69752997975931,-1.45779991979661,-0.204225890076626,-1.69752997975931,-1.45779991979661,-0.204225890076626,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000003559","As3mt","arsenite methyltransferase","NM_020577|NP_065602|XM_006527235|XM_011247302|XM_030251005|XM_036161647|XP_006527298|XP_011245604|XP_030106865|XP_036017540|XR_003952795","57344","10090.ENSMUSP00000003655","GO:0008168|GO:0016740|GO:0016741|GO:0003824",2422.20459648016,3857.1187252161,3499.54608495653,585.370462048044,1332.29363671047,4168.93690570997,2142.05513688054,5118.99909529908,492.779871461069,1412.53456350799,3011.06097141014,996.361782851042,1164.6988932686,0.999401501428124,-0.300367350700075,-0.410110157960894,0.68172514152956,0.999266563454149,0.872909260631292,1.25608818286471,0.209084000086167,0.999617084268689,1.17327661133137,1.68831345758923,0.0913510732439681,0.993529904020888,0.300367350700075,0.410110157960894,0.68172514152956,0.999266563454149,-0.872909260631292,-1.25608818286471,0.209084000086167,0.999617084268689,-1.17327661133137,-1.68831345758923,0.0913510732439681,0.993529904020888,2323.38159429229,1493.3190803582,2591.06,3190.571,1415.487,1469.6433,1753.9113,953.3905,-1,1,1,1,-1,-1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.552737905314669,-2.25784542932294,-3.45243451122678,-0.552737905314669,-2.25784542932294,-3.45243451122678,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000003680","Taf6l|Gm2518","TATA-box binding protein associated factor 6 like|interferon induced transmembrane protein 2 pseudogene","NM_001177798|NM_146092|NP_001171269|NP_666204|NR_015538","225895|100039957","10090.ENSMUSP00000135193","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006367|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0044267|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0016570|GO:0044237|GO:0032774|GO:0016043|GO:0034641|GO:0043543|GO:0010604|GO:0044238|GO:0006464|GO:0018130|GO:0048522|GO:0071840|GO:0034654|GO:0051276|GO:0050794|GO:0019438|GO:0006325|GO:0006473|GO:0019222|GO:0006475|GO:0031323|GO:0051173|GO:0006725|GO:0018394|GO:1902680|GO:0043412|GO:0016070|GO:0044260|GO:0006357|GO:0036211|GO:0018193|GO:0009058|GO:0009891|GO:0006355|GO:0009893|GO:1901360|GO:0009889|GO:0045935|GO:0044271|GO:0016573|GO:0010557|GO:0010556|GO:0010468|GO:0019538|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0018205|GO:0009059|GO:1901564|GO:0044249|GO:0031328|GO:1901576|GO:0016569|GO:1901362|GO:0009987|GO:0051252|GO:0018393|GO:0080090|GO:0006352|GO:0090304|GO:0031326|GO:0060255|GO:0006996|GO:0019219|GO:0065007|GO:1903506|GO:1903508|GO:0051254|GO:0006366|GO:2000112|GO:0003713|GO:0098772|GO:0003712|GO:0140110|GO:0016251|GO:0031974|GO:0043233|GO:0005634|GO:0000428|GO:0043231|GO:1902494|GO:0005654|GO:1990234|GO:0070013|GO:0090575|GO:0110165|GO:0043226|GO:0005669|GO:0043229|GO:0061695|GO:0016591|GO:0032991|GO:0030880|GO:0005667|GO:0005622|GO:0055029|GO:0043227|GO:0031981",4551.63887923986,716.56258216397,4680.49679487151,1997.9631534088,3670.4322443044,372.88285064526,4330.89239181418,2174.62811359911,277.377306235381,1140.30086543951,4053.42104049389,1279.95550190186,5744.40824517005,0.999401501428124,0.179553722229574,0.204107802611853,0.838269257084824,0.999266563454149,0.257365644762697,0.308386989608821,0.757787880672315,0.999617084268689,0.0778119225331239,0.0932337318161933,0.925717876974988,0.993529904020888,-0.179553722229574,-0.204107802611853,0.838269257084824,0.999266563454149,-0.257365644762697,-0.308386989608821,0.757787880672315,0.999617084268689,-0.0778119225331239,-0.0932337318161933,0.925717876974988,0.993529904020888,2691.61230532983,1881.67470539886,2986.665,2637.209,2499.093,1953.553,1758.529,2303.076,1,1,1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.254514374271626,-0.400134027927735,-0.111355512097752,-0.254514374271626,-0.400134027927735,-0.111355512097752,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000004054","Map3k11","mitogen-activated protein kinase kinase kinase 11","NM_022012|NP_071295|XM_006531752|XM_006531753|XM_030250951|XM_030250952|XM_030250953|XM_036161599|XP_006531815|XP_006531816|XP_030106811|XP_030106812|XP_030106813|XP_036017492|XR_004940149","26403","10090.ENSMUSP00000004156","GO:0043408|GO:0031399|GO:0051246|GO:0051171|GO:0009967|GO:0031325|GO:0031401|GO:1902531|GO:0050789|GO:0023014|GO:0051174|GO:0080135|GO:0046328|GO:0006807|GO:0065009|GO:0009966|GO:0006915|GO:0035556|GO:0051403|GO:0023056|GO:0043405|GO:0007254|GO:0044267|GO:0048518|GO:0071704|GO:0043549|GO:0043170|GO:0010562|GO:0044237|GO:0007154|GO:0012501|GO:0031098|GO:0010604|GO:0048522|GO:0044238|GO:0006464|GO:0048583|GO:0045937|GO:0006950|GO:0001932|GO:0050794|GO:0010647|GO:0033554|GO:0042325|GO:0019222|GO:0031323|GO:0051173|GO:0007165|GO:0019220|GO:0043412|GO:0044260|GO:0043406|GO:0023051|GO:0000187|GO:0044093|GO:0036211|GO:0000165|GO:0032147|GO:0050790|GO:0006793|GO:0043410|GO:0006796|GO:0048584|GO:0051347|GO:0043068|GO:0046330|GO:0009893|GO:0071900|GO:0008219|GO:0016310|GO:1902533|GO:0032874|GO:0019538|GO:0023052|GO:0008152|GO:0043067|GO:0043065|GO:0070302|GO:0001934|GO:0045859|GO:0010646|GO:0051716|GO:0042327|GO:0042981|GO:0043085|GO:0080134|GO:1901564|GO:0006468|GO:0009987|GO:0032872|GO:0071902|GO:0080090|GO:0050896|GO:0032268|GO:0051247|GO:0045860|GO:0060255|GO:0007017|GO:0065007|GO:0010941|GO:0033674|GO:0032270|GO:0010942|GO:0051338|GO:0070304|GO:0004707|GO:0016740|GO:0016773|GO:0003824|GO:0016772|GO:0004674|GO:0004712|GO:0140096|GO:0016301|GO:0004708|GO:0004672|GO:0043232|GO:0043228|GO:0005815|GO:0005622|GO:0015630|GO:0110165|GO:0005856|GO:0043226|GO:0005814|GO:0043229|GO:0005813",2306.22997630023,4002.69168073392,1744.93260861004,2220.85785976828,3266.40307292283,92.8660166339341,4172.68219119648,3031.30684241118,1783.30974232478,4054.87932123423,414.920880164846,1879.65925183946,6209.32152761298,0.999401501428124,-0.0399756627122287,-0.0459399970741812,0.963358074759695,0.999266563454149,-0.15931384248634,-0.192990331425396,0.846966540155181,0.999617084268689,-0.119338179774112,-0.144560919488181,0.885057554764314,0.993529904020888,0.0399756627122287,0.0459399970741812,0.963358074759695,0.999266563454149,0.15931384248634,0.192990331425396,0.846966540155181,0.999617084268689,0.119338179774112,0.144560919488181,0.885057554764314,0.993529904020888,2706.15853628871,1665.22564847297,2568.678,2640.815,2868.418,987.3887,1768.4744,2277.2834,-1,-1,-1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.0538559555300604,-0.239623118606971,-0.176156819044075,-0.0538559555300604,-0.239623118606971,-0.176156819044075,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000004231","Pax2","paired box 2","NM_001368743|NM_001368744|NM_001368745|NM_001368746|NM_001368747|NM_001368748|NM_001368749|NM_001368750|NM_001368751|NM_011037|NP_001355672|NP_001355673|NP_001355674|NP_001355675|NP_001355676|NP_001355677|NP_001355678|NP_001355679|NP_001355680|NP_035167","18504","10090.ENSMUSP00000004340","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0048856|GO:0065007|GO:0019438|GO:1903506|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000785|GO:0070013|GO:0110165|GO:0043226|GO:0000790|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0005622|GO:0005694|GO:0043227|GO:0031981",1501.28375923051,2878.28351978065,1420.10406517758,3247.32583112873,4448.66419060378,1465.66323963808,2016.88013363644,3302.39318742159,182.675351283907,3602.61886859876,2445.88563684514,2367.15185209434,1438.2856674389,0.999401501428124,-0.312368840182032,-0.41855787505041,0.675539281273462,0.999266563454149,0.172341475679812,0.243407391569823,0.807689818329446,0.999617084268689,0.484710315861843,0.684587020047879,0.493604560053342,0.993529904020888,0.312368840182032,0.41855787505041,0.675539281273462,0.999266563454149,-0.172341475679812,-0.243407391569823,0.807689818329446,0.999617084268689,-0.484710315861843,-0.684587020047879,0.493604560053342,0.993529904020888,2332.0934848368,1153.85803635257,2261.749,2808.4,2007.323,937.7544,1337.1539,1276.7072,-1,1,1,1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.565888433033307,-0.308126741853843,-1.01857237232881,-0.565888433033307,-0.308126741853843,-1.01857237232881,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000005986","Ankrd13d","ankyrin repeat domain 13 family, member D","NM_026720|NP_080996","68423","10090.ENSMUSP00000053783","GO:0005737|GO:0110165|GO:0005622",3588.18132306809,4876.06000463121,468.544936700451,2668.20256576944,2318.80495922668,3132.08162981212,3294.64416528213,6796.74231423968,1901.16849145714,1088.27179030563,1676.07901248045,4989.15988425134,4384.20614537093,0.999401501428124,-0.421998123459616,-0.581142994015608,0.56114408408468,0.999266563454149,0.0467801114325109,0.0679037276114402,0.945862271399742,0.999617084268689,0.468778234892126,0.68046730712346,0.496208615683576,0.993529904020888,0.421998123459616,0.581142994015608,0.56114408408468,0.999266563454149,-0.0467801114325109,-0.0679037276114402,0.945862271399742,0.999617084268689,-0.468778234892126,-0.68046730712346,0.496208615683576,0.993529904020888,3167.85747866118,1767.50408981796,2900.247,3885.568,2807.777,1856.889,1987.177,1753.777,-1,1,1,1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.833556837948115,-0.0802979692872019,-1.01098130988665,-0.833556837948115,-0.0802979692872019,-1.01098130988665,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
"ENSMUSG00000006270","Vax1","ventral anterior homeobox 1","NM_009501|NP_033527|XM_006526916|XP_006526979","22326","10090.ENSMUSP00000134642","GO:0006725|GO:0022008|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0007399|GO:0006139|GO:0050789|GO:0048731|GO:0006355|GO:0030154|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0030182|GO:0007417|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0048869|GO:0034645|GO:0009059|GO:0043170|GO:0007275|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0019219|GO:0050794|GO:0048856|GO:0065007|GO:0019438|GO:0032501|GO:1903506|GO:0048699|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:0001217|GO:1990837|GO:0001227|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",3850.56165233708,1742.58257062596,3432.99153574353,66.0909225905066,2184.71595574365,4206.25196566609,3080.24774259824,1250.1321441094,107.034566310964,2977.15404892006,415.467085076857,2285.59521737177,5486.90582830602,0.999401501428124,-0.237970310723124,-0.239988190782269,0.81033941151539,0.999266563454149,0.0118488465297769,0.0125954807457893,0.989950526096113,0.999617084268689,0.249819157252901,0.265560120610795,0.790578002155477,0.993529904020888,0.237970310723124,0.239988190782269,0.81033941151539,0.999266563454149,-0.0118488465297769,-0.0125954807457893,0.989950526096113,0.999617084268689,-0.249819157252901,-0.265560120610795,0.790578002155477,0.993529904020888,2391.21009503078,1663.69558866547,2273.057,2680.337,2254.431,1730.71,1262.203,2177.458,-1,1,1,1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.303401785967978,-0.0145716682196643,-0.339020282182061,-0.303401785967978,-0.0145716682196643,-0.339020282182061,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137,-0.00105851349121319,-0.000552536420837147,-0.00936470342312137
