"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Mmus_BAL-TAL_LRTN_BSL_Rep1_B7","Mmus_BAL-TAL_RRTN_BSL_Rep2_B8","Mmus_BAL-TAL_RRTN_BSL_Rep3_B9","Mmus_BAL-TAL_RRTN_BSL_Rep4_B10","Mmus_BAL-TAL_LRTN_GC_Rep1_G6","Mmus_BAL-TAL_LRTN_GC_Rep2_G8","Mmus_BAL-TAL_LRTN_GC_Rep3_G9","Mmus_BAL-TAL_RRTN_GC_Rep4_G10","Mmus_BAL-TAL_LRTN_FLT_Rep1_F6","Mmus_BAL-TAL_LRTN_FLT_Rep2_F7","Mmus_BAL-TAL_LRTN_FLT_Rep3_F8","Mmus_BAL-TAL_LRTN_FLT_Rep4_F9","Mmus_BAL-TAL_LRTN_FLT_Rep5_F10","LRT.p.value","Log2fc_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Stat_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","P.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Adj.p.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2fc_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Stat_(Basal Control & non-irradiated)v(Space Flight & space radiation)","P.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Adj.p.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2fc_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Stat_(Ground Control & non-irradiated)v(Space Flight & space radiation)","P.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Adj.p.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2fc_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Stat_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","P.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Adj.p.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2fc_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Stat_(Space Flight & space radiation)v(Basal Control & non-irradiated)","P.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Adj.p.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2fc_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Stat_(Space Flight & space radiation)v(Ground Control & non-irradiated)","P.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Adj.p.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","All.mean","All.stdev","Group.Mean_(Basal Control & non-irradiated)","Group.Mean_(Ground Control & non-irradiated)","Group.Mean_(Space Flight & space radiation)","Group.Stdev_(Basal Control & non-irradiated)","Group.Stdev_(Ground Control & non-irradiated)","Group.Stdev_(Space Flight & space radiation)","Updown_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Updown_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Updown_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Updown_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Updown_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Updown_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Sig.1_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Sig.1_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Sig.1_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Sig.1_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Sig.1_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Sig.1_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Sig.05_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Sig.05_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Sig.05_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Sig.05_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Sig.05_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Sig.05_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Log2_P.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2_P.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2_P.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2_P.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2_P.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2_P.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)","Log2_Adj.p.value_(Basal Control & non-irradiated)v(Ground Control & non-irradiated)","Log2_Adj.p.value_(Basal Control & non-irradiated)v(Space Flight & space radiation)","Log2_Adj.p.value_(Ground Control & non-irradiated)v(Space Flight & space radiation)","Log2_Adj.p.value_(Ground Control & non-irradiated)v(Basal Control & non-irradiated)","Log2_Adj.p.value_(Space Flight & space radiation)v(Basal Control & non-irradiated)","Log2_Adj.p.value_(Space Flight & space radiation)v(Ground Control & non-irradiated)"
"ENSMUSG00000001750","Tcirg1","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3","NM_001136091|NM_001167784|NM_016921|NP_001129563|NP_001161256|NP_058617|XM_011248632|XP_011246934","27060","10090.ENSMUSP00000120531","GO:0045851|GO:0051453|GO:0098771|GO:0030003|GO:0030004|GO:0042592|GO:0055067|GO:0055080|GO:0019725|GO:0048878|GO:0009987|GO:0006873|GO:0055082|GO:0006885|GO:0065008|GO:0050801|GO:0065007|GO:0051452|GO:0030641|GO:0007035|GO:0015318|GO:0005488|GO:0003824|GO:0008324|GO:0015077|GO:0019899|GO:0015075|GO:0022804|GO:0005215|GO:0016462|GO:0022857|GO:0015078|GO:0016787|GO:0016818|GO:0005515|GO:0016817|GO:0017111|GO:0022890|GO:0016887|GO:0022853|GO:0098588|GO:0098796|GO:0043231|GO:0005774|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0016469|GO:0043229|GO:0098805|GO:0005737|GO:0032991|GO:0005622|GO:0043227|GO:0005886",2185.48764305284,225.17766540731,758.321943393163,4555.667911471,2457.10500903207,2320.69153531969,4242.77168896377,3749.49874757709,1659.4400068447,2285.35497676414,4179.29704122844,3084.94700490024,4840.22639790466,0.999817463349031,-0.725486234282604,-0.996513586783117,0.319000668893893,0.997633244956971,-0.733297601959662,-1.06172067082771,0.288362512437683,0.999299387145817,-0.00781136767705804,-0.0113111412774893,0.990975207451585,0.999136154517407,0.725486234282604,0.996513586783117,0.319000668893893,0.997633244956971,0.733297601959662,1.06172067082771,0.288362512437683,0.999299387145817,0.00781136767705804,0.0113111412774893,0.990975207451585,0.999136154517407,2811.07596706609,1451.97930614277,1931.164,3192.517,3209.853,1935.5145,951.1702,1310.7267,-1,-1,-1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.64836864579098,-1.79404447065378,-0.0130791308500435,-1.64836864579098,-1.79404447065378,-0.0130791308500435,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000003053","Cyp2c29","cytochrome P450, family 2, subfamily c, polypeptide 29","NM_007815|NP_031841|XM_006526636|XP_006526699","13095","10090.ENSMUSP00000003137","GO:0050896|GO:0051716|GO:0070887|GO:0042221|GO:0055114|GO:0009056|GO:0044237|GO:0009987|GO:0006082|GO:0044248|GO:0044281|GO:0071704|GO:0008152|GO:0016705|GO:0005488|GO:0003824|GO:0097159|GO:0046906|GO:1901363|GO:0008395|GO:0016491|GO:0004497|GO:0020037|GO:0005737|GO:0043227|GO:0110165|GO:0043226|GO:0043231|GO:0005622|GO:0043229",2017.41480576071,2020.00933215371,33.5051102981455,883.439218756499,4330.02196589045,1495.37258683951,1331.7736735317,3632.1774922259,3099.21356961105,1938.65217761705,3767.01540848977,2337.29242370622,2250.51655698804,0.999817463349031,-1.12345854621664,-1.36251720790354,0.17303471728184,0.997633244956971,-1.1133634945273,-1.42329324910833,0.154651163181014,0.999299387145817,0.0100950516893408,0.01290767529529,0.98970145113707,0.999136154517407,1.12345854621664,1.36251720790354,0.17303471728184,0.997633244956971,1.1133634945273,1.42329324910833,0.154651163181014,0.999299387145817,-0.0100950516893408,-0.01290767529529,0.98970145113707,0.999136154517407,2241.26187091298,1213.22236852855,1238.592,2697.336,2678.538,965.3231,1510.9675,743.1071,-1,-1,1,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.53086656901731,-2.69291041044713,-0.0149347009286957,-2.53086656901731,-2.69291041044713,-0.0149347009286957,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000003228","Grk5","G protein-coupled receptor kinase 5","NM_018869|NP_061357|XM_006526697|XM_011247149|XM_017318066|XM_036161439|XP_006526760|XP_011245451|XP_017173555|XP_036017332","14773","10090.ENSMUSP00000003313",NA,767.966349809101,2200.96683560021,85.8930710168211,1574.56169337647,2346.93070898247,2393.28893303785,4116.91936798505,4596.95897623581,3587.68514401382,4387.70392631449,4265.67199790838,1307.95149392322,3057.40070560004,0.999817463349031,-1.53992392732158,-2.08795872150273,0.0368015583973499,0.997633244956971,-1.52167589438582,-2.17476365273081,0.0296478321583455,0.999299387145817,0.0182480329357616,0.026087916696912,0.979187214862925,0.999136154517407,1.53992392732158,2.08795872150273,0.0368015583973499,0.997633244956971,1.52167589438582,2.17476365273081,0.0296478321583455,0.999299387145817,-0.0182480329357616,-0.026087916696912,0.979187214862925,0.999136154517407,2668.45378490798,1473.29148058314,1157.347,3363.524,3321.283,924.2729,1163.8706,1247.3203,-1,-1,1,1,1,-1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,-4.76408932989122,-5.07592957062718,-0.0303433738403271,-4.76408932989122,-5.07592957062718,-0.0303433738403271,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000003555","Cyp17a1","cytochrome P450, family 17, subfamily a, polypeptide 1","NM_007809|NP_031835","13074","10090.ENSMUSP00000026012",NA,4325.50504147642,345.3367621359,826.906288241026,2021.07134397461,4823.20390217652,1159.96254724333,2926.31860971565,3419.55312821833,3.75346785666766,4590.36234731242,4209.54857325614,2660.73730350197,1784.23493223054,0.999817463349031,-0.713781814930703,-0.694437458882776,0.487407909155736,0.997633244956971,-0.495549969799257,-0.508191306803923,0.611319186785019,0.999299387145817,0.218231845131446,0.22381164578454,0.82290386779951,0.999136154517407,0.713781814930703,0.694437458882776,0.487407909155736,0.997633244956971,0.495549969799257,0.508191306803923,0.611319186785019,0.999299387145817,-0.218231845131446,-0.22381164578454,0.82290386779951,0.999136154517407,2545.88417287227,1664.78637503105,1879.705,3082.26,2649.727,1776.194,1512.635,1867.45,-1,-1,1,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.03679843306046,-0.71000224683384,-0.281204191032077,-1.03679843306046,-0.71000224683384,-0.281204191032077,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000003559","As3mt","arsenite methyltransferase","NM_020577|NP_065602|XM_006527235|XM_011247302|XM_030251005|XM_036161647|XP_006527298|XP_011245604|XP_030106865|XP_036017540|XR_003952795","57344","10090.ENSMUSP00000003655","GO:0008168|GO:0016740|GO:0016741|GO:0003824",2614.91855813266,3708.15794739393,3707.37974751263,836.900398264784,1362.89638440182,4514.09588017149,2529.25130193311,3073.49721844437,670.555047708545,1769.39265189873,1873.41478373156,867.668913205898,1020.88618179513,0.999817463349031,-0.079131758849348,-0.122200022315148,0.902740608783158,0.997633244956971,1.13178901306103,1.8418687231848,0.0654943545886512,0.999299387145817,1.21092077191038,1.97067560863246,0.0487609922021482,0.999136154517407,0.079131758849348,0.122200022315148,0.902740608783158,0.997633244956971,-1.13178901306103,-1.8418687231848,0.0654943545886512,0.999299387145817,-1.21092077191038,-1.97067560863246,0.0487609922021482,0.999136154517407,2196.07807804574,1268.22106589509,2716.839,2869.935,1240.384,1355.045,1307.9161,545.9805,-1,1,1,1,-1,-1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,-0.147616588001942,-3.93248563362794,-4.35812870716043,-0.147616588001942,-3.93248563362794,-4.35812870716043,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000003680","Taf6l|Gm2518","TATA-box binding protein associated factor 6 like|interferon induced transmembrane protein 2 pseudogene","NM_001177798|NM_146092|NP_001171269|NP_666204|NR_015538","225895|100039957","10090.ENSMUSP00000135193","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006367|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0044267|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0016570|GO:0044237|GO:0032774|GO:0016043|GO:0034641|GO:0043543|GO:0010604|GO:0044238|GO:0006464|GO:0018130|GO:0048522|GO:0071840|GO:0034654|GO:0051276|GO:0050794|GO:0019438|GO:0006325|GO:0006473|GO:0019222|GO:0006475|GO:0031323|GO:0051173|GO:0006725|GO:0018394|GO:1902680|GO:0043412|GO:0016070|GO:0044260|GO:0006357|GO:0036211|GO:0018193|GO:0009058|GO:0009891|GO:0006355|GO:0009893|GO:1901360|GO:0009889|GO:0045935|GO:0044271|GO:0016573|GO:0010557|GO:0010556|GO:0010468|GO:0019538|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0018205|GO:0009059|GO:1901564|GO:0044249|GO:0031328|GO:1901576|GO:0016569|GO:1901362|GO:0009987|GO:0051252|GO:0018393|GO:0080090|GO:0006352|GO:0090304|GO:0031326|GO:0060255|GO:0006996|GO:0019219|GO:0065007|GO:1903506|GO:1903508|GO:0051254|GO:0006366|GO:2000112|GO:0003713|GO:0098772|GO:0003712|GO:0140110|GO:0016251|GO:0031974|GO:0043233|GO:0005634|GO:0000428|GO:0043231|GO:1902494|GO:0005654|GO:1990234|GO:0070013|GO:0090575|GO:0110165|GO:0043226|GO:0005669|GO:0043229|GO:0061695|GO:0016591|GO:0032991|GO:0030880|GO:0005667|GO:0005622|GO:0055029|GO:0043227|GO:0031981",4913.84356352928,688.920601609128,4958.48568916665,2857.51381044184,3754.78231257365,403.679550847871,5113.92581319696,1305.89791197892,377.285877484594,1428.33400288692,2521.81706589847,1114.59607528539,5034.62402382651,0.999817463349031,0.34326552657446,0.409341296044566,0.682289213827948,0.997633244956971,0.67929299204796,0.853848202605349,0.393189102471666,0.999299387145817,0.3360274654735,0.422360825779781,0.672761666979169,0.999136154517407,-0.34326552657446,-0.409341296044566,0.682289213827948,0.997633244956971,-0.67929299204796,-0.853848202605349,0.393189102471666,0.999299387145817,-0.3360274654735,-0.422360825779781,0.672761666979169,0.999136154517407,2651.82356144048,1897.47662420556,3354.691,2644.571,2095.331,2029.502,2171.322,1815.196,1,1,1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.551544685682075,-1.34670475802055,-0.571832589702399,-0.551544685682075,-1.34670475802055,-0.571832589702399,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000004054","Map3k11","mitogen-activated protein kinase kinase kinase 11","NM_022012|NP_071295|XM_006531752|XM_006531753|XM_030250951|XM_030250952|XM_030250953|XM_036161599|XP_006531815|XP_006531816|XP_030106811|XP_030106812|XP_030106813|XP_036017492|XR_004940149","26403","10090.ENSMUSP00000004156","GO:0043408|GO:0031399|GO:0051246|GO:0051171|GO:0009967|GO:0031325|GO:0031401|GO:1902531|GO:0050789|GO:0023014|GO:0051174|GO:0080135|GO:0046328|GO:0006807|GO:0065009|GO:0009966|GO:0006915|GO:0035556|GO:0051403|GO:0023056|GO:0043405|GO:0007254|GO:0044267|GO:0048518|GO:0071704|GO:0043549|GO:0043170|GO:0010562|GO:0044237|GO:0007154|GO:0012501|GO:0031098|GO:0010604|GO:0048522|GO:0044238|GO:0006464|GO:0048583|GO:0045937|GO:0006950|GO:0001932|GO:0050794|GO:0010647|GO:0033554|GO:0042325|GO:0019222|GO:0031323|GO:0051173|GO:0007165|GO:0019220|GO:0043412|GO:0044260|GO:0043406|GO:0023051|GO:0000187|GO:0044093|GO:0036211|GO:0000165|GO:0032147|GO:0050790|GO:0006793|GO:0043410|GO:0006796|GO:0048584|GO:0051347|GO:0043068|GO:0046330|GO:0009893|GO:0071900|GO:0008219|GO:0016310|GO:1902533|GO:0032874|GO:0019538|GO:0023052|GO:0008152|GO:0043067|GO:0043065|GO:0070302|GO:0001934|GO:0045859|GO:0010646|GO:0051716|GO:0042327|GO:0042981|GO:0043085|GO:0080134|GO:1901564|GO:0006468|GO:0009987|GO:0032872|GO:0071902|GO:0080090|GO:0050896|GO:0032268|GO:0051247|GO:0045860|GO:0060255|GO:0007017|GO:0065007|GO:0010941|GO:0033674|GO:0032270|GO:0010942|GO:0051338|GO:0070304|GO:0004707|GO:0016740|GO:0016773|GO:0003824|GO:0016772|GO:0004674|GO:0004712|GO:0140096|GO:0016301|GO:0004708|GO:0004672|GO:0043232|GO:0043228|GO:0005815|GO:0005622|GO:0015630|GO:0110165|GO:0005856|GO:0043226|GO:0005814|GO:0043229|GO:0005813",2489.71302515069,3848.10746073348,1848.53218754854,3176.348840474,3341.46563132139,100.473708594384,4927.10430692152,1820.18932984829,2427.60294535487,5079.76362980341,258.480357599785,1636.76259419191,5442.08220329143,0.999817463349031,0.157330028785142,0.181049402412361,0.856328799183089,0.997633244956971,-0.0636965914769561,-0.0772663265897046,0.938411678287074,0.999299387145817,-0.221026620262098,-0.268109125104653,0.788615322076784,0.999136154517407,-0.157330028785142,-0.181049402412361,0.856328799183089,0.997633244956971,0.0636965914769561,0.0772663265897046,0.938411678287074,0.999299387145817,0.221026620262098,0.268109125104653,0.788615322076784,0.999136154517407,2799.74047852567,1718.42971527459,2840.675,2547.308,2968.938,863.1568,2066.383,2235.3044,1,-1,-1,-1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.223763249345864,-0.0917071274480387,-0.342606353919885,-0.223763249345864,-0.0917071274480387,-0.342606353919885,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000004231","Pax2","paired box 2","NM_001368743|NM_001368744|NM_001368745|NM_001368746|NM_001368747|NM_001368748|NM_001368749|NM_001368750|NM_001368751|NM_011037|NP_001355672|NP_001355673|NP_001355674|NP_001355675|NP_001355676|NP_001355677|NP_001355678|NP_001355679|NP_001355680|NP_035167","18504","10090.ENSMUSP00000004340","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0048856|GO:0065007|GO:0019438|GO:1903506|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000785|GO:0070013|GO:0110165|GO:0043226|GO:0000790|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0005622|GO:0005694|GO:0043227|GO:0031981",1620.6977184079,2767.13486963181,1504.40696937035,4644.63829346779,4550.90365249831,1586.95626138041,2381.4391977654,1982.93106260236,248.349791147343,4513.16463757091,1521.8462733621,2061.22602983705,1260.66244360325,0.999817463349031,0.00476615188951351,0.00641318982002802,0.994883049932969,0.997633244956971,0.455755287831097,0.646391172513184,0.518026055818447,0.999299387145817,0.450989135941584,0.639630513966486,0.522412839717284,0.999136154517407,-0.00476615188951351,-0.00641318982002802,0.994883049932969,0.997633244956971,-0.455755287831097,-0.646391172513184,0.518026055818447,0.999299387145817,-0.450989135941584,-0.639630513966486,0.522412839717284,0.999136154517407,2357.25824620346,1393.42598612378,2634.219,2625.558,1921.05,1456.383,1323.91,1591.549,1,1,1,-1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.00740115033478658,-0.948903430074621,-0.936737739410343,-0.00740115033478658,-0.948903430074621,-0.936737739410343,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000005986","Ankrd13d","ankyrin repeat domain 13 family, member D","NM_026720|NP_080996","68423","10090.ENSMUSP00000053783","GO:0005737|GO:0110165|GO:0005622",3873.70032668276,4687.7378128193,496.319782091753,3816.24363699997,2372.08486563428,3391.37560396531,3890.27870447623,4080.69969688827,2588.06685406211,1363.15116108446,1042.98643704467,4344.22794009495,3842.51897495315,0.999817463349031,-0.093353445372004,-0.139968200177061,0.888685115594932,0.997633244956971,0.288036766108193,0.455204984608139,0.648961774788318,0.999299387145817,0.381390211480197,0.602746179465296,0.546677555654649,0.999136154517407,0.093353445372004,0.139968200177061,0.888685115594932,0.997633244956971,-0.288036766108193,-0.455204984608139,0.648961774788318,0.999299387145817,-0.381390211480197,-0.602746179465296,0.546677555654649,0.999136154517407,3060.72244590748,1360.21315980181,3218.5,3433.61,2636.19,1857.912,765.047,1460.639,-1,1,1,1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.170255769918003,-0.623794591928658,-0.871237949293943,-0.170255769918003,-0.623794591928658,-0.871237949293943,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
"ENSMUSG00000006270","Vax1","ventral anterior homeobox 1","NM_009501|NP_033527|XM_006526916|XP_006526979","22326","10090.ENSMUSP00000134642","GO:0006725|GO:0022008|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0007399|GO:0006139|GO:0050789|GO:0048731|GO:0006355|GO:0030154|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0030182|GO:0007417|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0048869|GO:0034645|GO:0009059|GO:0043170|GO:0007275|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0019219|GO:0050794|GO:0048856|GO:0065007|GO:0019438|GO:0032501|GO:1903506|GO:0048699|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:0001217|GO:1990837|GO:0001227|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",4156.96462122533,1675.30572754914,3636.87147712895,94.1079369175122,2234.91352792488,4554.50110874528,3637.11005625072,750.893653121348,145.365361872507,3729.57249626895,258.820125518744,1990.21406092532,4808.94437571684,0.999817463349031,-0.225099992615322,-0.228325393240926,0.819393284927285,0.997633244956971,0.128903577196927,0.137819687867264,0.890382924174385,0.999299387145817,0.354003569812249,0.378496434140612,0.705061842241994,0.999136154517407,0.225099992615322,0.228325393240926,0.819393284927285,0.997633244956971,-0.128903577196927,-0.137819687867264,0.890382924174385,0.999299387145817,-0.354003569812249,-0.378496434140612,0.705061842241994,0.999136154517407,2436.42957916658,1750.4212349448,2390.812,2794.355,2186.583,1867.151,1663.035,2072.378,-1,1,1,1,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.287372025161413,-0.167502170047966,-0.504178290449794,-0.287372025161413,-0.167502170047966,-0.504178290449794,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375,-0.00341855279976776,-0.0010111249352507,-0.00124680419448375
