resource_category	filename	md5sum
Merged Sequence Data	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw.fastq.gz	1a809c2b99571c6de92a622932fa44f6
Merged Sequence Data	Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw.fastq.gz	83abdde684dca9168f0b1ffb3d4dd13d
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw.fastq.gz	e2e739b0dcf52d8e4457958bf5e2838c
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw.fastq.gz	4b9890ca65e46086acfbc9684364212e
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw.fastq.gz	07549ab40c5e30468290e7dcca108963
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw.fastq.gz	c029d1750990ffd9a109cdf4d1d26106
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw.fastq.gz	0e6ef16e6fe199083b6284c1564e3b92
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw.fastq.gz	38007edc390e1934bf921c188d6b5083
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw.fastq.gz	40107e717ff60c4ac7b668e0e58fa60f
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw.fastq.gz	74d5e0c2ec39dff1cf9a278ef568aba6
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz	0f3939d2135c172720fd9ea9136fcc56
Merged Sequence Data	Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz	37de9b1c1bceb75a58ffba0a4b6d6441
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw.fastq.gz	0de361781872e41a6c0b94feae1f6590
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw.fastq.gz	8a92c149cb34e4257ef9e783c1862238
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw.fastq.gz	29e4c70067312bbf15558f7369c051b1
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw.fastq.gz	0a50122206f5063669ff4e9ff9984ca8
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw.fastq.gz	6b07beefa4560053ef3feb8ec2f47fdf
Merged Sequence Data	Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw.fastq.gz	f6cd12c4506ce107d092d3b060e4013d
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw.fastq.gz	68ad64ca0d8fc70c36ba9a0febec7b13
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw.fastq.gz	1e8d2e462beb52da4dfba6d933f13aa1
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw.fastq.gz	93a9e80dbad6b013569a1d110dd1aa81
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw.fastq.gz	f965d428dcdc2d6174f92a34e77e5842
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw.fastq.gz	388cf28e40b9304ae158482705674b69
Merged Sequence Data	Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw.fastq.gz	44af7dc7bc514cbd78c8be3b9e342e35
Merged Sequence Data	Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw.fastq.gz	bd058d78b966830d108e6f7a9995ad82
Merged Sequence Data	Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw.fastq.gz	78f139473f28e2aa52c920bdcfa943c6
Merged Sequence Data/Multiqc Reports	raw_multiqc_report.zip	2ad5f706454742f24bc2ef0975cf8fbc
