Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw	3.4	300	190	300	45300	147	40800	9.933774834437086
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw	3.4	300	184	300	45300	661	40467	10.668874172185431
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw	3.4	300	171	300	45300	330	40666	10.229580573951434
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw	3.4	300	172	300	45300	566	40478	10.64459161147903
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw	3.4	300	156	300	45300	73	42148	6.958057395143488
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw	3.4	300	158	300	45300	1431	40951	9.600441501103752
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw	3.4	300	165	300	45300	210	41865	7.582781456953643
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw	3.4	300	167	300	45300	808	41305	8.818984547461369
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw	3.4	300	172	300	45300	142	41561	8.253863134657836
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw	3.4	300	168	300	45300	940	40865	9.79028697571744
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw	3.4	300	174	300	45300	186	41448	8.503311258278146
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw	3.4	300	171	300	45300	534	41260	8.918322295805739
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw	3.4	300	174	300	45300	162	41275	8.885209713024283
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw	3.4	300	174	300	45300	567	41095	9.282560706401766
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw	3.4	300	166	300	45300	98	41649	8.059602649006623
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw	3.4	300	159	300	45300	984	40915	9.679911699779248
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw	3.4	300	155	300	45300	56	42099	7.066225165562915
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw	3.4	300	161	300	45300	415	41791	7.746136865342164
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw	3.4	300	167	300	45300	127	41864	7.584988962472407
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw	3.4	300	168	300	45300	663	41426	8.551876379690949
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw	3.4	300	167	300	45300	224	41632	8.097130242825607
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw	3.4	300	178	300	45300	1119	40727	10.094922737306842
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw	3.4	300	172	300	45300	194	42177	6.894039735099337
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw	3.4	300	166	300	45300	511	41921	7.459161147902869
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw	3.4	300	168	300	45300	56	42071	7.1280353200882995
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw	3.4	300	154	300	45300	597	41685	7.980132450331126
