Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Rsem_mqc-generalstats-rsem-alignable_percent	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7	5.67	17.0	3.4246575342465753						
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1				4.666666666666657	54.0	135.34	9.090909090909092	300.0	
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw				4.666666666666657	53.0	151.0	18.181818181818183	300.0	9.933774834437086
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2				3.0	54.0	134.28666666666666	36.36363636363637	300.0	
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw				3.0	54.0	151.0	45.45454545454545	300.0	10.668874172185431
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6	4.35	13.0	2.0618556701030926						
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1				3.0100334448160453	53.0	135.70234113712374	9.090909090909092	299.0	
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw				3.0	52.0	151.0	18.181818181818183	300.0	10.229580573951434
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2				2.675585284280942	53.0	134.78929765886286	27.27272727272727	299.0	
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw				2.666666666666657	52.0	151.0	36.36363636363637	300.0	10.64459161147903
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7	8.03	24.0	4.195804195804196						
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1				1.6722408026755886	53.0	139.81939799331104	36.36363636363637	299.0	
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw				1.6666666666666714	53.0	151.0	36.36363636363637	300.0	6.958057395143488
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2				1.337792642140471	52.0	136.36120401337791	27.27272727272727	299.0	
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw				1.3333333333333286	52.0	151.0	36.36363636363637	300.0	9.600441501103752
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8	5.03	15.0	3.4246575342465753						
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1				1.006711409395976	52.0	139.61409395973155	36.36363636363637	298.0	
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw				1.0	52.0	151.0	45.45454545454545	300.0	7.582781456953643
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2				2.3489932885906057	52.0	138.00671140939596	36.36363636363637	298.0	
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw				2.3333333333333286	52.0	151.0	45.45454545454545	300.0	8.818984547461369
