Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7	282	10	0	292	3.4246575342465753	10	0	5
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6	285	6	0	291	2.0618556701030926	6	0	4
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7	274	12	0	286	4.195804195804196	12	0	2
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8	282	10	0	292	3.4246575342465753	10	0	3
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9	278	9	0	287	3.1358885017421603	8	1	4
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10	286	5	0	291	1.718213058419244	5	0	0
Mmus_BAL-TAL_LRTN_GC_Rep1_G6	283	8	0	291	2.7491408934707904	8	0	0
Mmus_BAL-TAL_LRTN_GC_Rep2_G8	279	9	0	288	3.125	9	0	1
Mmus_BAL-TAL_LRTN_GC_Rep3_G9	281	6	0	287	2.0905923344947737	6	0	1
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8	281	13	0	294	4.421768707482993	13	0	3
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9	277	4	0	281	1.4234875444839856	4	0	0
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10	279	9	0	288	3.125	9	0	3
Mmus_BAL-TAL_RRTN_GC_Rep4_G10	281	8	0	289	2.768166089965398	8	0	2
