Sample	pe_sense	pe_antisense	failed
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_infer_expt	0.2941	0.6471	0.0588
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_infer_expt	0.0769	0.8462	0.0769
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_infer_expt	0.15	0.75	0.1
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_infer_expt	0.1667	0.8333	0.0
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_infer_expt	0.2353	0.7059	0.0588
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_infer_expt	0.0	0.8571	0.1429
Mmus_BAL-TAL_LRTN_GC_Rep1_G6_infer_expt	0.0909	0.5455	0.3636
Mmus_BAL-TAL_LRTN_GC_Rep2_G8_infer_expt	0.1875	0.7188	0.0938
Mmus_BAL-TAL_LRTN_GC_Rep3_G9_infer_expt	0.1333	0.6667	0.2
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_infer_expt	0.0667	0.8	0.1333
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_infer_expt	0.2143	0.7143	0.0714
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_infer_expt	0.25	0.6875	0.0625
Mmus_BAL-TAL_RRTN_GC_Rep4_G10_infer_expt	0.1579	0.8421	0.0
