Sample Name	organism	paired_end	has_ERCC	Factor Value[Spaceflight]	Factor Value[Ionizing Radiation]	Raw Data File (RNA Sequencing (RNA-Seq))	GLDS-#	Device Type	Comment[Sample Name Description]	Characteristics[Organism]	Characteristics[Strain]	Characteristics[Material Type]	Parameter Value[exposure duration]	Parameter Value[Habitat]	Parameter Value[duration]	Parameter Value[treatment]	Parameter Value[vehicle]	Parameter Value[absorbed radiation dose]	Parameter Value[absorbed radiation dose rate]	Parameter Value[ionizing radiation categorized by source]	Rep #
Mmus_BAL-TAL_LRTN_BSL_Rep1_B7	Mus musculus	True	True	Basal Control	non-irradiated		GLDS-194		RR3_BSL_B7_L RTN	Mus musculus	BALB/c	Left retina	 Not applicable	Vivarium Cage	1 day	Non-treated	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 1
Mmus_BAL-TAL_RRTN_BSL_Rep2_B8	Mus musculus	True	True	Basal Control	non-irradiated		GLDS-194		RR3_BSL_B8_R RTN	Mus musculus	BALB/c	Right retina	 Not applicable	Vivarium Cage	1 day	Non-treated	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 2
Mmus_BAL-TAL_RRTN_BSL_Rep3_B9	Mus musculus	True	True	Basal Control	non-irradiated		GLDS-194		RR3_BSL_B9_R RTN	Mus musculus	BALB/c	Right retina	 Not applicable	Vivarium Cage	1 day	Non-treated	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 3
Mmus_BAL-TAL_RRTN_BSL_Rep4_B10	Mus musculus	True	True	Basal Control	non-irradiated		GLDS-194		RR3_BSL_B10_R RTN	Mus musculus	BALB/c	Right retina	 Not applicable	Vivarium Cage	1 day	Non-treated	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 4
Mmus_BAL-TAL_LRTN_GC_Rep1_G6	Mus musculus	True	True	Ground Control	non-irradiated		GLDS-194		RR3_GC_G6_L RTN	Mus musculus	BALB/c	Left retina	 Not applicable	Rodent Habitat	41 day	Sham treated (control Ig-G injection)	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 1
Mmus_BAL-TAL_LRTN_GC_Rep2_G8	Mus musculus	True	True	Ground Control	non-irradiated		GLDS-194		RR3_GC_G8_L RTN	Mus musculus	BALB/c	Left retina	 Not applicable	Rodent Habitat	41 day	Sham treated (control Ig-G injection)	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 2
Mmus_BAL-TAL_LRTN_GC_Rep3_G9	Mus musculus	True	True	Ground Control	non-irradiated		GLDS-194		RR3_GC_G9_L RTN	Mus musculus	BALB/c	Left retina	 Not applicable	Rodent Habitat	42 day	Sham treated (control Ig-G injection)	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 3
Mmus_BAL-TAL_RRTN_GC_Rep4_G10	Mus musculus	True	True	Ground Control	non-irradiated		GLDS-194		RR3_GC_G10_R RTN	Mus musculus	BALB/c	Right retina	 Not applicable	Rodent Habitat	42 day	Sham treated (control Ig-G injection)	Not Applicable	 Not applicable	 Not applicable	Not Applicable	Rep 4
Mmus_BAL-TAL_LRTN_FLT_Rep1_F6	Mus musculus	True	True	Space Flight	space radiation		GLDS-194		RR3_FLT_F6_L RTN	Mus musculus	BALB/c	Left retina	41 day	Rodent Habitat	41 day	Sham treated (control Ig-G injection)	ISS-US Laboratory	9.471 milligray	0.231 milligray per day	outer space	Rep 1
Mmus_BAL-TAL_LRTN_FLT_Rep2_F7	Mus musculus	True	True	Space Flight	space radiation		GLDS-194		RR3_FLT_F7_L RTN	Mus musculus	BALB/c	Left retina	41 day	Rodent Habitat	41 day	Sham treated (control Ig-G injection)	ISS-US Laboratory	9.471 milligray	0.231 milligray per day	outer space	Rep 2
Mmus_BAL-TAL_LRTN_FLT_Rep3_F8	Mus musculus	True	True	Space Flight	space radiation		GLDS-194		RR3_FLT_F8_L RTN	Mus musculus	BALB/c	Left retina	41 day	Rodent Habitat	41 day	Sham treated (control Ig-G injection)	ISS-US Laboratory	9.471 milligray	0.231 milligray per day	outer space	Rep 3
Mmus_BAL-TAL_LRTN_FLT_Rep4_F9	Mus musculus	True	True	Space Flight	space radiation		GLDS-194		RR3_FLT_F9_L RTN	Mus musculus	BALB/c	Left retina	42 day	Rodent Habitat	42 day	Sham treated (control Ig-G injection)	ISS-US Laboratory	9.702 milligray	0.231 milligray per day	outer space	Rep 4
Mmus_BAL-TAL_LRTN_FLT_Rep5_F10	Mus musculus	True	True	Space Flight	space radiation		GLDS-194		RR3_FLT_F10_L RTN	Mus musculus	BALB/c	Left retina	42 day	Rodent Habitat	42 day	Sham treated (control Ig-G injection)	ISS-US Laboratory	9.702 milligray	0.231 milligray per day	outer space	Rep 5
