Total Reads                   28
Total Tags                    36
Total Assigned Tags           33
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1165257             20                  0.02              
5'UTR_Exons         1001181             4                   0.00              
3'UTR_Exons         1620350             0                   0.00              
Introns             28603176            8                   0.00              
TSS_up_1kb          863962              0                   0.00              
TSS_up_5kb          3780144             1                   0.00              
TSS_up_10kb         6485408             1                   0.00              
TES_down_1kb        973642              0                   0.00              
TES_down_5kb        4129485             0                   0.00              
TES_down_10kb       7268496             0                   0.00              
=====================================================================
