Total Reads                   42
Total Tags                    44
Total Assigned Tags           44
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1165257             4                   0.00              
5'UTR_Exons         1001181             16                  0.02              
3'UTR_Exons         1620350             3                   0.00              
Introns             28603176            10                  0.00              
TSS_up_1kb          863962              1                   0.00              
TSS_up_5kb          3780144             7                   0.00              
TSS_up_10kb         6485408             7                   0.00              
TES_down_1kb        973642              0                   0.00              
TES_down_5kb        4129485             0                   0.00              
TES_down_10kb       7268496             4                   0.00              
=====================================================================
