Total Reads                   38
Total Tags                    44
Total Assigned Tags           41
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             10                  0.01              
5'UTR_Exons         1045414             8                   0.01              
3'UTR_Exons         1658717             4                   0.00              
Introns             28945478            5                   0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             6                   0.00              
TSS_up_10kb         6431897             6                   0.00              
TES_down_1kb        989960              0                   0.00              
TES_down_5kb        4190691             0                   0.00              
TES_down_10kb       7334154             8                   0.00              
=====================================================================
