index	description	sample(s)	function	code	message	code_level	kwargs	config
('ROOT', 'GLDS-194', 'DGE Metadata', 'Sample Table')	check_sample_table_against_runsheet	All samples	check_sample_table_against_runsheet	FlagCode.GREEN	All samples accounted for based on runsheet (All samples required?: True)	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'sampleTable': PosixPath('04-DESeq2_NormCounts/SampleTable.csv'), 'all_samples_required': True}	{'all_samples_required': True}
('ROOT', 'GLDS-194', 'DGE Metadata', 'Sample Table')	check_sample_table_for_correct_group_assignments	All samples	check_sample_table_for_correct_group_assignments	FlagCode.GREEN	Conditions are formatted and assigned correctly based on runsheet for all 13 samples in sample table: ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10']	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'sampleTable': PosixPath('04-DESeq2_NormCounts/SampleTable.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Metadata', 'Contrasts Tables')	check_contrasts_table_headers	All samples	check_contrasts_table_headers	FlagCode.GREEN	Contrasts header includes expected comparisons as determined runsheet Factor Value Columns: {'(Basal Control & non-irradiated)v(Space Flight & space radiation)', '(Ground Control & non-irradiated)v(Basal Control & non-irradiated)', '(Basal Control & non-irradiated)v(Ground Control & non-irradiated)', '(Space Flight & space radiation)v(Ground Control & non-irradiated)', '(Ground Control & non-irradiated)v(Space Flight & space radiation)', '(Space Flight & space radiation)v(Basal Control & non-irradiated)'}	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'contrasts_table': PosixPath('05-DESeq2_DGE/contrasts.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Metadata', 'Contrasts Tables')	check_contrasts_table_rows	All samples	check_contrasts_table_rows	FlagCode.GREEN	Contrasts column and rows match expected formatting	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'contrasts_table': PosixPath('05-DESeq2_DGE/contrasts.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Metadata ERCC', 'Sample Table')	check_sample_table_against_runsheet	All samples	check_sample_table_against_runsheet	FlagCode.GREEN	All samples accounted for based on runsheet (All samples required?: False)	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'sampleTable': PosixPath('04-DESeq2_NormCounts/ERCC_SampleTable.csv'), 'all_samples_required': False}	{'all_samples_required': False}
('ROOT', 'GLDS-194', 'DGE Metadata ERCC', 'Sample Table')	check_sample_table_for_correct_group_assignments	All samples	check_sample_table_for_correct_group_assignments	FlagCode.GREEN	Conditions are formatted and assigned correctly based on runsheet for all 13 samples in sample table: ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10']	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'sampleTable': PosixPath('04-DESeq2_NormCounts/ERCC_SampleTable.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Metadata ERCC', 'Contrasts Tables')	check_contrasts_table_headers	All samples	check_contrasts_table_headers	FlagCode.GREEN	Contrasts header includes expected comparisons as determined runsheet Factor Value Columns: {'(Basal Control & non-irradiated)v(Space Flight & space radiation)', '(Ground Control & non-irradiated)v(Basal Control & non-irradiated)', '(Basal Control & non-irradiated)v(Ground Control & non-irradiated)', '(Space Flight & space radiation)v(Ground Control & non-irradiated)', '(Ground Control & non-irradiated)v(Space Flight & space radiation)', '(Space Flight & space radiation)v(Basal Control & non-irradiated)'}	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'contrasts_table': PosixPath('05-DESeq2_DGE/ERCC_NormDGE/ERCCnorm_contrasts.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Metadata ERCC', 'Contrasts Tables')	check_contrasts_table_rows	All samples	check_contrasts_table_rows	FlagCode.GREEN	Contrasts column and rows match expected formatting	20	{'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv'), 'contrasts_table': PosixPath('05-DESeq2_DGE/ERCC_NormDGE/ERCCnorm_contrasts.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Output')	check_rsem_counts_and_unnormalized_tables_parity	All samples	check_rsem_counts_and_unnormalized_tables_parity	FlagCode.HALT	Tables of unnormalized counts have same columns but values do not match.	80	{'rsem_table_path': PosixPath('03-RSEM_Counts/RSEM_Unnormalized_Counts.csv'), 'deseq2_table_path': PosixPath('04-DESeq2_NormCounts/RSEM_Unnormalized_Counts.csv')}	{}
('ROOT', 'GLDS-194', 'DGE Output')	check_dge_table_annotation_columns_exist	All samples	check_dge_table_annotation_columns_exist	FlagCode.GREEN	Found all required annotation columns: {'ENSEMBL', 'SYMBOL', 'GOSLIM_IDS', 'ENTREZID', 'STRING_id', 'GENENAME', 'REFSEQ'}	20	{'organism': 'Mus musculus', 'samples': {'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6'}, 'dge_table': PosixPath('05-DESeq2_DGE/differential_expression.csv'), 'runsheet': PosixPath('Metadata/GLDS-194_bulkRNASeq_v1_runsheet.csv')}	{}
