index	description	sample(s)	function	code	message	code_level	kwargs	config
('ROOT', 'GLDS-194', 'RSEM Counts')	check_for_outliers	All samples	check_for_outliers	FlagCode.YELLOW	Outliers found in Rsem multiQC module as follows: {'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7': {'Rsem': {'Unalignable': -2.151073835103713}}, 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9': {'Rsem': {'Total': -2.359071298478354}}, 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9': {'Rsem': {'Multi': 3.605551275463989}}, 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7': {'Rsem': {'Uncertain': 2.0752706971037944}}}	30	{'dataset': Dataset(name='GLDS-194', type='bulkRNASeq', metadata={'has_ERCC': True, 'organism': 'Mus musculus', 'paired_end': True}), 'data_asset_keys': ['sample counts stats directory'], 'mqc_module': 'Rsem', 'mqc_plot': 'general_stats', 'mqc_keys': ['Unalignable', 'Alignable', 'Filtered', 'Total', 'alignable_percent', 'Unique', 'Multi', 'Uncertain'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}	{'mqc_module': 'Rsem', 'mqc_plot': 'general_stats', 'mqc_keys': ['Unalignable', 'Alignable', 'Filtered', 'Total', 'alignable_percent', 'Unique', 'Multi', 'Uncertain'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}
('ROOT', 'GLDS-194', 'RSEM Counts')	Check all samples are present in RSEM multiQC report	All samples	check_sample_in_multiqc_report	FlagCode.GREEN	Found all query samples after reformatting multiQC sample names. Details: {'query samples': ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10'], 'original multiQC sample names': ['Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8'], 'reformatted multiQC sample names': ['Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8']}	20	{'samples': ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10'], 'multiqc_report_path': PosixPath('03-RSEM_Counts/RSEM_count_multiqc_report')}	{}
('GLDS-194', 'Data Assets', 'RSEM counts MultiQC directory')	Check data asset for key 'RSEM counts MultiQC directory' exists	All samples	_load_asset	FlagCode.GREEN	Data asset located: RSEM_count_multiqc_report	20	{'asset': PosixPath('03-RSEM_Counts/RSEM_count_multiqc_report'), 'config': {'processed location': ['03-RSEM_Counts', 'RSEM_count_multiqc_report'], 'tags': ['processed'], 'resource categories': {'subcategory': None, 'subdirectory': None, 'publish to repo': False, 'include subdirectory in table': False, 'table order': -1}}}	{}
('GLDS-194', 'Data Assets', 'RSEM counts MultiQC directory ZIP')	Check data asset for key 'RSEM counts MultiQC directory ZIP' exists	All samples	_load_asset	FlagCode.GREEN	Data asset located: RSEM_count_multiqc_report.zip	20	{'asset': PosixPath('03-RSEM_Counts/RSEM_count_multiqc_report.zip'), 'config': {'processed location': ['03-RSEM_Counts', 'RSEM_count_multiqc_report.zip'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Data', 'subdirectory': 'Multiqc Reports', 'publish to repo': True, 'include subdirectory in table': True, 'table order': 11}}}	{}
('GLDS-194', 'Data Assets', 'rsem number non-zero count genes table')	Check data asset for key 'rsem number non-zero count genes table' exists	All samples	_load_asset	FlagCode.GREEN	Data asset located: RSEM_NumNonZeroGenes.csv	20	{'asset': PosixPath('03-RSEM_Counts/RSEM_NumNonZeroGenes.csv'), 'config': {'processed location': ['03-RSEM_Counts', 'RSEM_NumNonZeroGenes.csv'], 'tags': ['processed'], 'resource categories': {'subcategory': None, 'subdirectory': None, 'publish to repo': False, 'include subdirectory in table': False, 'table order': -1}}}	{}
('GLDS-194', 'Data Assets', 'rsem unnormalized counts table')	Check data asset for key 'rsem unnormalized counts table' exists	All samples	_load_asset	FlagCode.GREEN	Data asset located: RSEM_Unnormalized_Counts.csv	20	{'asset': PosixPath('03-RSEM_Counts/RSEM_Unnormalized_Counts.csv'), 'config': {'processed location': ['03-RSEM_Counts', 'RSEM_Unnormalized_Counts.csv'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Tables', 'subdirectory': '', 'publish to repo': True, 'include subdirectory in table': False, 'table order': 12}}}	{}
('Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Data Assets', 'sample gene counts table')	Check data asset for key 'sample gene counts table' exists	{'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7'}	_load_asset	FlagCode.GREEN	Data asset located: Mmus_BAL-TAL_LRTN_BSL_Rep1_B7.genes.results	20	{'asset': PosixPath('03-RSEM_Counts/Mmus_BAL-TAL_LRTN_BSL_Rep1_B7.genes.results'), 'config': {'processed location': ['03-RSEM_Counts', '{sample}.genes.results'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Data', 'subdirectory': 'Count Data', 'publish to repo': True, 'include subdirectory in table': False, 'table order': 10}}}	{}
('Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Data Assets', 'sample gene counts table')	Check data asset for key 'sample gene counts table' exists	{'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8'}	_load_asset	FlagCode.GREEN	Data asset located: Mmus_BAL-TAL_RRTN_BSL_Rep2_B8.genes.results	20	{'asset': PosixPath('03-RSEM_Counts/Mmus_BAL-TAL_RRTN_BSL_Rep2_B8.genes.results'), 'config': {'processed location': ['03-RSEM_Counts', '{sample}.genes.results'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Data', 'subdirectory': 'Count Data', 'publish to repo': True, 'include subdirectory in table': False, 'table order': 10}}}	{}
('Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Data Assets', 'sample gene counts table')	Check data asset for key 'sample gene counts table' exists	{'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9'}	_load_asset	FlagCode.GREEN	Data asset located: Mmus_BAL-TAL_RRTN_BSL_Rep3_B9.genes.results	20	{'asset': PosixPath('03-RSEM_Counts/Mmus_BAL-TAL_RRTN_BSL_Rep3_B9.genes.results'), 'config': {'processed location': ['03-RSEM_Counts', '{sample}.genes.results'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Data', 'subdirectory': 'Count Data', 'publish to repo': True, 'include subdirectory in table': False, 'table order': 10}}}	{}
('Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Data Assets', 'sample gene counts table')	Check data asset for key 'sample gene counts table' exists	{'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10'}	_load_asset	FlagCode.GREEN	Data asset located: Mmus_BAL-TAL_RRTN_BSL_Rep4_B10.genes.results	20	{'asset': PosixPath('03-RSEM_Counts/Mmus_BAL-TAL_RRTN_BSL_Rep4_B10.genes.results'), 'config': {'processed location': ['03-RSEM_Counts', '{sample}.genes.results'], 'tags': ['processed'], 'resource categories': {'subcategory': 'Raw Counts Data', 'subdirectory': 'Count Data', 'publish to repo': True, 'include subdirectory in table': False, 'table order': 10}}}	{}
