index	description	sample(s)	function	code	message	code_level	kwargs	config
('ROOT', 'GLDS-194', 'Metadata')	check_metadata_attributes_exist	All samples	check_metadata_attributes_exist	FlagCode.GREEN	All expected metadata keys found: Expected ['paired_end', 'has_ERCC', 'organism'], Found {'has_ERCC', 'organism', 'paired_end'}	20	{'dataset': Dataset(name='GLDS-194', type='bulkRNASeq', metadata={'has_ERCC': True, 'organism': 'Mus musculus', 'paired_end': True}), 'expected_attrs': ['paired_end', 'has_ERCC', 'organism']}	{'expected_attrs': ['paired_end', 'has_ERCC', 'organism']}
('ROOT', 'GLDS-194', 'Raw Reads')	check_for_outliers	All samples	check_for_outliers	FlagCode.YELLOW	Outliers found in FastQC multiQC module as follows: {'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw': {'FastQC': {'percent_gc': -2.690188358100945}}, 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw': {'FastQC': {'percent_duplicates': -2.0291136125870213}}}	30	{'dataset': Dataset(name='GLDS-194', type='bulkRNASeq', metadata={'has_ERCC': True, 'organism': 'Mus musculus', 'paired_end': True}), 'data_asset_keys': ['raw forward reads fastQC ZIP'], 'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}	{'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}
('ROOT', 'GLDS-194', 'Raw Reads')	check_for_outliers	All samples	check_for_outliers	FlagCode.YELLOW	Outliers found in FastQC multiQC module as follows: {'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw': {'FastQC': {'percent_gc': -2.4494897427831783}}, 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw': {'FastQC': {'percent_duplicates': 2.186186580488011}}}	30	{'dataset': Dataset(name='GLDS-194', type='bulkRNASeq', metadata={'has_ERCC': True, 'organism': 'Mus musculus', 'paired_end': True}), 'data_asset_keys': ['raw reverse reads fastQC ZIP'], 'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}	{'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}
('ROOT', 'GLDS-194', 'Raw Reads')	Check all samples are present in raw reads multiQC report	All samples	check_sample_in_multiqc_report	FlagCode.GREEN	Found all query samples after reformatting multiQC sample names. Details: {'query samples': ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10'], 'original multiQC sample names': ['Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R2_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9_R1_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R2_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8_R1_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R2_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7_R1_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R2_raw', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6_R1_raw', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R2_raw', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10_R1_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R2_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9_R1_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R2_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8_R1_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R2_raw', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6_R1_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R2_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10_R1_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R2_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9_R1_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R2_raw', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8_R1_raw', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R2_raw', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7_R1_raw'], 'reformatted multiQC sample names': ['Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7']}	20	{'samples': ['Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Mmus_BAL-TAL_RRTN_BSL_Rep3_B9', 'Mmus_BAL-TAL_RRTN_BSL_Rep4_B10', 'Mmus_BAL-TAL_LRTN_GC_Rep1_G6', 'Mmus_BAL-TAL_LRTN_GC_Rep2_G8', 'Mmus_BAL-TAL_LRTN_GC_Rep3_G9', 'Mmus_BAL-TAL_RRTN_GC_Rep4_G10', 'Mmus_BAL-TAL_LRTN_FLT_Rep1_F6', 'Mmus_BAL-TAL_LRTN_FLT_Rep2_F7', 'Mmus_BAL-TAL_LRTN_FLT_Rep3_F8', 'Mmus_BAL-TAL_LRTN_FLT_Rep4_F9', 'Mmus_BAL-TAL_LRTN_FLT_Rep5_F10'], 'multiqc_report_path': PosixPath('00-RawData/FastQC_Reports/raw_multiqc_report'), 'name_reformat_func': <function validate_bulkRNASeq.<locals>.<lambda>.<locals>.<lambda> at 0x7f448867f0a0>}	{}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Raw Reads By Sample')	check_fastqgz_file_contents	{'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('00-RawData/Fastq/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Raw Reads By Sample')	check_fastqgz_file_contents	{'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('00-RawData/Fastq/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7', 'Raw Reads By Sample')	check_forward_and_reverse_reads_counts_match	{'Mmus_BAL-TAL_LRTN_BSL_Rep1_B7'}	check_forward_and_reverse_reads_counts_match	FlagCode.GREEN	Forward and reverse read counts match at 300 sequences 	20	{'sample': Sample(name='Mmus_BAL-TAL_LRTN_BSL_Rep1_B7'), 'reads_key_1': 'raw forward reads fastQC ZIP', 'reads_key_2': 'raw reverse reads fastQC ZIP'}	{}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Raw Reads By Sample')	check_fastqgz_file_contents	{'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('00-RawData/Fastq/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R1_raw.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Raw Reads By Sample')	check_fastqgz_file_contents	{'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('00-RawData/Fastq/Mmus_BAL-TAL_LRTN_FLT_Rep5_F10_R2_raw.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-194', 'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8', 'Raw Reads By Sample')	check_forward_and_reverse_reads_counts_match	{'Mmus_BAL-TAL_RRTN_BSL_Rep2_B8'}	check_forward_and_reverse_reads_counts_match	FlagCode.GREEN	Forward and reverse read counts match at 300 sequences 	20	{'sample': Sample(name='Mmus_BAL-TAL_RRTN_BSL_Rep2_B8'), 'reads_key_1': 'raw forward reads fastQC ZIP', 'reads_key_2': 'raw reverse reads fastQC ZIP'}	{}
