Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_raw	0.0	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_raw	0.3333333333333286	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_raw	0.0	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_raw	0.0	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_raw	0.0	46.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_raw	0.3333333333333286	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_raw	0.0	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_raw	0.0	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_raw	0.0	48.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_raw	0.0	48.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep3_R1_raw	0.0	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep3_R2_raw	0.3333333333333286	46.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep1_R1_raw	0.3333333333333286	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep1_R2_raw	0.6666666666666714	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep2_R1_raw	0.3333333333333286	49.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep2_R2_raw	0.3333333333333286	49.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep3_R1_raw	0.0	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep3_R2_raw	0.3333333333333286	46.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep1_R1_raw	0.0	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep1_R2_raw	0.3333333333333286	47.0	125.0	0.0	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep2_R1_raw	0.0	45.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep2_R2_raw	0.0	45.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep3_R1_raw	0.3333333333333286	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep3_R2_raw	0.3333333333333286	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep4_R1_raw	0.6666666666666714	48.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep4_R2_raw	0.6666666666666714	48.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep1_R1_raw	0.6666666666666714	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep1_R2_raw	0.0	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep2_R1_raw	0.0	45.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_1G_Rep2_R2_raw	0.0	45.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep3_R1_raw	0.0	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_1G_Rep3_R2_raw	0.0	46.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep1_R1_raw	0.3333333333333286	48.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep1_R2_raw	0.3333333333333286	48.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep2_R1_raw	0.0	47.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep2_R2_raw	0.3333333333333286	47.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep3_R1_raw	0.0	48.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep3_R2_raw	0.6666666666666714	48.0	125.0	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep4_R1_raw	0.3333333333333286	49.0	125.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep4_R2_raw	0.6666666666666714	49.0	125.0	18.181818181818183	300.0
