Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1	Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	79-125	46.0	100.0	122.84666666666666	pass	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2	Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	71-125	46.0	99.66666666666667	122.23333333333333	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1	Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296.0	0.0	55-125	47.0	100.0	121.69594594594595	pass	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2	Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296.0	0.0	51-125	47.0	100.0	121.48648648648648	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1	Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	63-125	46.0	100.0	122.0066889632107	pass	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2	Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	43-125	46.0	99.66555183946488	121.7324414715719	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1	Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	42-125	47.0	100.0	121.44666666666667	pass	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2	Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	48-125	46.0	100.0	121.19333333333333	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1	Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	62-125	48.0	100.0	122.38666666666667	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2	Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	56-125	48.0	100.0	122.0	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep3_R1	Atha_Ler-0_sl_FLT_0.18G_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	49-125	46.0	100.0	120.78260869565217	pass	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.18G_Rep3_R2	Atha_Ler-0_sl_FLT_0.18G_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	72-125	46.0	99.66555183946488	121.27759197324414	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep1_R1	Atha_Ler-0_sl_FLT_0.36G_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	83-125	47.0	99.66666666666667	123.10333333333334	pass	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep1_R2	Atha_Ler-0_sl_FLT_0.36G_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	67-125	47.0	99.33333333333333	122.30666666666667	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep2_R1	Atha_Ler-0_sl_FLT_0.36G_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	70-125	49.0	99.66666666666667	121.57333333333334	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep2_R2	Atha_Ler-0_sl_FLT_0.36G_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	27-125	49.0	99.66666666666667	120.83333333333333	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep3_R1	Atha_Ler-0_sl_FLT_0.36G_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	88-125	47.0	100.0	122.8561872909699	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.36G_Rep3_R2	Atha_Ler-0_sl_FLT_0.36G_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	88-125	47.0	99.66555183946488	122.70903010033445	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep1_R1	Atha_Ler-0_sl_FLT_0.57G_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	45-125	47.0	100.0	121.75919732441471	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep1_R2	Atha_Ler-0_sl_FLT_0.57G_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	48-125	47.0	99.66555183946488	121.6923076923077	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep2_R1	Atha_Ler-0_sl_FLT_0.57G_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	57-125	45.0	100.0	121.70568561872909	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep2_R2	Atha_Ler-0_sl_FLT_0.57G_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	57-125	45.0	100.0	121.60535117056857	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep3_R1	Atha_Ler-0_sl_FLT_0.57G_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	76-125	47.0	99.66555183946488	121.87959866220736	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep3_R2	Atha_Ler-0_sl_FLT_0.57G_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	72-125	47.0	99.66555183946488	121.63879598662207	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep4_R1	Atha_Ler-0_sl_FLT_0.57G_Rep4_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	37-125	48.0	99.33333333333333	121.38666666666667	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_0.57G_Rep4_R2	Atha_Ler-0_sl_FLT_0.57G_Rep4_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	70-125	48.0	99.33333333333333	121.7	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep1_R1	Atha_Ler-0_sl_FLT_1G_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	67-125	47.0	99.33110367892976	122.06020066889631	pass	pass	pass	pass	warn	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep1_R2	Atha_Ler-0_sl_FLT_1G_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	67-125	47.0	100.0	122.18729096989966	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep2_R1	Atha_Ler-0_sl_FLT_1G_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	90-125	45.0	100.0	122.72666666666667	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep2_R2	Atha_Ler-0_sl_FLT_1G_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	20-125	45.0	100.0	121.12333333333333	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep3_R1	Atha_Ler-0_sl_FLT_1G_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	85-125	47.0	100.0	122.50501672240803	pass	pass	pass	pass	fail	warn	fail	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_1G_Rep3_R2	Atha_Ler-0_sl_FLT_1G_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	29-125	46.0	100.0	121.32441471571906	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep1_R1	Atha_Ler-0_sl_FLT_uG_Rep1_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296.0	0.0	88-125	48.0	99.66216216216216	122.86148648648648	pass	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep1_R2	Atha_Ler-0_sl_FLT_uG_Rep1_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296.0	0.0	20-125	48.0	99.66216216216216	122.19594594594595	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep2_R1	Atha_Ler-0_sl_FLT_uG_Rep2_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	92-125	47.0	100.0	123.18	pass	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep2_R2	Atha_Ler-0_sl_FLT_uG_Rep2_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	92-125	47.0	99.66666666666667	123.10333333333334	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep3_R1	Atha_Ler-0_sl_FLT_uG_Rep3_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	87-125	48.0	100.0	122.00666666666666	pass	pass	pass	pass	fail	fail	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep3_R2	Atha_Ler-0_sl_FLT_uG_Rep3_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	87-125	48.0	99.33333333333333	121.95666666666666	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep4_R1	Atha_Ler-0_sl_FLT_uG_Rep4_R1_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	83-125	49.0	99.66666666666667	122.68333333333334	pass	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
Atha_Ler-0_sl_FLT_uG_Rep4_R2	Atha_Ler-0_sl_FLT_uG_Rep4_R2_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	83-125	50.0	99.33333333333333	122.65333333333334	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
