Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1	0.0	46.0	122.84666666666666	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2	0.3333333333333286	46.0	122.23333333333333	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1	0.0	47.0	121.69594594594595	9.090909090909092	296.0
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2	0.0	47.0	121.48648648648648	9.090909090909092	296.0
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1	0.0	46.0	122.0066889632107	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2	0.3344481605351177	46.0	121.7324414715719	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1	0.0	47.0	121.44666666666667	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2	0.0	46.0	121.19333333333333	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1	0.0	48.0	122.38666666666667	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2	0.0	48.0	122.0	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.18G_Rep3_R1	0.0	46.0	120.78260869565217	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_0.18G_Rep3_R2	0.3344481605351177	46.0	121.27759197324414	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.36G_Rep1_R1	0.3333333333333286	47.0	123.10333333333334	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep1_R2	0.6666666666666714	47.0	122.30666666666667	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep2_R1	0.3333333333333286	49.0	121.57333333333334	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep2_R2	0.3333333333333286	49.0	120.83333333333333	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_0.36G_Rep3_R1	0.0	47.0	122.8561872909699	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.36G_Rep3_R2	0.3344481605351177	47.0	122.70903010033445	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep1_R1	0.0	47.0	121.75919732441471	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep1_R2	0.3344481605351177	47.0	121.6923076923077	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep2_R1	0.0	45.0	121.70568561872909	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep2_R2	0.0	45.0	121.60535117056857	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep3_R1	0.3344481605351177	47.0	121.87959866220736	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep3_R2	0.3344481605351177	47.0	121.63879598662207	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_0.57G_Rep4_R1	0.6666666666666714	48.0	121.38666666666667	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_0.57G_Rep4_R2	0.6666666666666714	48.0	121.7	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep1_R1	0.6688963210702354	47.0	122.06020066889631	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_1G_Rep1_R2	0.0	47.0	122.18729096989966	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_1G_Rep2_R1	0.0	45.0	122.72666666666667	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_1G_Rep2_R2	0.0	45.0	121.12333333333333	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_1G_Rep3_R1	0.0	47.0	122.50501672240803	18.181818181818183	299.0
Atha_Ler-0_sl_FLT_1G_Rep3_R2	0.0	46.0	121.32441471571906	9.090909090909092	299.0
Atha_Ler-0_sl_FLT_uG_Rep1_R1	0.3378378378378386	48.0	122.86148648648648	9.090909090909092	296.0
Atha_Ler-0_sl_FLT_uG_Rep1_R2	0.3378378378378386	48.0	122.19594594594595	9.090909090909092	296.0
Atha_Ler-0_sl_FLT_uG_Rep2_R1	0.0	47.0	123.18	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep2_R2	0.3333333333333286	47.0	123.10333333333334	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep3_R1	0.0	48.0	122.00666666666666	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep3_R2	0.6666666666666714	48.0	121.95666666666666	18.181818181818183	300.0
Atha_Ler-0_sl_FLT_uG_Rep4_R1	0.3333333333333286	49.0	122.68333333333334	9.090909090909092	300.0
Atha_Ler-0_sl_FLT_uG_Rep4_R2	0.6666666666666714	50.0	122.65333333333334	18.181818181818183	300.0
