Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
Atha_Ler-0_sl_FLT_0.09G_Rep1_R1_raw	3.4	300	113	300	37500	132	36854	1.7226666666666668
Atha_Ler-0_sl_FLT_0.09G_Rep1_R2_raw	3.4	300	129	300	37500	86	36872	1.6746666666666667
Atha_Ler-0_sl_FLT_0.09G_Rep2_R1_raw	3.4	300	129	300	37500	76	36711	2.104
Atha_Ler-0_sl_FLT_0.09G_Rep2_R2_raw	3.4	300	124	300	37500	632	36177	3.528
Atha_Ler-0_sl_FLT_0.09G_Rep3_R1_raw	3.4	300	124	300	37500	99	36685	2.1733333333333333
Atha_Ler-0_sl_FLT_0.09G_Rep3_R2_raw	3.4	300	143	300	37500	152	36715	2.0933333333333337
Atha_Ler-0_sl_FLT_0.18G_Rep1_R1_raw	3.4	300	127	300	37500	108	36640	2.2933333333333334
Atha_Ler-0_sl_FLT_0.18G_Rep1_R2_raw	3.4	300	136	300	37500	137	36553	2.525333333333333
Atha_Ler-0_sl_FLT_0.18G_Rep2_R1_raw	3.4	300	110	300	37500	89	36931	1.5173333333333334
Atha_Ler-0_sl_FLT_0.18G_Rep2_R2_raw	3.4	300	124	300	37500	200	36801	1.864
Atha_Ler-0_sl_FLT_0.18G_Rep3_R1_raw	3.4	300	129	300	37500	285	36435	2.8400000000000003
Atha_Ler-0_sl_FLT_0.18G_Rep3_R2_raw	3.4	300	135	300	37500	257	36464	2.7626666666666666
Atha_Ler-0_sl_FLT_0.36G_Rep1_R1_raw	3.4	300	119	300	37500	46	36931	1.5173333333333334
Atha_Ler-0_sl_FLT_0.36G_Rep1_R2_raw	3.4	300	117	300	37500	116	36899	1.602666666666667
Atha_Ler-0_sl_FLT_0.36G_Rep2_R1_raw	3.4	300	135	300	37500	67	36673	2.2053333333333334
Atha_Ler-0_sl_FLT_0.36G_Rep2_R2_raw	3.4	300	112	300	37500	354	36458	2.7786666666666666
Atha_Ler-0_sl_FLT_0.36G_Rep3_R1_raw	3.4	300	123	300	37500	54	36856	1.7173333333333332
Atha_Ler-0_sl_FLT_0.36G_Rep3_R2_raw	3.4	300	122	300	37500	222	36702	2.128
Atha_Ler-0_sl_FLT_0.57G_Rep1_R1_raw	3.4	300	112	300	37500	103	36747	2.008
Atha_Ler-0_sl_FLT_0.57G_Rep1_R2_raw	3.4	300	135	300	37500	252	36571	2.4773333333333336
Atha_Ler-0_sl_FLT_0.57G_Rep2_R1_raw	3.4	300	138	300	37500	178	36657	2.248
Atha_Ler-0_sl_FLT_0.57G_Rep2_R2_raw	3.4	300	124	300	37500	283	36552	2.528
Atha_Ler-0_sl_FLT_0.57G_Rep3_R1_raw	3.4	300	124	300	37500	136	36768	1.952
Atha_Ler-0_sl_FLT_0.57G_Rep3_R2_raw	3.4	300	120	300	37500	324	36580	2.4533333333333336
Atha_Ler-0_sl_FLT_0.57G_Rep4_R1_raw	3.4	300	130	300	37500	259	36618	2.352
Atha_Ler-0_sl_FLT_0.57G_Rep4_R2_raw	3.4	300	127	300	37500	188	36706	2.1173333333333333
Atha_Ler-0_sl_FLT_1G_Rep1_R1_raw	3.4	300	141	300	37500	105	36789	1.8960000000000001
Atha_Ler-0_sl_FLT_1G_Rep1_R2_raw	3.4	300	132	300	37500	192	36729	2.056
Atha_Ler-0_sl_FLT_1G_Rep2_R1_raw	3.4	300	125	300	37500	95	36818	1.8186666666666667
Atha_Ler-0_sl_FLT_1G_Rep2_R2_raw	3.4	300	111	300	37500	462	36476	2.7306666666666666
Atha_Ler-0_sl_FLT_1G_Rep3_R1_raw	3.4	300	113	300	37500	71	36753	1.992
Atha_Ler-0_sl_FLT_1G_Rep3_R2_raw	3.4	300	130	300	37500	340	36477	2.7279999999999998
Atha_Ler-0_sl_FLT_uG_Rep1_R1_raw	3.4	300	137	300	37500	167	36696	2.144
Atha_Ler-0_sl_FLT_uG_Rep1_R2_raw	3.4	300	117	300	37500	608	36300	3.2
Atha_Ler-0_sl_FLT_uG_Rep2_R1_raw	3.4	300	116	300	37500	40	36954	1.456
Atha_Ler-0_sl_FLT_uG_Rep2_R2_raw	3.4	300	134	300	37500	49	36931	1.5173333333333334
Atha_Ler-0_sl_FLT_uG_Rep3_R1_raw	3.4	300	137	300	37500	52	36602	2.3946666666666667
Atha_Ler-0_sl_FLT_uG_Rep3_R2_raw	3.4	300	125	300	37500	124	36587	2.4346666666666668
Atha_Ler-0_sl_FLT_uG_Rep4_R1_raw	3.4	300	126	300	37500	75	36805	1.8533333333333333
Atha_Ler-0_sl_FLT_uG_Rep4_R2_raw	3.4	300	120	300	37500	96	36796	1.8773333333333333
