"","Number of genes with non-zero counts"
"Atha_Ler-0_sl_FLT_0.09G_Rep1",67
"Atha_Ler-0_sl_FLT_0.09G_Rep2",39
"Atha_Ler-0_sl_FLT_0.09G_Rep3",53
"Atha_Ler-0_sl_FLT_0.18G_Rep1",52
"Atha_Ler-0_sl_FLT_0.18G_Rep2",37
"Atha_Ler-0_sl_FLT_0.18G_Rep3",57
"Atha_Ler-0_sl_FLT_0.36G_Rep1",45
"Atha_Ler-0_sl_FLT_0.36G_Rep2",24
"Atha_Ler-0_sl_FLT_0.36G_Rep3",36
"Atha_Ler-0_sl_FLT_0.57G_Rep1",50
"Atha_Ler-0_sl_FLT_0.57G_Rep2",51
"Atha_Ler-0_sl_FLT_0.57G_Rep3",44
"Atha_Ler-0_sl_FLT_0.57G_Rep4",31
"Atha_Ler-0_sl_FLT_1G_Rep1",39
"Atha_Ler-0_sl_FLT_1G_Rep2",50
"Atha_Ler-0_sl_FLT_1G_Rep3",48
"Atha_Ler-0_sl_FLT_uG_Rep1",40
"Atha_Ler-0_sl_FLT_uG_Rep2",35
"Atha_Ler-0_sl_FLT_uG_Rep3",32
"Atha_Ler-0_sl_FLT_uG_Rep4",28
