Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Atha_Ler-0_sl_FLT_0.09G_Rep1	300.0	245.0	78.0	26.0	242.04	49.0	49.0	49.0	0.0	0.0	0.0	0.59	0.05	1.67	0.02	2.0	3.0	1.0	0.0	0.0	0.0	12.33	60.67	0	37	182
Atha_Ler-0_sl_FLT_0.09G_Rep2	296.0	244.0	41.0	13.85	240.46	33.0	33.0	31.0	2.0	0.0	0.0	0.69	0.12	12.0	0.06	3.0	1.0	0.34	0.0	0.0	0.0	16.89	68.92	0	50	204
Atha_Ler-0_sl_FLT_0.09G_Rep3	299.0	245.0	55.0	18.39	245.35	53.0	53.0	52.0	1.0	0.0	0.0	0.18	0.04	1.67	0.0	0.0	1.0	0.33	0.0	0.0	0.0	15.05	66.22	0	45	198
Atha_Ler-0_sl_FLT_0.18G_Rep1	300.0	243.0	53.0	17.67	242.15	31.0	31.0	31.0	0.0	0.0	0.0	0.37	0.03	2.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	15.33	66.0	0	46	198
Atha_Ler-0_sl_FLT_0.18G_Rep2	300.0	245.0	38.0	12.67	241.53	26.0	26.0	26.0	0.0	0.0	0.0	0.47	0.02	1.0	0.04	2.0	2.0	0.67	0.0	0.0	0.0	11.67	75.0	0	35	225
Atha_Ler-0_sl_FLT_0.18G_Rep3	299.0	243.0	60.0	20.07	242.03	46.0	46.0	46.0	0.0	0.0	0.0	0.65	0.01	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.39	63.55	0	49	190
Atha_Ler-0_sl_FLT_0.36G_Rep1	300.0	246.0	47.0	15.67	245.51	39.0	39.0	39.0	0.0	0.0	0.0	0.39	0.04	1.25	0.0	0.0	1.0	0.33	0.0	0.0	0.0	10.0	74.0	0	30	222
Atha_Ler-0_sl_FLT_0.36G_Rep2	300.0	243.0	24.0	8.0	238.46	20.0	20.0	20.0	0.0	0.0	0.0	0.31	0.14	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.67	78.33	0	41	235
Atha_Ler-0_sl_FLT_0.36G_Rep3	299.0	245.0	38.0	12.71	245.05	27.0	27.0	27.0	0.0	0.0	0.0	0.23	0.05	5.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	12.04	74.25	0	36	222
Atha_Ler-0_sl_FLT_0.57G_Rep1	299.0	244.0	53.0	17.73	241.28	43.0	43.0	43.0	0.0	0.0	0.0	0.5	0.19	4.0	0.0	0.0	1.0	0.33	0.0	0.0	0.0	15.05	66.89	0	45	200
Atha_Ler-0_sl_FLT_0.57G_Rep2	299.0	244.0	57.0	19.06	244.18	40.0	40.0	38.0	2.0	0.0	0.0	0.32	0.03	1.33	0.03	2.0	1.0	0.33	0.0	0.0	0.0	17.73	62.88	0	53	188
Atha_Ler-0_sl_FLT_0.57G_Rep3	299.0	244.0	48.0	16.05	242.48	49.0	49.0	49.0	0.0	0.0	0.0	0.46	0.07	2.67	0.0	0.0	1.0	0.33	0.0	0.0	0.0	13.71	69.9	0	41	209
Atha_Ler-0_sl_FLT_0.57G_Rep4	300.0	244.0	34.0	11.33	240.68	30.0	30.0	29.0	1.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	1.0	0.33	0.0	0.0	0.0	18.0	70.33	0	54	211
Atha_Ler-0_sl_FLT_1G_Rep1	299.0	245.0	40.0	13.38	243.1	41.0	41.0	40.0	1.0	0.0	0.0	0.4	0.01	1.0	0.0	0.0	2.0	0.67	0.0	0.0	0.0	13.04	72.91	0	39	218
Atha_Ler-0_sl_FLT_1G_Rep2	300.0	244.0	54.0	18.0	238.87	37.0	37.0	37.0	0.0	0.0	0.0	0.58	0.0	0.0	0.02	1.0	2.0	0.67	0.0	0.0	0.0	16.67	64.67	0	50	194
Atha_Ler-0_sl_FLT_1G_Rep3	299.0	244.0	54.0	18.06	243.37	43.0	43.0	42.0	1.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	5.0	1.67	0.0	0.0	0.0	16.05	64.21	0	48	192
Atha_Ler-0_sl_FLT_uG_Rep1	296.0	245.0	43.0	14.53	242.98	43.0	43.0	43.0	0.0	0.0	0.0	0.22	0.0	0.0	0.03	3.0	0.0	0.0	0.0	0.0	0.0	12.84	72.64	0	38	215
Atha_Ler-0_sl_FLT_uG_Rep2	300.0	246.0	40.0	13.33	243.03	24.0	24.0	24.0	0.0	0.0	0.0	0.51	0.07	7.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	11.33	74.33	0	34	223
Atha_Ler-0_sl_FLT_uG_Rep3	300.0	243.0	36.0	12.0	241.61	29.0	29.0	29.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	0.0	1.0	0.33	0.0	0.0	0.0	14.67	73.0	0	44	219
Atha_Ler-0_sl_FLT_uG_Rep4	300.0	245.0	29.0	9.67	242.03	29.0	29.0	29.0	0.0	0.0	0.0	0.51	0.06	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.67	75.67	0	44	227
