"","Number of genes with non-zero counts"
"Atha_Ler-0_sl_FLT_0.09G_Rep1",59
"Atha_Ler-0_sl_FLT_0.09G_Rep2",32
"Atha_Ler-0_sl_FLT_0.09G_Rep3",51
"Atha_Ler-0_sl_FLT_0.18G_Rep1",51
"Atha_Ler-0_sl_FLT_0.18G_Rep2",31
"Atha_Ler-0_sl_FLT_0.18G_Rep3",52
"Atha_Ler-0_sl_FLT_0.36G_Rep1",43
"Atha_Ler-0_sl_FLT_0.36G_Rep2",20
"Atha_Ler-0_sl_FLT_0.36G_Rep3",34
"Atha_Ler-0_sl_FLT_0.57G_Rep1",42
"Atha_Ler-0_sl_FLT_0.57G_Rep2",44
"Atha_Ler-0_sl_FLT_0.57G_Rep3",40
"Atha_Ler-0_sl_FLT_0.57G_Rep4",33
"Atha_Ler-0_sl_FLT_1G_Rep1",39
"Atha_Ler-0_sl_FLT_1G_Rep2",39
"Atha_Ler-0_sl_FLT_1G_Rep3",49
"Atha_Ler-0_sl_FLT_uG_Rep1",39
"Atha_Ler-0_sl_FLT_uG_Rep2",37
"Atha_Ler-0_sl_FLT_uG_Rep3",30
"Atha_Ler-0_sl_FLT_uG_Rep4",26
