"","Atha_Ler-0_sl_FLT_uG_Rep1","Atha_Ler-0_sl_FLT_uG_Rep2","Atha_Ler-0_sl_FLT_uG_Rep3","Atha_Ler-0_sl_FLT_uG_Rep4","Atha_Ler-0_sl_FLT_0.09G_Rep1","Atha_Ler-0_sl_FLT_0.09G_Rep2","Atha_Ler-0_sl_FLT_0.09G_Rep3","Atha_Ler-0_sl_FLT_0.18G_Rep1","Atha_Ler-0_sl_FLT_0.18G_Rep2","Atha_Ler-0_sl_FLT_0.18G_Rep3","Atha_Ler-0_sl_FLT_0.36G_Rep1","Atha_Ler-0_sl_FLT_0.36G_Rep2","Atha_Ler-0_sl_FLT_0.36G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep1","Atha_Ler-0_sl_FLT_0.57G_Rep2","Atha_Ler-0_sl_FLT_0.57G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep4","Atha_Ler-0_sl_FLT_1G_Rep1","Atha_Ler-0_sl_FLT_1G_Rep2","Atha_Ler-0_sl_FLT_1G_Rep3"
"AT5G00730",2172,4187,2067,3834,247,4082,1821,4800,3831,4177,4411,902,3331,574,2416,3735,715,1837,1663,867
"AT5G00735",1996,1059,1337,1948,2446,3873,3925,1223,2678,2204,2767,4521,239,481,188,2543,3856,3282,347,20
"AT5G00740",758,1360,4369,1946,750,333,3195,4271,720,1788,4574,597,2698,4579,2998,3778,3529,1148,1429,124
"AT5G00745",4305,4277,1272,2089,115,1290,521,4306,988,4371,2559,413,1897,1779,1433,4850,1154,2465,1430,815
"AT5G00750",2601,4934,1630,4661,1772,4834,809,2870,4419,4383,3958,2520,781,2290,4455,4627,3133,3828,837,1576
"AT5G00755",4878,4640,327,2939,3500,3373,4764,1676,419,2370,2270,1241,2713,2169,4087,4093,4638,3239,123,1833
"AT5G00760",2469,4734,316,4025,4260,881,378,1028,748,1880,2963,4313,2698,3615,1469,4287,4646,3562,2179,3531
"AT5G00765",1599,3765,347,1924,2984,3425,4407,1108,3166,683,4874,252,4413,987,2000,352,35,2854,826,2882
"AT5G00770",3863,2511,4613,192,2163,4566,4701,1472,1186,2203,4611,3321,2184,919,3915,2199,2213,3111,1122,3001
"AT5G00775",4171,3721,523,4710,1019,2297,4100,2409,4137,1378,4013,944,2196,840,4650,2261,4203,3574,3969,2535
"AT5G00780",1656,481,1927,4504,4971,1588,736,3796,1304,3011,3149,4847,3551,4167,19,1037,2116,1678,4057,4993
"AT5G00785",1924,1513,2509,26,2081,3913,2852,4180,101,3228,1309,2681,4412,2987,926,4158,3402,1092,3819,341
"AT5G00790",3748,4647,3633,4480,1948,2832,3231,4558,4060,859,977,3450,4641,675,1753,512,4981,4856,1837,3000
"AT5G00795",1307,400,3149,2966,889,4767,4302,1303,1993,2167,1940,800,2350,4348,4429,688,3027,593,4753,806
"AT5G00800",1101,274,1031,2481,2615,321,3007,1123,1049,2866,4518,236,505,4766,574,4286,3515,2892,2320,1415
"AT5G00805",2786,985,3150,1479,1679,2792,97,4138,1279,3694,95,4201,4600,4033,3957,3387,472,4579,729,3817
"AT5G00810",1668,4016,3826,1753,3552,1419,4947,2506,4350,574,4089,1952,3857,261,2829,4342,123,55,277,1061
"AT5G00815",3824,3639,3988,2492,3217,1049,4173,781,104,3561,833,813,1004,1847,2904,3287,2807,976,2628,921
"AT5G00820",3136,2856,3893,1520,3946,3591,1120,4200,204,696,3912,3709,2451,1379,2800,821,2610,51,86,3572
"AT5G00825",4460,4093,2876,980,7,457,3338,3782,913,4230,3806,4363,2603,121,738,776,2249,2469,4970,1037
"AT5G00835",2242,1125,525,2435,2271,709,2334,3313,2478,2339,4726,2611,539,2539,1531,2429,1677,2765,117,1721
"AT5G00840",740,1987,4603,4148,2862,415,3110,3706,4545,1249,1304,3237,633,4380,3710,1603,103,4075,4777,1682
"AT5G00845",3805,3780,909,2534,2332,2569,717,2965,1086,2619,2633,4447,908,4566,3297,2595,3408,1752,755,4864
