"","condition"
"Atha_Ler-0_sl_FLT_uG_Rep1","Space.Flight...0G"
"Atha_Ler-0_sl_FLT_uG_Rep2","Space.Flight...0G"
"Atha_Ler-0_sl_FLT_uG_Rep3","Space.Flight...0G"
"Atha_Ler-0_sl_FLT_uG_Rep4","Space.Flight...0G"
"Atha_Ler-0_sl_FLT_0.09G_Rep1","Space.Flight...0.09G"
"Atha_Ler-0_sl_FLT_0.09G_Rep2","Space.Flight...0.09G"
"Atha_Ler-0_sl_FLT_0.09G_Rep3","Space.Flight...0.09G"
"Atha_Ler-0_sl_FLT_0.18G_Rep1","Space.Flight...0.18G"
"Atha_Ler-0_sl_FLT_0.18G_Rep2","Space.Flight...0.18G"
"Atha_Ler-0_sl_FLT_0.18G_Rep3","Space.Flight...0.18G"
"Atha_Ler-0_sl_FLT_0.36G_Rep1","Space.Flight...0.36G"
"Atha_Ler-0_sl_FLT_0.36G_Rep2","Space.Flight...0.36G"
"Atha_Ler-0_sl_FLT_0.36G_Rep3","Space.Flight...0.36G"
"Atha_Ler-0_sl_FLT_0.57G_Rep1","Space.Flight...0.57G"
"Atha_Ler-0_sl_FLT_0.57G_Rep2","Space.Flight...0.57G"
"Atha_Ler-0_sl_FLT_0.57G_Rep3","Space.Flight...0.57G"
"Atha_Ler-0_sl_FLT_0.57G_Rep4","Space.Flight...0.57G"
"Atha_Ler-0_sl_FLT_1G_Rep1","Space.Flight...1G"
"Atha_Ler-0_sl_FLT_1G_Rep2","Space.Flight...1G"
"Atha_Ler-0_sl_FLT_1G_Rep3","Space.Flight...1G"
