"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Atha_Ler-0_sl_FLT_uG_Rep1",-20.8876942804963,28.1664547272331,-13.7248069671054,18.0303690638087,-9.46563993478022,2.34153037896688,-1.61459359359147,8.40781431359213,-4.1599265944165,11.9399254871134,-18.7506191010712,19.3504205458985,-21.4031103215334,-3.91776353804803,-36.3918897128102,24.1164455619965,-13.5466754268004,-1.66023691635031,2.65383561236206,6.00977601017405e-14
"Atha_Ler-0_sl_FLT_uG_Rep2",-25.7769295766204,-16.9003616744055,-34.069304416702,17.8851235601387,9.51019247744119,-30.4170969266176,-6.04108491917817,15.8395353680651,-22.0908452279598,23.566648120365,-4.83035453191335,-26.8227007297278,19.7920267326663,15.9500602760723,-2.5558531253216,-6.4762425320107,-16.9677172326488,0.235657105142299,-12.9296199277194,6.98885394001536e-14
"Atha_Ler-0_sl_FLT_uG_Rep3",5.88295997279141,18.8712765981607,18.0512411980251,0.683062682246735,0.935828401622401,-35.1180525974993,-58.1218638092023,-28.8542427287934,11.843642267838,-2.44699959930111,-10.7848599111389,8.68107081986102,-2.06540012485021,12.8026893478485,1.51904975291065,-8.05809402174684,6.21713205343634,7.20949279981776,4.88935421587589,8.91821338999677e-14
"Atha_Ler-0_sl_FLT_uG_Rep4",33.5745840530337,17.5770700818883,-22.9567155240453,35.5237921907739,14.5405808358419,-8.09866662382648,12.0842206519901,18.6095216217961,51.7945882105918,5.75859133996845,23.9191704358587,7.77689963240566,-6.68497225598913,9.88514690778668,2.60539104435493,-9.23965999069962,0.333519204203699,-2.99090494782852,-1.42115029207968,6.43929354282591e-14
"Atha_Ler-0_sl_FLT_0.09G_Rep1",-94.8497570025833,-47.62843610374,48.1103241763928,27.865162732232,41.4811077298807,20.7158447632598,12.4366350727613,-17.5269803212446,2.23761003403245,6.61909556745137,-1.02001713289135,-0.834270991758711,-7.55798934818386,8.35574898459284,0.225052619764352,0.89975902525918,3.88141746281436,4.95283258213082,0.222097624012669,7.60502771868232e-14
"Atha_Ler-0_sl_FLT_0.09G_Rep2",-49.7591060900397,-24.1704079555287,-2.58371131973815,12.2288325383003,-16.0961037526322,-24.7602524735445,9.1444362181658,1.51044154884104,-1.64550228827556,-21.5172719016,0.0488121537843649,27.8533264303602,20.7277654405989,-30.5332873765869,-4.7756886706107,-16.0289483006738,3.44822477937882,-1.62695665682649,-15.0499758617305,1.33632688248397e-13
"Atha_Ler-0_sl_FLT_0.09G_Rep3",-27.9175713996299,12.1636114349007,-19.8857446016899,-5.35913195479298,-0.801052413883021,7.36188123430831,3.32083550572432,14.3309352035053,-24.9750946810927,12.0853536190345,11.3361152993276,17.3618072117543,9.20211542236089,6.79377563222923,2.85988720154928,-15.2825747542602,12.1531831945377,2.05640459858106,38.980941844773,6.56193849257747e-14
"Atha_Ler-0_sl_FLT_0.18G_Rep1",69.3558310116565,-6.53822129998468,-2.41360954023543,-0.987028690108973,44.4104483187189,15.8076533891742,-27.2040345143398,-2.32774742013576,-17.1673985485814,1.97535288933577,26.2083994589612,-1.55252566985588,1.11408026651418,-30.9061529142257,-3.1513883760229,6.8458770176038,-9.77645491248627,1.38541629461175,-1.0181392191075,2.51534904016637e-14
"Atha_Ler-0_sl_FLT_0.18G_Rep2",-18.5203313050875,44.7348462047923,-10.1306252621002,11.7095448269733,-4.20929889526872,6.72206150023311,3.02781138571549,3.42869326262232,-5.36451895354137,14.9125603730189,-22.8833570674978,-7.9522031309019,-25.3266118309116,-23.5911894296042,35.948321070703,-9.84522482347107,1.43730919819653,1.68833857332475,-4.73017049461552,5.67601521339611e-14
"Atha_Ler-0_sl_FLT_0.18G_Rep3",-25.1724119505764,57.0863606192811,10.3427664019621,-4.59227193506195,-9.27917325172412,28.3262590723898,1.75924406619292,-17.2193628550553,-5.30114233747187,-20.0937133856947,10.2233084914371,7.32712427165492,13.6861301968437,16.5287417077351,11.2273745999353,-1.07431558508443,-30.8478726069674,-17.186376681638,-5.0440690616849,-5.92720317271755e-14
"Atha_Ler-0_sl_FLT_0.36G_Rep1",-25.7352819074599,34.1463873165356,-15.9173674607465,-1.57336561428491,-4.47727167918361,3.54431592708825,0.869738710921389,4.00413157387793,-6.02947380882543,-9.06276655095411,13.1436311331148,-0.276088111419084,12.5753261382387,8.26462807345505,10.3087181765587,35.1794282162691,26.1650821780113,21.7282627447433,-13.7112271048052,3.15338033463064e-14
"Atha_Ler-0_sl_FLT_0.36G_Rep2",79.6231558042939,23.7640342113772,26.6112599165963,-19.8072117447214,18.0774437832985,-36.3209868743867,47.9283468837931,-23.071108839525,-11.6070717091739,9.58178703898503,-6.36050931591978,6.97644385199666,1.43091703312889,4.50819727342834,-1.54985949071501,0.800551276901064,-0.483064416069575,4.816440790265,-0.250458256822589,2.26763052779688e-14
"Atha_Ler-0_sl_FLT_0.36G_Rep3",17.3998555384504,-12.3216809903022,-24.3689800670669,-12.6006814868164,-25.2759045115586,28.0129091432482,5.44113764711971,-19.4833339565056,-6.41320348788367,-5.54671841620358,10.6172637968795,-9.2072578960445,-18.6827712782161,7.47242645409236,-18.2621915541603,-27.0977503768823,1.50502815841729,24.6361524874597,-11.7503088215304,3.56104035148519e-14
"Atha_Ler-0_sl_FLT_0.57G_Rep1",-44.0930220990471,-26.7800373500717,-4.52632499266796,-19.7629171853919,-15.1139353232575,-36.7773680205797,6.79920026940444,-1.71046908806816,2.80442855983301,-25.699388799646,20.3619657266548,-22.2281902248987,-24.7249847465528,-6.28151667720313,4.49855497212116,13.3668766394029,-10.1604619329623,-5.36510077237529,15.857379740717,1.0737244426906e-13
"Atha_Ler-0_sl_FLT_0.57G_Rep2",-17.2794058803204,22.8249775208639,32.1616940154042,-39.0775744320339,3.23514915652208,1.78831277595304,-7.56986366202801,23.7311771362603,-3.24750102663314,8.65691719121726,7.02423201308205,-8.19985015201875,-8.37845919805044,3.33466438513832,-14.2996637153486,-9.83676449146731,23.2689746469293,-27.9542589669031,-15.2935152743296,7.36077865326479e-14
"Atha_Ler-0_sl_FLT_0.57G_Rep3",68.1063203832711,-27.8098871684559,53.4399152564717,43.8765993824834,-52.1850397887813,7.39766028788814,-3.3621305746374,8.94501508794249,-10.0343991845495,8.08916125801514,6.3413448318783,-7.40736525680605,4.31917484762955,0.699646480922621,4.61012622887654,6.3096555707761,2.67979013456208,-3.52023926745349,3.73146869725518,5.99520433297585e-14
