Sample Name,has_ERCC,organism,paired_end,read1_path,read2_path,Factor Value[Spaceflight],Factor Value[Altered Gravity],Original Sample Name
Atha_Ler-0_sl_FLT_uG_Rep1,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep1_Sample-111_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep1_Sample-111_R2_raw.fastq.gz,Space Flight,0G,Atha_Ler-0_sl_FLT_uG_Rep1
Atha_Ler-0_sl_FLT_uG_Rep2,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep2_Sample-114_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep2_Sample-114_R2_raw.fastq.gz,Space Flight,0G,Atha_Ler-0_sl_FLT_uG_Rep2
Atha_Ler-0_sl_FLT_uG_Rep3,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep3_Sample-116_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep3_Sample-116_R2_raw.fastq.gz,Space Flight,0G,Atha_Ler-0_sl_FLT_uG_Rep3
Atha_Ler-0_sl_FLT_uG_Rep4,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep4_Sample-120_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_uG_Rep4_Sample-120_R2_raw.fastq.gz,Space Flight,0G,Atha_Ler-0_sl_FLT_uG_Rep4
Atha_Ler-0_sl_FLT_0.09G_Rep1,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep1_Sample-131_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep1_Sample-131_R2_raw.fastq.gz,Space Flight,0.09G,Atha_Ler-0_sl_FLT_0.09G_Rep1
Atha_Ler-0_sl_FLT_0.09G_Rep2,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep2_Sample-136_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep2_Sample-136_R2_raw.fastq.gz,Space Flight,0.09G,Atha_Ler-0_sl_FLT_0.09G_Rep2
Atha_Ler-0_sl_FLT_0.09G_Rep3,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep3_Sample-139_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.09G_Rep3_Sample-139_R2_raw.fastq.gz,Space Flight,0.09G,Atha_Ler-0_sl_FLT_0.09G_Rep3
Atha_Ler-0_sl_FLT_0.18G_Rep1,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep1_Sample-135_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep1_Sample-135_R2_raw.fastq.gz,Space Flight,0.18G,Atha_Ler-0_sl_FLT_0.18G_Rep1
Atha_Ler-0_sl_FLT_0.18G_Rep2,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep2_Sample-151_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep2_Sample-151_R2_raw.fastq.gz,Space Flight,0.18G,Atha_Ler-0_sl_FLT_0.18G_Rep2
Atha_Ler-0_sl_FLT_0.18G_Rep3,False,Arabidopsis thaliana,True,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep3_Sample-156_R1_raw.fastq.gz,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/GLDS-251/download?file=GLDS-251_rna_seq_Atha_Ler-0_sl_FLT_0.18G_Rep3_Sample-156_R2_raw.fastq.gz,Space Flight,0.18G,Atha_Ler-0_sl_FLT_0.18G_Rep3
