Sample Name	organism	paired_end	has_ERCC	Factor Value[Spaceflight]	Factor Value[Altered Gravity]	Raw Data File (RNA Sequencing (RNA-Seq))	GLDS-#	Device Type	Comment[Original Submitted Sample Name]	Characteristics[Organism]	Characteristics[Ecotype]	Characteristics[Material Type]	Parameter Value[Hardware]	Parameter Value[Light Cycle]	Parameter Value[Sample Preservation Method]	Parameter Value[Actual Gravity Level]	Rep #	Age	Genotype	Time	 Light	Temperature	Treatment type	Dose
Atha_Ler-0_sl_FLT_uG_Rep1	Arabidopsis thaliana	True	False	Space Flight	0G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_111_UMISS_Hoeksema_ATCACG_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 111	Arabidopsis thaliana	Rep 1	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_uG_Rep2	Arabidopsis thaliana	True	False	Space Flight	0G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_114_UMISS_Hoeksema_CGATGT_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 114	Arabidopsis thaliana	Rep 2	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_uG_Rep3	Arabidopsis thaliana	True	False	Space Flight	0G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_116_UMISS_Hoeksema_TTAGGC_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 116	Arabidopsis thaliana	Rep 3	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_uG_Rep4	Arabidopsis thaliana	True	False	Space Flight	0G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_120_UMISS_Hoeksema_TGACCA_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 120	Arabidopsis thaliana	Rep 4	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.09G_Rep1	Arabidopsis thaliana	True	False	Space Flight	0.09G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_131_UMISS_Hoeksema_ACAGTG_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 131	Arabidopsis thaliana	Rep 1	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.09G_Rep2	Arabidopsis thaliana	True	False	Space Flight	0.09G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_136_UMISS_Hoeksema_CAGATC_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 136	Arabidopsis thaliana	Rep 2	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.09G_Rep3	Arabidopsis thaliana	True	False	Space Flight	0.09G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_139_UMISS_Hoeksema_ACTTGA_L002_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 139	Arabidopsis thaliana	Rep 3	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.18G_Rep1	Arabidopsis thaliana	True	False	Space Flight	0.18G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_135_UMISS_Hoeksema_GCCAAT_L001_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 135	Arabidopsis thaliana	Rep 1	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.18G_Rep2	Arabidopsis thaliana	True	False	Space Flight	0.18G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_151_UMISS_Hoeksema_GATCAG_L002_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 151	Arabidopsis thaliana	Rep 2	 	 	 	 	 	 	 
Atha_Ler-0_sl_FLT_0.18G_Rep3	Arabidopsis thaliana	True	False	Space Flight	0.18G	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R1_001.fastq.gz, GLDS-251_rna-seq_13JUN2017HiSeq_Run_Sample_156_UMISS_Hoeksema_GGCTAC_L002_R2_001.fastq.gz	GLDS-251	RNA Sequencing (RNA-Seq), , , , , , 	Sample 156	Arabidopsis thaliana	Rep 3	 	 	 	 	 	 	 
