Sample	pe_sense	pe_antisense	failed
Atha_Ler-0_sl_FLT_0.09G_Rep1_infer_expt	0.3974	0.5513	0.0513
Atha_Ler-0_sl_FLT_0.09G_Rep2_infer_expt	0.525	0.475	0.0
Atha_Ler-0_sl_FLT_0.09G_Rep3_infer_expt	0.4	0.5818	0.0182
Atha_Ler-0_sl_FLT_0.18G_Rep1_infer_expt	0.4528	0.5094	0.0377
Atha_Ler-0_sl_FLT_0.18G_Rep2_infer_expt	0.4737	0.5263	0.0
Atha_Ler-0_sl_FLT_0.18G_Rep3_infer_expt	0.5667	0.4333	0.0
Atha_Ler-0_sl_FLT_0.36G_Rep1_infer_expt	0.617	0.3298	0.0532
Atha_Ler-0_sl_FLT_0.36G_Rep2_infer_expt	0.7083	0.2917	0.0
Atha_Ler-0_sl_FLT_0.36G_Rep3_infer_expt	0.4474	0.5132	0.0395
Atha_Ler-0_sl_FLT_0.57G_Rep1_infer_expt	0.434	0.566	0.0
Atha_Ler-0_sl_FLT_0.57G_Rep2_infer_expt	0.3982	0.5398	0.0619
Atha_Ler-0_sl_FLT_0.57G_Rep3_infer_expt	0.4792	0.5208	0.0
Atha_Ler-0_sl_FLT_0.57G_Rep4_infer_expt	0.5588	0.4118	0.0294
Atha_Ler-0_sl_FLT_1G_Rep1_infer_expt	0.45	0.5375	0.0125
Atha_Ler-0_sl_FLT_1G_Rep2_infer_expt	0.4057	0.566	0.0283
Atha_Ler-0_sl_FLT_1G_Rep3_infer_expt	0.5	0.463	0.037
Atha_Ler-0_sl_FLT_uG_Rep1_infer_expt	0.4643	0.5238	0.0119
Atha_Ler-0_sl_FLT_uG_Rep2_infer_expt	0.3974	0.5128	0.0897
Atha_Ler-0_sl_FLT_uG_Rep3_infer_expt	0.4	0.5714	0.0286
Atha_Ler-0_sl_FLT_uG_Rep4_infer_expt	0.3571	0.6429	0.0
