task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	b9/2fca5b	1523	STAGING:GENERATE_RUNSHEET (GLDS-251)	CACHED	0	2022-09-15 02:31:34.805	6s	4.6s	52.7%	73.1 MB	732.8 MB	22.1 MB	495.3 KB
2	38/378fb5	2029	STAGING:GENERATE_METASHEET (GLDS-251)	CACHED	0	2022-09-15 02:31:40.962	2.2s	993ms	83.8%	13.3 MB	19 MB	9.2 MB	161.8 KB
3	5e/7b8c29	2272	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep1)	CACHED	0	2022-09-15 02:31:42.445	74ms	7ms	61.5%	0	0	113.8 KB	35.3 KB
7	c9/1d14bd	-	REFERENCES:PARSE_ANNOTATIONS_TABLE	CACHED	-	2022-09-15 02:31:42.570	271ms	218ms	-	-	-	-	-
5	77/c967e8	2372	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep1)	CACHED	0	2022-09-15 02:31:42.565	1.8s	0ms	96.1%	10.6 MB	17.1 MB	10 MB	812.8 KB
4	2d/103752	2366	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep1)	CACHED	0	2022-09-15 02:31:42.544	29.2s	27s	48.5%	218.9 MB	3.4 GB	21.1 MB	4.1 MB
11	9b/e69663	26819	GET_MAX_READ_LENGTH (3)	CACHED	0	2022-09-15 02:32:25.885	5.3s	1s	15.9%	11.4 MB	16.5 MB	1.1 MB	1.3 MB
9	99/89d0de	3574	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep1)	CACHED	0	2022-09-15 02:31:44.391	26.4s	24s	45.2%	205.1 MB	3.4 GB	21.1 MB	4.2 MB
10	51/a6031a	26407	GET_MAX_READ_LENGTH (4)	CACHED	0	2022-09-15 02:32:24.981	5.1s	634ms	22.3%	3.2 MB	5.6 MB	1.1 MB	1.3 MB
17	77/a5a1b1	2958	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep2)	CACHED	0	2022-09-15 02:31:43.566	61ms	7ms	72.7%	0	0	113.5 KB	35 KB
18	71/a72899	3044	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep2)	CACHED	0	2022-09-15 02:31:43.642	2.1s	1s	81.9%	11.3 MB	17.8 MB	10 MB	821.3 KB
19	85/0b0810	3051	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep2)	CACHED	0	2022-09-15 02:31:43.648	22.3s	20s	52.2%	180 MB	3.3 GB	21 MB	4 MB
22	73/71d359	23770	GET_MAX_READ_LENGTH (2)	CACHED	0	2022-09-15 02:32:20.171	5.6s	1.2s	15.3%	11.1 MB	16 MB	1.1 MB	1.3 MB
21	7c/56e63b	23780	GET_MAX_READ_LENGTH (1)	CACHED	0	2022-09-15 02:32:20.262	4.6s	894ms	19.2%	13.9 MB	18.8 MB	1.1 MB	1.3 MB
20	a5/561652	4649	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep2)	CACHED	0	2022-09-15 02:31:45.772	25.4s	23s	38.6%	146.2 MB	3.4 GB	21.1 MB	4.2 MB
23	90/f40b34	3738	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep3)	CACHED	0	2022-09-15 02:31:44.578	65ms	6ms	128.0%	0	0	113.6 KB	35.1 KB
25	1e/a28da5	3842	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep3)	CACHED	0	2022-09-15 02:31:44.676	2.7s	1s	70.8%	12.8 MB	19.3 MB	10 MB	816 KB
24	14/0eb595	3854	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep3)	CACHED	0	2022-09-15 02:31:44.685	27.3s	25s	41.7%	207.2 MB	3.3 GB	21 MB	4.1 MB
28	ed/7df298	28137	GET_MAX_READ_LENGTH (5)	CACHED	0	2022-09-15 02:32:28.182	4.7s	595ms	25.2%	13.7 MB	18.3 MB	1.1 MB	1.3 MB
27	86/0ef94c	26826	GET_MAX_READ_LENGTH (6)	CACHED	0	2022-09-15 02:32:25.896	4.7s	891ms	19.0%	3.2 MB	5.6 MB	1.1 MB	1.3 MB
26	f0/38b9fb	5805	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep3)	CACHED	0	2022-09-15 02:31:47.383	28.8s	25s	42.4%	210.1 MB	3.4 GB	21.1 MB	4.3 MB
29	70/534153	4559	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_uG_Rep4)	CACHED	0	2022-09-15 02:31:45.694	183ms	12ms	88.9%	0	0	112.6 KB	34.1 KB
31	95/51b6ba	4761	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_uG_Rep4)	CACHED	0	2022-09-15 02:31:45.892	5.9s	2s	35.7%	12.7 MB	19.3 MB	10 MB	817 KB
30	40/bd1322	4763	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep4)	CACHED	0	2022-09-15 02:31:45.898	27.3s	24s	41.7%	179 MB	3.3 GB	21 MB	4.1 MB
34	90/ed1293	29344	GET_MAX_READ_LENGTH (8)	CACHED	0	2022-09-15 02:32:30.292	5.2s	721ms	22.6%	3.3 MB	5.6 MB	1.1 MB	1.3 MB
33	e5/1f94ec	29509	GET_MAX_READ_LENGTH (7)	CACHED	0	2022-09-15 02:32:30.606	4.7s	597ms	23.4%	3.2 MB	5.6 MB	1.1 MB	1.3 MB
32	a2/f2d065	9832	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_uG_Rep4)	CACHED	0	2022-09-15 02:31:53.972	34.2s	29s	43.8%	174.7 MB	3.4 GB	21.1 MB	4.3 MB
35	87/bc5e8d	5266	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep1)	CACHED	0	2022-09-15 02:31:46.677	392ms	15ms	20.6%	0	0	115.1 KB	36.6 KB
36	e8/8d21ac	5645	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep1)	CACHED	0	2022-09-15 02:31:47.162	6.8s	3s	27.4%	13 MB	19.3 MB	10 MB	823.6 KB
37	24/550438	5636	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep1)	CACHED	0	2022-09-15 02:31:47.107	29.7s	26s	35.3%	199.4 MB	3.2 GB	21 MB	4.1 MB
39	62/85db83	29849	GET_MAX_READ_LENGTH (9)	CACHED	0	2022-09-15 02:32:31.195	5.5s	699ms	20.8%	3.2 MB	5.6 MB	1.1 MB	1.3 MB
40	a4/f2468e	30198	GET_MAX_READ_LENGTH (10)	CACHED	0	2022-09-15 02:32:31.693	4.8s	572ms	29.4%	13.7 MB	18.3 MB	1.1 MB	1.3 MB
38	9b/d32738	12386	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep1)	CACHED	0	2022-09-15 02:31:58.174	32.1s	27s	39.5%	191.9 MB	3.4 GB	21.1 MB	4.2 MB
41	a7/8a8e85	6213	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep2)	CACHED	0	2022-09-15 02:31:48.087	673ms	80ms	15.3%	0	0	114.8 KB	36.2 KB
42	5d/4246d4	6593	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep2)	CACHED	0	2022-09-15 02:31:48.778	9.6s	6s	16.5%	12.8 MB	19.3 MB	10 MB	813.2 KB
43	ec/2a6c0e	6584	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep2)	CACHED	0	2022-09-15 02:31:48.772	30.3s	25s	40.6%	234 MB	3.4 GB	21 MB	4.1 MB
44	8c/172d88	16428	TRIMMED_FASTQC (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep2)	CACHED	0	2022-09-15 02:32:05.989	28.1s	24s	48.5%	216.1 MB	3.4 GB	21.1 MB	4.3 MB
45	6a/f9632c	30834	GET_MAX_READ_LENGTH (11)	CACHED	0	2022-09-15 02:32:32.590	5.1s	485ms	32.6%	13.5 MB	18.3 MB	1.1 MB	1.3 MB
46	16/eae624	30957	GET_MAX_READ_LENGTH (12)	CACHED	0	2022-09-15 02:32:32.897	4.4s	391ms	34.9%	3.2 MB	5.6 MB	1.1 MB	1.3 MB
47	bd/287fba	7128	STAGING:STAGE_RAW_READS (Atha_Ler-0_sl_FLT_0.09G_Rep3)	CACHED	0	2022-09-15 02:31:49.496	802ms	86ms	11.0%	0	0	114.6 KB	36.1 KB
48	ef/9767de	7845	TRIMGALORE (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep3)	CACHED	0	2022-09-15 02:31:50.403	9.2s	4s	22.4%	12.9 MB	19.3 MB	10 MB	818.7 KB
49	74/9e2053	7834	RAW_FASTQC (Sample: Atha_Ler-0_sl_FLT_0.09G_Rep3)	CACHED	0	2022-09-15 02:31:50.378	37.9s	33s	35.8%	220.7 MB	3.4 GB	21 MB	4.1 MB
51	85/a89473	42109	GET_MAX_READ_LENGTH (15)	CACHED	0	2022-09-15 02:32:49.881	7.3s	615ms	23.8%	3.1 MB	5.6 MB	1.1 MB	1.3 MB
