Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GSM4486031_raw	GSM4486031_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	98.0	50.0	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486032_raw	GSM4486032_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.0	50.0	pass	warn	pass	warn	warn	warn	pass	pass	warn	pass
GSM4486033_raw	GSM4486033_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	97.33333333333334	50.0	pass	warn	pass	fail	warn	warn	pass	pass	fail	pass
GSM4486034_raw	GSM4486034_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	98.33333333333333	50.0	pass	pass	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486035_raw	GSM4486035_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	99.0	50.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486036_raw	GSM4486036_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	52.0	97.33333333333334	50.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
GSM4486037_raw	GSM4486037_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	99.0	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486038_raw	GSM4486038_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	99.33333333333333	50.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486039_raw	GSM4486039_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	97.33333333333334	50.0	pass	warn	pass	fail	fail	warn	pass	pass	fail	pass
GSM4486040_raw	GSM4486040_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.0	50.0	pass	pass	pass	warn	warn	warn	pass	pass	warn	pass
GSM4486041_raw	GSM4486041_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	97.66666666666667	50.0	pass	warn	pass	fail	fail	warn	pass	pass	warn	pass
GSM4486042_raw	GSM4486042_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	98.66666666666667	50.0	pass	warn	pass	fail	fail	warn	pass	pass	warn	pass
GSM4486043_raw	GSM4486043_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	99.33333333333333	50.0	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486044_raw	GSM4486044_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	98.33333333333333	50.0	pass	pass	pass	fail	fail	warn	pass	pass	warn	pass
GSM4486045_raw	GSM4486045_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.66666666666667	50.0	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
GSM4486046_raw	GSM4486046_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	96.0	50.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
GSM4486047_raw	GSM4486047_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.33333333333333	50.0	pass	warn	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486048_raw	GSM4486048_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	98.66666666666667	50.0	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486049_raw	GSM4486049_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	98.33333333333333	50.0	pass	warn	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486050_raw	GSM4486050_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	98.33333333333333	50.0	pass	pass	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486051_raw	GSM4486051_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	98.66666666666667	50.0	pass	warn	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486052_raw	GSM4486052_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	97.33333333333334	50.0	pass	warn	pass	warn	warn	warn	pass	pass	fail	pass
GSM4486053_raw	GSM4486053_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	96.66666666666667	50.0	pass	warn	pass	warn	warn	warn	pass	pass	fail	pass
GSM4486054_raw	GSM4486054_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	96.66666666666667	50.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
GSM4486055_raw	GSM4486055_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	96.66666666666667	50.0	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
GSM4486056_raw	GSM4486056_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	97.0	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486057_raw	GSM4486057_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	98.66666666666667	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486058_raw	GSM4486058_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.66666666666667	50.0	pass	pass	pass	warn	fail	warn	pass	pass	warn	pass
GSM4486059_raw	GSM4486059_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.33333333333333	50.0	pass	pass	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486060_raw	GSM4486060_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	97.66666666666667	50.0	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486061_raw	GSM4486061_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	53.0	99.0	50.0	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486062_raw	GSM4486062_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	98.66666666666667	50.0	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
GSM4486063_raw	GSM4486063_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	98.66666666666667	50.0	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486064_raw	GSM4486064_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	99.33333333333333	50.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486065_raw	GSM4486065_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	98.0	50.0	pass	pass	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486066_raw	GSM4486066_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	98.66666666666667	50.0	pass	pass	pass	warn	warn	warn	pass	pass	warn	pass
GSM4486067_raw	GSM4486067_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	99.0	50.0	pass	warn	pass	fail	warn	warn	pass	pass	warn	pass
GSM4486068_raw	GSM4486068_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	47.0	99.33333333333333	50.0	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486069_raw	GSM4486069_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	96.66666666666667	50.0	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
GSM4486070_raw	GSM4486070_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	98.0	50.0	pass	warn	pass	warn	warn	warn	pass	pass	warn	pass
GSM4486071_raw	GSM4486071_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	52.0	98.33333333333333	50.0	pass	warn	pass	fail	warn	pass	pass	pass	warn	pass
GSM4486072_raw	GSM4486072_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	99.66666666666667	50.0	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486073_raw	GSM4486073_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	50.0	99.66666666666667	50.0	pass	warn	pass	warn	warn	pass	pass	pass	warn	pass
GSM4486074_raw	GSM4486074_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	51.0	96.66666666666667	50.0	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
