Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
GSM4486031	GSM4486031_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	40-50	47.0	98.66666666666667	48.70666666666666	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486032	GSM4486032_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	292.0	0.0	44-50	47.0	99.65753424657534	49.52739726027397	pass	warn	pass	fail	warn	warn	warn	pass	warn	pass
GSM4486033	GSM4486033_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	46-50	48.0	97.6510067114094	49.42953020134228	pass	warn	pass	fail	fail	warn	warn	pass	fail	pass
GSM4486034	GSM4486034_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	46-50	48.0	98.3221476510067	49.43288590604027	pass	pass	pass	fail	warn	warn	warn	pass	fail	pass
GSM4486035	GSM4486035_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	42-50	52.0	99.0	49.11666666666667	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486036	GSM4486036_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	41-50	52.0	98.33333333333333	48.96666666666667	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486037	GSM4486037_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	42-50	51.0	99.0	49.56666666666667	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486038	GSM4486038_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	44-50	50.0	99.33333333333333	49.486666666666665	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
GSM4486039	GSM4486039_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	47-50	46.0	97.33333333333334	49.553333333333335	pass	warn	pass	fail	fail	warn	warn	pass	fail	pass
GSM4486040	GSM4486040_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	40-50	47.0	98.99665551839465	49.42809364548495	pass	pass	pass	fail	warn	warn	warn	pass	warn	pass
