Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
GSM4486031_raw	2.5866666666666664
GSM4486032_raw	3.5866666666666664
GSM4486033_raw	1.7999999999999998
GSM4486034_raw	1.7933333333333332
GSM4486035_raw	1.7666666666666668
GSM4486036_raw	2.0666666666666664
GSM4486037_raw	0.8666666666666666
GSM4486038_raw	1.0266666666666666
GSM4486039_raw	0.8933333333333333
GSM4486040_raw	1.4733333333333332
GSM4486041_raw	1.2533333333333334
GSM4486042_raw	1.6266666666666665
GSM4486043_raw	1.3599999999999999
GSM4486044_raw	1.24
GSM4486045_raw	1.06
GSM4486046_raw	1.76
GSM4486047_raw	0.76
GSM4486048_raw	2.3333333333333335
GSM4486049_raw	1.26
GSM4486050_raw	1.8933333333333333
GSM4486051_raw	1.2866666666666666
GSM4486052_raw	2.6866666666666665
GSM4486053_raw	1.4333333333333333
GSM4486054_raw	2.5733333333333333
GSM4486055_raw	2.4533333333333336
GSM4486056_raw	1.4066666666666667
GSM4486057_raw	2.3466666666666667
GSM4486058_raw	1.16
GSM4486059_raw	2.18
GSM4486060_raw	1.04
GSM4486061_raw	2.1866666666666665
GSM4486062_raw	2.2733333333333334
GSM4486063_raw	2.3333333333333335
GSM4486064_raw	1.76
GSM4486065_raw	1.1933333333333334
GSM4486066_raw	2.473333333333333
GSM4486067_raw	0.9533333333333333
GSM4486068_raw	2.6866666666666665
GSM4486069_raw	2.2133333333333334
GSM4486070_raw	2.013333333333333
GSM4486071_raw	1.8066666666666669
GSM4486072_raw	1.6400000000000001
GSM4486073_raw	2.32
GSM4486074_raw	1.2866666666666666
