Sample	Unalignable	Alignable	Filtered	Total	alignable_percent	Unique	Multi	Uncertain
GSM4486031	24	173	0	197	87.81725888324873	147	26	92
GSM4486032	30	173	0	203	85.22167487684729	129	44	113
GSM4486033	19	195	0	214	91.1214953271028	159	36	113
GSM4486034	14	210	0	224	93.75	181	29	115
GSM4486035	24	132	0	156	84.61538461538461	51	81	106
GSM4486036	19	119	0	138	86.23188405797102	50	69	95
GSM4486037	32	144	0	176	81.81818181818183	91	53	88
GSM4486038	55	143	0	198	72.22222222222221	98	45	94
GSM4486039	36	193	0	229	84.27947598253274	177	16	101
GSM4486040	24	174	0	198	87.87878787878788	160	14	104
GSM4486041	10	195	0	205	95.1219512195122	166	29	109
GSM4486042	21	202	0	223	90.5829596412556	169	33	120
GSM4486043	17	213	0	230	92.6086956521739	175	38	133
GSM4486044	8	205	0	213	96.24413145539906	163	42	130
GSM4486045	34	187	0	221	84.61538461538461	139	48	116
GSM4486046	65	138	0	203	67.98029556650246	98	40	96
GSM4486047	17	189	0	206	91.74757281553399	157	32	117
GSM4486048	21	203	0	224	90.625	188	15	115
GSM4486049	34	192	0	226	84.95575221238938	181	11	91
GSM4486050	20	184	0	204	90.19607843137256	150	34	114
GSM4486051	20	219	0	239	91.63179916317992	188	31	123
GSM4486052	21	149	0	170	87.6470588235294	85	64	107
GSM4486053	19	161	0	180	89.44444444444444	108	53	100
GSM4486054	59	126	0	185	68.10810810810811	63	63	93
GSM4486055	56	114	0	170	67.05882352941175	53	61	81
GSM4486056	42	164	0	206	79.6116504854369	136	28	106
GSM4486057	23	186	0	209	88.99521531100478	172	14	94
GSM4486058	18	213	0	231	92.20779220779221	183	30	119
GSM4486059	24	181	0	205	88.29268292682927	149	32	110
GSM4486060	16	199	0	215	92.55813953488372	161	38	117
GSM4486061	33	114	0	147	77.55102040816327	55	59	80
GSM4486062	47	146	0	193	75.64766839378238	82	64	107
GSM4486063	32	122	0	154	79.22077922077922	59	63	95
GSM4486064	53	136	0	189	71.95767195767195	84	52	83
GSM4486065	20	199	0	219	90.8675799086758	179	20	102
GSM4486066	25	206	0	231	89.17748917748918	185	21	103
GSM4486067	17	177	0	194	91.23711340206185	144	33	104
GSM4486068	29	178	0	207	85.99033816425121	165	13	104
GSM4486069	22	180	0	202	89.10891089108911	126	54	111
GSM4486070	17	163	0	180	90.55555555555556	91	72	122
GSM4486071	14	171	0	185	92.43243243243244	76	95	136
GSM4486072	38	161	0	199	80.90452261306532	96	65	113
GSM4486073	23	140	0	163	85.88957055214725	71	69	110
GSM4486074	47	132	0	179	73.74301675977654	69	63	100
