Sample Name,has_ERCC,organism,paired_end,read1_path,Factor Value[Spaceflight],Factor Value[Genotype],Original Sample Name
GSM4486031,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573264.fastq.gz,Space Flight,bzip28-2,GSM4486031
GSM4486032,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573265.fastq.gz,Space Flight,bzip28-2,GSM4486032
GSM4486033,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573266.fastq.gz,Space Flight,bzip28-2,GSM4486033
GSM4486034,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573267.fastq.gz,Space Flight,bzip28-2,GSM4486034
GSM4486035,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573268.fastq.gz,Ground Control,bzip28-2,GSM4486035
GSM4486036,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573269.fastq.gz,Ground Control,bzip28-2,GSM4486036
GSM4486037,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573270.fastq.gz,Ground Control,bzip28-2,GSM4486037
GSM4486038,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573271.fastq.gz,Ground Control,bzip28-2,GSM4486038
GSM4486039,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573272.fastq.gz,Space Flight,bzip60-2,GSM4486039
GSM4486040,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573273.fastq.gz,Space Flight,bzip60-2,GSM4486040
GSM4486041,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573274.fastq.gz,Space Flight,bzip60-2,GSM4486041
GSM4486042,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573275.fastq.gz,Space Flight,bzip60-2,GSM4486042
GSM4486043,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573276.fastq.gz,Ground Control,bzip60-2,GSM4486043
GSM4486044,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573277.fastq.gz,Ground Control,bzip60-2,GSM4486044
GSM4486045,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573278.fastq.gz,Ground Control,bzip60-2,GSM4486045
GSM4486046,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573279.fastq.gz,Ground Control,bzip60-2,GSM4486046
GSM4486047,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573280.fastq.gz,Space Flight,bzip28-2 bzip60-1,GSM4486047
GSM4486048,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573281.fastq.gz,Space Flight,bzip28-2 bzip60-1,GSM4486048
GSM4486049,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573282.fastq.gz,Space Flight,bzip28-2 bzip60-1,GSM4486049
GSM4486050,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573283.fastq.gz,Space Flight,bzip28-2 bzip60-1,GSM4486050
GSM4486051,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573284.fastq.gz,Space Flight,bzip28-2 bzip60-1,GSM4486051
GSM4486052,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573285.fastq.gz,Ground Control,bzip28-2 bzip60-1,GSM4486052
GSM4486053,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573286.fastq.gz,Ground Control,bzip28-2 bzip60-1,GSM4486053
GSM4486054,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573287.fastq.gz,Ground Control,bzip28-2 bzip60-1,GSM4486054
GSM4486055,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573288.fastq.gz,Ground Control,bzip28-2 bzip60-1,GSM4486055
GSM4486056,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573289.fastq.gz,Ground Control,bzip28-2 bzip60-1,GSM4486056
GSM4486057,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573290.fastq.gz,Space Flight,ire1a-4 ire1b-2,GSM4486057
GSM4486058,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573291.fastq.gz,Space Flight,ire1a-4 ire1b-2,GSM4486058
GSM4486059,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573292.fastq.gz,Space Flight,ire1a-4 ire1b-2,GSM4486059
GSM4486060,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573293.fastq.gz,Space Flight,ire1a-4 ire1b-2,GSM4486060
GSM4486061,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573294.fastq.gz,Ground Control,ire1a-4 ire1b-2,GSM4486061
GSM4486062,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573295.fastq.gz,Ground Control,ire1a-4 ire1b-2,GSM4486062
GSM4486063,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573296.fastq.gz,Ground Control,ire1a-4 ire1b-2,GSM4486063
GSM4486064,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573297.fastq.gz,Ground Control,ire1a-4 ire1b-2,GSM4486064
GSM4486065,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573298.fastq.gz,Space Flight,WT,GSM4486065
GSM4486066,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573299.fastq.gz,Space Flight,WT,GSM4486066
GSM4486067,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573300.fastq.gz,Space Flight,WT,GSM4486067
GSM4486068,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573301.fastq.gz,Space Flight,WT,GSM4486068
GSM4486069,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573302.fastq.gz,Space Flight,WT,GSM4486069
GSM4486070,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573303.fastq.gz,Ground Control,WT,GSM4486070
GSM4486071,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573304.fastq.gz,Ground Control,WT,GSM4486071
GSM4486072,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573305.fastq.gz,Ground Control,WT,GSM4486072
GSM4486073,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573306.fastq.gz,Ground Control,WT,GSM4486073
GSM4486074,False,Arabidopsis thaliana,False,https://genelab-data.ndc.nasa.gov/geode-py/ws/studies/OSD-321/download?source=datamanager&file=GLDS-321_rna-seq_SRR11573307.fastq.gz,Ground Control,WT,GSM4486074
