index	description	sample(s)	function	code	message	code_level	kwargs	config
('ROOT', 'GLDS-321', 'STAR Alignments')	check_for_outliers	All samples	check_for_outliers	FlagCode.RED	Outliers found in STAR multiQC module as follows: {'GSM4486036': {'STAR': {'avg_mapped_read_length': -3.6216781693596, 'multimapped_percent': 2.231232422680335}}, 'GSM4486073': {'STAR': {'avg_mapped_read_length': -2.314970232975964}}, 'GSM4486064': {'STAR': {'mismatch_rate': 2.175305780149562, 'unmapped_tooshort_percent': 2.1333609636375885}}, 'GSM4486058': {'STAR': {'deletion_rate': 5.988931338577779, 'deletion_length': 4.745925570824887}}, 'GSM4486068': {'STAR': {'deletion_rate': 2.9944656692888896, 'deletion_length': 4.745925570824887}}, 'GSM4486039': {'STAR': {'insertion_rate': 3.9220038017750833, 'insertion_length': 3.922003801775084}}, 'GSM4486051': {'STAR': {'insertion_rate': 3.9220038017750833, 'insertion_length': 3.922003801775084}}, 'GSM4486069': {'STAR': {'insertion_rate': 3.9220038017750833, 'insertion_length': 3.922003801775084}}, 'GSM4486035': {'STAR': {'multimapped_percent': 2.1373572276062167}}, 'GSM4486071': {'STAR': {'multimapped_percent': 2.003330593675095}}, 'GSM4486038': {'STAR': {'unmapped_tooshort_percent': 2.2490832057635854}}, 'GSM4486046': {'STAR': {'unmapped_tooshort_percent': 2.9948487661311205}}, 'GSM4486054': {'STAR': {'unmapped_tooshort_percent': 2.6069649545606497}}, 'GSM4486055': {'STAR': {'unmapped_tooshort_percent': 2.3755204703086568}}}	50	{'dataset': Dataset(name='GLDS-321', type='bulkRNASeq', metadata={'has_ERCC': False, 'organism': 'Arabidopsis thaliana', 'paired_end': False}), 'data_asset_keys': ['aligned log Final'], 'mqc_module': 'STAR', 'mqc_plot': 'general_stats', 'mqc_keys': ['uniquely_mapped_percent', 'avg_mapped_read_length', 'mismatch_rate', 'deletion_rate', 'deletion_length', 'insertion_rate', 'insertion_length', 'multimapped_percent', 'multimapped_toomany_percent', 'unmapped_mismatches_percent', 'unmapped_tooshort_percent', 'unmapped_other_percent'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}	{'mqc_module': 'STAR', 'mqc_plot': 'general_stats', 'mqc_keys': ['uniquely_mapped_percent', 'avg_mapped_read_length', 'mismatch_rate', 'deletion_rate', 'deletion_length', 'insertion_rate', 'insertion_length', 'multimapped_percent', 'multimapped_toomany_percent', 'unmapped_mismatches_percent', 'unmapped_tooshort_percent', 'unmapped_other_percent'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}
('ROOT', 'GLDS-321', 'STAR Alignments')	Check all samples are present in STAR multiQC report	All samples	check_sample_in_multiqc_report	FlagCode.GREEN	Found all query samples after reformatting multiQC sample names. Details: {'query samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'original multiQC sample names': ['GSM4486070', 'GSM4486064', 'GSM4486069', 'GSM4486073', 'GSM4486043', 'GSM4486068', 'GSM4486057', 'GSM4486059', 'GSM4486067', 'GSM4486056', 'GSM4486047', 'GSM4486072', 'GSM4486074', 'GSM4486071', 'GSM4486046', 'GSM4486062', 'GSM4486060', 'GSM4486063', 'GSM4486066', 'GSM4486054', 'GSM4486061', 'GSM4486065', 'GSM4486058', 'GSM4486052', 'GSM4486055', 'GSM4486044', 'GSM4486048', 'GSM4486051', 'GSM4486049', 'GSM4486050', 'GSM4486032', 'GSM4486040', 'GSM4486042', 'GSM4486041', 'GSM4486053', 'GSM4486038', 'GSM4486045', 'GSM4486037', 'GSM4486036', 'GSM4486031', 'GSM4486033', 'GSM4486035', 'GSM4486039', 'GSM4486034'], 'reformatted multiQC sample names': ['GSM4486070', 'GSM4486064', 'GSM4486069', 'GSM4486073', 'GSM4486043', 'GSM4486068', 'GSM4486057', 'GSM4486059', 'GSM4486067', 'GSM4486056', 'GSM4486047', 'GSM4486072', 'GSM4486074', 'GSM4486071', 'GSM4486046', 'GSM4486062', 'GSM4486060', 'GSM4486063', 'GSM4486066', 'GSM4486054', 'GSM4486061', 'GSM4486065', 'GSM4486058', 'GSM4486052', 'GSM4486055', 'GSM4486044', 'GSM4486048', 'GSM4486051', 'GSM4486049', 'GSM4486050', 'GSM4486032', 'GSM4486040', 'GSM4486042', 'GSM4486041', 'GSM4486053', 'GSM4486038', 'GSM4486045', 'GSM4486037', 'GSM4486036', 'GSM4486031', 'GSM4486033', 'GSM4486035', 'GSM4486039', 'GSM4486034']}	20	{'samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'multiqc_report_path': PosixPath('02-STAR_Alignment/align_multiqc_report')}	{}
('ROOT', 'GLDS-321', 'GSM4486031', 'STAR Alignments By Sample')	check_bam_file_integrity	{'GSM4486031'}	check_bam_file_integrity	FlagCode.GREEN	Samtools quickcheck raised no issues	20	{'file': PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Aligned.toTranscriptome.out.bam'), 'samtools_bin': 'samtools'}	{'samtools_bin': 'samtools'}
('ROOT', 'GLDS-321', 'GSM4486031', 'STAR Alignments By Sample')	check_bam_file_integrity	{'GSM4486031'}	check_bam_file_integrity	FlagCode.GREEN	Samtools quickcheck raised no issues	20	{'file': PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Aligned.sortedByCoord.out.bam'), 'samtools_bin': 'samtools'}	{'samtools_bin': 'samtools'}
('ROOT', 'GLDS-321', 'GSM4486031', 'STAR Alignments By Sample')	Check that mapping rates are reasonable, specifically most reads map to the target genome	{'GSM4486031'}	check_thresholds	FlagCode.GREEN	Value: (84.28) did not breech any configured thresholds	20	{'multiqc_inputs': [PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Log.final.out')], 'mqc_key': 'STAR', 'stat_string': 'uniquely_mapped_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 70}, {'code': 'RED', 'type': 'lower', 'value': 50}]}	{'mqc_key': 'STAR', 'stat_string': 'uniquely_mapped_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 70}, {'code': 'RED', 'type': 'lower', 'value': 50}]}
('ROOT', 'GLDS-321', 'GSM4486031', 'STAR Alignments By Sample')	Check that mapping rates are reasonable, specifically that a considerable amount of reads multimap to the target genome	{'GSM4486031'}	check_thresholds	FlagCode.GREEN	Value: (47.16) did not breech any configured thresholds	20	{'multiqc_inputs': [PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Log.final.out')], 'mqc_key': 'STAR', 'stat_string': 'multimapped_toomany_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 30}, {'code': 'RED', 'type': 'lower', 'value': 15}]}	{'mqc_key': 'STAR', 'stat_string': 'multimapped_toomany_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 30}, {'code': 'RED', 'type': 'lower', 'value': 15}]}
('ROOT', 'GLDS-321', 'GSM4486032', 'STAR Alignments By Sample')	check_bam_file_integrity	{'GSM4486032'}	check_bam_file_integrity	FlagCode.GREEN	Samtools quickcheck raised no issues	20	{'file': PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Aligned.toTranscriptome.out.bam'), 'samtools_bin': 'samtools'}	{'samtools_bin': 'samtools'}
('ROOT', 'GLDS-321', 'GSM4486032', 'STAR Alignments By Sample')	check_bam_file_integrity	{'GSM4486032'}	check_bam_file_integrity	FlagCode.GREEN	Samtools quickcheck raised no issues	20	{'file': PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Aligned.sortedByCoord.out.bam'), 'samtools_bin': 'samtools'}	{'samtools_bin': 'samtools'}
('ROOT', 'GLDS-321', 'GSM4486032', 'STAR Alignments By Sample')	Check that mapping rates are reasonable, specifically most reads map to the target genome	{'GSM4486032'}	check_thresholds	FlagCode.GREEN	Value: (84.28) did not breech any configured thresholds	20	{'multiqc_inputs': [PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Log.final.out')], 'mqc_key': 'STAR', 'stat_string': 'uniquely_mapped_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 70}, {'code': 'RED', 'type': 'lower', 'value': 50}]}	{'mqc_key': 'STAR', 'stat_string': 'uniquely_mapped_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 70}, {'code': 'RED', 'type': 'lower', 'value': 50}]}
('ROOT', 'GLDS-321', 'GSM4486032', 'STAR Alignments By Sample')	Check that mapping rates are reasonable, specifically that a considerable amount of reads multimap to the target genome	{'GSM4486032'}	check_thresholds	FlagCode.GREEN	Value: (47.16) did not breech any configured thresholds	20	{'multiqc_inputs': [PosixPath('02-STAR_Alignment/GSM4486074/GSM4486074_Log.final.out')], 'mqc_key': 'STAR', 'stat_string': 'multimapped_toomany_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 30}, {'code': 'RED', 'type': 'lower', 'value': 15}]}	{'mqc_key': 'STAR', 'stat_string': 'multimapped_toomany_percent + multimapped_percent', 'thresholds': [{'code': 'YELLOW', 'type': 'lower', 'value': 30}, {'code': 'RED', 'type': 'lower', 'value': 15}]}
