index	description	sample(s)	function	code	message	code_level	kwargs	config
('ROOT', 'GLDS-321', 'Trim Reads')	check_for_outliers	All samples	check_for_outliers	FlagCode.YELLOW	Outliers found in FastQC multiQC module as follows: {'GSM4486061': {'FastQC': {'percent_gc': 2.4733447071428976}}, 'GSM4486071': {'FastQC': {'percent_gc': 2.4733447071428976}}, 'GSM4486031': {'FastQC': {'avg_sequence_length': -2.5933282328663787}}, 'GSM4486048': {'FastQC': {'avg_sequence_length': -2.1512162114738094}}, 'GSM4486057': {'FastQC': {'avg_sequence_length': -2.174485265231316}}, 'GSM4486063': {'FastQC': {'avg_sequence_length': -2.1512162114738094}}, 'GSM4486068': {'FastQC': {'avg_sequence_length': -2.7678461360476385}}, 'GSM4486073': {'FastQC': {'avg_sequence_length': -2.1279471577163034}}, 'GSM4486032': {'FastQC': {'total_sequences': -3.858196156897618}}, 'GSM4486052': {'FastQC': {'total_sequences': -2.20468351822721}}, 'GSM4486054': {'FastQC': {'total_sequences': -2.20468351822721}}, 'GSM4486066': {'FastQC': {'total_sequences': -2.20468351822721}}, 'GSM4486046': {'FastQC': {'percent_duplicates': 2.8679331016102294}}}	30	{'dataset': Dataset(name='GLDS-321', type='bulkRNASeq', metadata={'has_ERCC': False, 'organism': 'Arabidopsis thaliana', 'paired_end': False}), 'data_asset_keys': ['trimmed reads fastQC ZIP'], 'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}	{'mqc_module': 'FastQC', 'mqc_plot': 'general_stats', 'mqc_keys': ['percent_gc', 'avg_sequence_length', 'total_sequences', 'percent_duplicates'], 'thresholds': [{'code': 'YELLOW', 'stdev_threshold': 2, 'middle_fcn': 'median'}, {'code': 'RED', 'stdev_threshold': 4, 'middle_fcn': 'median'}]}
('ROOT', 'GLDS-321', 'Trim Reads')	Check that all samples are present in the trimmed FastQC and trimming report multiQC reports	All samples	check_sample_in_multiqc_report	FlagCode.GREEN	Found all query samples after reformatting multiQC sample names. Details: {'query samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'original multiQC sample names': ['GSM4486074', 'GSM4486072', 'GSM4486073', 'GSM4486071', 'GSM4486070', 'GSM4486069', 'GSM4486068', 'GSM4486067', 'GSM4486066', 'GSM4486064', 'GSM4486065', 'GSM4486063', 'GSM4486062', 'GSM4486061', 'GSM4486060', 'GSM4486058', 'GSM4486059', 'GSM4486050', 'GSM4486057', 'GSM4486056', 'GSM4486055', 'GSM4486054', 'GSM4486053', 'GSM4486052', 'GSM4486051', 'GSM4486049', 'GSM4486048', 'GSM4486047', 'GSM4486046', 'GSM4486045', 'GSM4486044', 'GSM4486043', 'GSM4486042', 'GSM4486040', 'GSM4486041', 'GSM4486037', 'GSM4486039', 'GSM4486038', 'GSM4486035', 'GSM4486036', 'GSM4486034', 'GSM4486033', 'GSM4486032', 'GSM4486031'], 'reformatted multiQC sample names': ['GSM4486074', 'GSM4486072', 'GSM4486073', 'GSM4486071', 'GSM4486070', 'GSM4486069', 'GSM4486068', 'GSM4486067', 'GSM4486066', 'GSM4486064', 'GSM4486065', 'GSM4486063', 'GSM4486062', 'GSM4486061', 'GSM4486060', 'GSM4486058', 'GSM4486059', 'GSM4486050', 'GSM4486057', 'GSM4486056', 'GSM4486055', 'GSM4486054', 'GSM4486053', 'GSM4486052', 'GSM4486051', 'GSM4486049', 'GSM4486048', 'GSM4486047', 'GSM4486046', 'GSM4486045', 'GSM4486044', 'GSM4486043', 'GSM4486042', 'GSM4486040', 'GSM4486041', 'GSM4486037', 'GSM4486039', 'GSM4486038', 'GSM4486035', 'GSM4486036', 'GSM4486034', 'GSM4486033', 'GSM4486032', 'GSM4486031']}	20	{'samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'multiqc_report_path': PosixPath('01-TG_Preproc/FastQC_Reports/trimmed_multiqc_report'), 'name_reformat_func': <function validate_bulkRNASeq.<locals>.<lambda>.<locals>.<lambda> at 0x7fcd6c3ae170>}	{}
('ROOT', 'GLDS-321', 'Trim Reads')	Check that all samples are present in the trimmed FastQC and trimming report multiQC reports	All samples	check_sample_in_multiqc_report	FlagCode.GREEN	Found all query samples after reformatting multiQC sample names. Details: {'query samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'original multiQC sample names': ['GSM4486074_raw', 'GSM4486073_raw', 'GSM4486072_raw', 'GSM4486071_raw', 'GSM4486070_raw', 'GSM4486069_raw', 'GSM4486068_raw', 'GSM4486067_raw', 'GSM4486066_raw', 'GSM4486065_raw', 'GSM4486064_raw', 'GSM4486063_raw', 'GSM4486062_raw', 'GSM4486061_raw', 'GSM4486060_raw', 'GSM4486058_raw', 'GSM4486059_raw', 'GSM4486057_raw', 'GSM4486056_raw', 'GSM4486055_raw', 'GSM4486054_raw', 'GSM4486053_raw', 'GSM4486052_raw', 'GSM4486051_raw', 'GSM4486050_raw', 'GSM4486049_raw', 'GSM4486048_raw', 'GSM4486047_raw', 'GSM4486046_raw', 'GSM4486045_raw', 'GSM4486044_raw', 'GSM4486043_raw', 'GSM4486042_raw', 'GSM4486041_raw', 'GSM4486040_raw', 'GSM4486039_raw', 'GSM4486038_raw', 'GSM4486037_raw', 'GSM4486036_raw', 'GSM4486035_raw', 'GSM4486034_raw', 'GSM4486033_raw', 'GSM4486032_raw', 'GSM4486031_raw'], 'reformatted multiQC sample names': ['GSM4486074', 'GSM4486073', 'GSM4486072', 'GSM4486071', 'GSM4486070', 'GSM4486069', 'GSM4486068', 'GSM4486067', 'GSM4486066', 'GSM4486065', 'GSM4486064', 'GSM4486063', 'GSM4486062', 'GSM4486061', 'GSM4486060', 'GSM4486058', 'GSM4486059', 'GSM4486057', 'GSM4486056', 'GSM4486055', 'GSM4486054', 'GSM4486053', 'GSM4486052', 'GSM4486051', 'GSM4486050', 'GSM4486049', 'GSM4486048', 'GSM4486047', 'GSM4486046', 'GSM4486045', 'GSM4486044', 'GSM4486043', 'GSM4486042', 'GSM4486041', 'GSM4486040', 'GSM4486039', 'GSM4486038', 'GSM4486037', 'GSM4486036', 'GSM4486035', 'GSM4486034', 'GSM4486033', 'GSM4486032', 'GSM4486031']}	20	{'samples': ['GSM4486031', 'GSM4486032', 'GSM4486033', 'GSM4486034', 'GSM4486035', 'GSM4486036', 'GSM4486037', 'GSM4486038', 'GSM4486039', 'GSM4486040', 'GSM4486041', 'GSM4486042', 'GSM4486043', 'GSM4486044', 'GSM4486045', 'GSM4486046', 'GSM4486047', 'GSM4486048', 'GSM4486049', 'GSM4486050', 'GSM4486051', 'GSM4486052', 'GSM4486053', 'GSM4486054', 'GSM4486055', 'GSM4486056', 'GSM4486057', 'GSM4486058', 'GSM4486059', 'GSM4486060', 'GSM4486061', 'GSM4486062', 'GSM4486063', 'GSM4486064', 'GSM4486065', 'GSM4486066', 'GSM4486067', 'GSM4486068', 'GSM4486069', 'GSM4486070', 'GSM4486071', 'GSM4486072', 'GSM4486073', 'GSM4486074'], 'multiqc_report_path': PosixPath('01-TG_Preproc/Trimming_Reports/trimming_multiqc_report'), 'name_reformat_func': <function validate_bulkRNASeq.<locals>.<lambda>.<locals>.<lambda> at 0x7fcd6c3ae200>}	{}
('ROOT', 'GLDS-321', 'GSM4486031', 'Trimmed Reads By Sample')	Check reads files exist	{'GSM4486031'}	check_file_exists	FlagCode.GREEN	File exists: GSM4486074_trimmed.fastq.gz 	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz')}	{}
('ROOT', 'GLDS-321', 'GSM4486031', 'Trimmed Reads By Sample')	check_fastqgz_file_contents	{'GSM4486031'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-321', 'GSM4486032', 'Trimmed Reads By Sample')	Check reads files exist	{'GSM4486032'}	check_file_exists	FlagCode.GREEN	File exists: GSM4486074_trimmed.fastq.gz 	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz')}	{}
('ROOT', 'GLDS-321', 'GSM4486032', 'Trimmed Reads By Sample')	check_fastqgz_file_contents	{'GSM4486032'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-321', 'GSM4486033', 'Trimmed Reads By Sample')	Check reads files exist	{'GSM4486033'}	check_file_exists	FlagCode.GREEN	File exists: GSM4486074_trimmed.fastq.gz 	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz')}	{}
('ROOT', 'GLDS-321', 'GSM4486033', 'Trimmed Reads By Sample')	check_fastqgz_file_contents	{'GSM4486033'}	check_fastqgz_file_contents	FlagCode.GREEN	First 200000000 lines checked found no issues.  This means headers lines were identifiable and no decompression errors occured.	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz'), 'count_lines_to_check': 200000000}	{'count_lines_to_check': 200000000}
('ROOT', 'GLDS-321', 'GSM4486034', 'Trimmed Reads By Sample')	Check reads files exist	{'GSM4486034'}	check_file_exists	FlagCode.GREEN	File exists: GSM4486074_trimmed.fastq.gz 	20	{'file': PosixPath('01-TG_Preproc/Fastq/GSM4486074_trimmed.fastq.gz')}	{}
