"","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30"
"ENSMUSG00000001750",629.009011964978,94.1027091993453,595.28989124324,3809.08661312812,1851.36662623894,4148.37154242633,2262.80968017365,1797.31435426269,1506.17130917941,2331.42958911813,3536.26814855585,3647.65352511601,3657.43164141602,2896.05974657811
"ENSMUSG00000003053",5343.03001875831,1655.61146957562,1647.3945213692,2035.52583307171,930.886937563827,3190.5449265749,2679.34275605342,1116.06479767829,767.972274669698,4434.55418838566,3690.349089404,4535.17718199733,3654.4981131323,1653.14867338426
"ENSMUSG00000003228",2125.34377149583,742.802940557747,3142.45292057837,672.437532670516,723.043663139567,3944.50663735737,2121.24163428549,994.315728822151,4024.02410999045,658.675750280089,3897.51132162671,1585.90218682105,149.137944661268,3859.51079172838
"ENSMUSG00000003555",1038.39756729415,367.8625714623,1390.55915079863,3688.34965267413,1373.42338357364,3234.12681048802,3395.81433491049,2479.5015179597,2382.79744535381,884.944481177885,3226.74672247856,1221.70792273797,1580.66762878766,2743.55808502225
"ENSMUSG00000003559",1635.63136149023,3362.68025454019,1441.16465194078,2334.37660059486,3925.36126434982,2673.37873543075,1397.5954714325,585.120697233544,4665.80764874992,1571.62731650416,512.335110272464,984.41122018179,1194.11432557569,4547.07357075859
"ENSMUSG00000003680",4516.235911756,4742.15336370034,2403.35721250049,2771.26928731471,3677.98963121365,3141.4436506288,2310.64242841254,1175.36351481916,4712.18371836871,2296.7431843846,1337.66011153395,4368.59964138702,4263.39189124837,3950.78194147893
"ENSMUSG00000004054",2258.5991909415,4067.42286942698,2616.94721568398,4000.36038576621,1950.30967213561,2352.72266740661,3152.43733223733,78.7670429115525,33.9970361143025,3443.66498537518,2156.25457229895,941.528870543184,5053.90745042397,97.1187710965237
"ENSMUSG00000004231",2749.31002366186,4654.02253139163,3882.6005069766,1132.47644203958,4086.15124368205,923.671890684456,5060.80957671533,707.889237592796,5052.18370778413,766.525272535581,2891.12687317437,3944.84792284699,5044.64355336096,3590.49382974836
"ENSMUSG00000005986",4626.50647151995,369.403409250781,121.595153377375,5020.05682698269,1613.5153629169,1796.6128645122,4086.99448081536,3367.50168730486,2999.96391455945,3095.11574140648,1726.69615999575,1471.50967983744,537.086984927984,2679.49173807241
"ENSMUSG00000006270",4579.71860729131,3663.08990982218,2127.38826787929,525.439351419478,4053.73845316656,978.214803752964,3108.06579528176,331.420725201611,1763.70259530614,1862.58138062742,3613.99174072578,2253.69418314799,4254.67791994383,2113.27758358749
"ENSMUSG00000006435",2865.48887720592,4416.76488520334,2871.77104349248,2220.6616922378,2674.3126809155,3033.28153887371,1988.89891966171,4652.43066687136,3700.53971279462,1739.12466960789,2678.29195358189,1844.26544277713,2432.11109463257,330.205056908807
"ENSMUSG00000006456",2420.82509516627,1261.36339537322,3396.21309786466,2103.88670128144,1620.18578784889,3787.54022728283,4593.66752342107,430.664258348649,1799.78438064815,2489.29865246701,168.535032271838,3204.47536358517,2427.92317064616,4126.58092424761
"ENSMUSG00000006457",3166.0192023201,4186.54148857529,2584.16981002036,4110.09962694428,3205.17110161025,505.386078606193,3308.13647102766,1516.01582204584,1260.98241001656,10.5928519705969,2989.31026211448,371.710650318494,930.276542133565,3926.51638113836
"ENSMUSG00000006463",1161.84522447618,1830.99075440741,3910.07795827876,4400.02008421894,1873.25495021389,839.4404851241,1121.71020086124,4827.29745621887,3033.97183644096,4286.26506257961,172.386433666178,4488.08536121252,1242.10912035277,3623.49408409588
"ENSMUSG00000006464",893.416139617629,3845.17086891581,4071.86497527006,1447.54444708239,3681.80842831209,2382.39771483955,69.2163684897838,4179.78501827838,195.740740394233,806.019556446236,700.138232018229,736.273065629618,1127.38697174246,1276.14214800958
"ENSMUSG00000007338",1522.49779034324,4655.13139182163,1555.36360586354,1465.62483524874,1545.01574596969,1258.66971434037,2678.27941065472,806.065287682673,4029.13764463246,747.314205655321,1480.13278547772,997.681977307802,936.485554716181,3805.08866925851
"ENSMUSG00000009378",2293.62275841575,254.275362230072,2935.21130011289,4951.66221522293,3383.08033784477,1080.64648552564,2272.92486733641,104.341462870847,4373.2636120078,1669.81000450057,4256.70865265769,607.604843954386,808.260387020956,1625.77139245669
"ENSMUSG00000010095",3671.00868722672,3175.47975821341,1556.41678902245,4614.36114723449,3841.6039480724,937.071213320783,262.631245991728,3874.85110381811,4096.09530916017,1551.42745821461,3090.29390010955,4424.72408364769,4128.74432513393,3859.46940115471
"ENSMUSG00000010097",4212.82142295472,3940.31672144535,4433.47587466366,741.879533082826,3575.23790882205,2605.40616443493,533.399721974676,343.706496182808,1241.40251508977,2311.23718358472,2304.50792016285,4978.22507134645,4172.55425948932,3047.57621145767
"ENSMUSG00000010110",229.370637863872,2530.77606984872,1321.68358008226,1315.6624760419,3958.656880838,2969.14278386076,3358.12893410274,983.0400496388,122.594467462765,1378.07167939309,1592.85182142106,1916.73846301209,4146.52398720641,4181.90340580071
"ENSMUSG00000010663",833.347835045814,2074.85596405016,845.315593166356,1317.72468887316,3953.88676054284,1717.36888488371,4203.52243799902,1969.60578449779,329.503484945986,3197.07995128264,2632.98503885354,3230.27009785731,5092.70790909391,3915.73213626068
"ENSMUSG00000011752",2034.31899607093,2374.61071123163,1542.67573453152,3254.38583441467,4706.40548678928,2180.42069680897,4472.90151145942,1046.45734597342,2364.32690542381,66.4487943033902,2079.13719539148,1680.84780069034,1016.79419096966,1617.01904145494
"ENSMUSG00000012443",171.267378513927,2101.26331114294,4011.59821979302,3626.9558755586,810.571360117008,4217.30778415574,2829.62939578972,175.949897411885,3896.28384441512,4680.97720827887,4355.97815575988,4279.80449565373,546.497686186305,2786.35003112915
"ENSMUSG00000013662",611.965783499081,2889.12750550189,3699.67747550933,242.600397253132,3761.72725294442,2344.11313453056,3641.96572186349,4170.592305137,321.427207874514,1688.10466716525,59.709562026541,4611.67125006417,1615.47986327961,3504.05272449035
"ENSMUSG00000013663",1812.82765808815,147.15854143286,4755.96898059848,2163.29297300055,2183.4080915356,4407.79111134589,2966.00759383955,2314.96830138469,910.711673391592,1385.70638906025,806.094470782862,4919.0655216596,2062.93102116459,2169.64094795781
"ENSMUSG00000015176",4119.53179984536,4849.24851341312,1440.11236001442,1437.48522668707,3617.11157806693,2398.67906549558,2142.64127894074,3856.53212728467,4028.13441259443,4403.71843272814,1884.69391842936,3512.86784607196,402.56626981581,506.960078213289
