"","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30"
"ENSMUSG00000001750",2172,1351,1387,426,2136,169,2982,1511,2668,3673,3106,1700,1617,4652
"ENSMUSG00000003053",1999,1288,1950,4364,567,4132,4884,3159,2291,590,2162,2578,657,3042
"ENSMUSG00000003228",758,3757,787,3317,3088,3578,3807,3250,484,808,30,743,3853,1915
"ENSMUSG00000003555",4305,2224,633,4308,1013,2372,4758,4947,2531,2759,4143,4415,3247,1763
"ENSMUSG00000003559",2601,1104,4787,3158,2806,122,1738,25,466,1554,4448,3583,3423,2234
"ENSMUSG00000003680",4878,1416,2119,4311,3448,3142,98,573,207,2148,3859,217,4611,2248
"ENSMUSG00000004054",2469,852,981,1772,1788,4332,2659,3179,3860,1084,2357,487,4768,2804
"ENSMUSG00000004231",1599,95,1731,3298,1575,2569,1497,640,339,3187,4384,704,1466,432
"ENSMUSG00000005986",3863,2548,2767,4347,921,3633,2204,4296,4173,524,1989,854,3212,4832
"ENSMUSG00000006270",4171,902,4882,4001,1546,3199,3455,4098,1436,676,2895,137,2625,4324
"ENSMUSG00000006435",1656,303,2648,1581,950,1524,4385,1476,1580,2917,4560,3552,4298,3672
"ENSMUSG00000006456",1924,4121,1986,4770,1263,81,3416,4610,4701,4655,2215,4730,4420,827
"ENSMUSG00000006457",3748,2386,4670,1368,1827,2214,4869,2153,121,4129,4565,894,2140,1387
"ENSMUSG00000006463",1307,1545,1289,4442,1827,108,2440,2816,363,1600,1784,4457,2736,1552
"ENSMUSG00000006464",1101,2246,786,1513,4622,3261,4029,1575,4860,1815,3054,470,562,4247
"ENSMUSG00000007338",2786,552,3887,3556,4290,263,3298,1958,4519,1920,87,3172,4576,3320
"ENSMUSG00000009378",1668,2451,1570,4236,1857,4126,2963,4414,2109,2942,3719,1512,4836,601
"ENSMUSG00000010095",3824,3227,4646,4206,4167,4267,2602,2386,3162,3838,4051,4341,926,4798
"ENSMUSG00000010097",3136,2711,662,3389,4875,124,4727,2340,4587,162,3753,4598,2092,4955
"ENSMUSG00000010110",4460,3983,1543,616,2196,1266,1625,3677,2141,3518,1882,2033,2783,1866
"ENSMUSG00000010663",2242,3030,421,3588,1500,260,524,2781,4102,3020,604,2433,3006,1273
"ENSMUSG00000011752",740,1024,3595,1296,1019,3000,3366,2664,3452,1596,3737,1021,1713,3448
"ENSMUSG00000012443",3805,2712,4792,845,1773,1520,2210,4373,4873,863,2639,2454,2563,2624
"ENSMUSG00000013662",4129,4306,4407,485,1919,4543,520,2933,77,2670,800,1208,4991,1634
"ENSMUSG00000013663",4213,2273,2636,4356,2011,140,4463,4722,4281,1820,4283,1712,4820,4350
"ENSMUSG00000015176",3116,1961,4193,2399,2379,1349,1067,1366,4445,4234,3331,2321,1691,346
"ENSMUSG00000016495",1962,4364,4876,286,527,189,2055,97,3340,1273,3160,182,3262,3553
"ENSMUSG00000016496",3243,3624,1111,1627,508,3554,2218,262,348,767,4150,2476,4317,2983
"ENSMUSG00000016498",1588,4018,3216,193,4490,1127,367,3942,3741,4230,3631,3350,661,4208
"ENSMUSG00000018820",2079,3862,1555,4075,1864,4248,2704,4815,4761,4122,388,3757,4604,4970
"ENSMUSG00000018821",265,4377,1925,4368,3928,2692,676,1522,64,3787,4225,523,2495,4179
"ENSMUSG00000018822",3741,1839,1737,155,3208,3384,4219,396,3837,107,2093,3900,4118,1281
"ENSMUSG00000023307",3619,2375,1539,2943,871,3245,1229,1507,3074,2782,3363,223,998,3773
"ENSMUSG00000024639",4377,4098,3461,1205,1370,3001,176,4729,3506,3769,314,3923,4055,2384
"ENSMUSG00000024640",2631,3816,168,2624,505,1030,1737,1799,2587,1690,3423,4745,1992,1961
"ENSMUSG00000024642",1337,4646,3448,1763,2725,796,4912,4438,4883,4397,3952,3623,4692,4583
"ENSMUSG00000024650",4120,351,1371,3259,952,3557,775,3508,2906,1312,4447,3359,144,1824
