"","condition"
"Mmus_C57-6J_LVR_GC_I_Rep1_M31","Ground.Control...Upon.euthanasia"
"Mmus_C57-6J_LVR_GC_I_Rep2_M32","Ground.Control...Upon.euthanasia"
"Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Space.Flight...Upon.euthanasia"
"Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Space.Flight...Upon.euthanasia"
"Mmus_C57-6J_LVR_GC_C_Rep1_M36","Ground.Control...Carcass"
"Mmus_C57-6J_LVR_GC_C_Rep2_M37","Ground.Control...Carcass"
"Mmus_C57-6J_LVR_GC_C_Rep3_M38","Ground.Control...Carcass"
"Mmus_C57-6J_LVR_GC_C_Rep4_M39","Ground.Control...Carcass"
"Mmus_C57-6J_LVR_GC_C_Rep5_M40","Ground.Control...Carcass"
"Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Space.Flight...Carcass"
"Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Space.Flight...Carcass"
"Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Space.Flight...Carcass"
"Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Space.Flight...Carcass"
"Mmus_C57-6J_LVR_FLT_C_Rep5_M30","Space.Flight...Carcass"
