"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","Mmus_C57-6J_LVR_GC_I_Rep1_M31","Mmus_C57-6J_LVR_GC_I_Rep2_M32","Mmus_C57-6J_LVR_FLT_I_Rep1_M21","Mmus_C57-6J_LVR_FLT_I_Rep2_M22","Mmus_C57-6J_LVR_GC_C_Rep1_M36","Mmus_C57-6J_LVR_GC_C_Rep2_M37","Mmus_C57-6J_LVR_GC_C_Rep3_M38","Mmus_C57-6J_LVR_GC_C_Rep4_M39","Mmus_C57-6J_LVR_GC_C_Rep5_M40","Mmus_C57-6J_LVR_FLT_C_Rep1_M25","Mmus_C57-6J_LVR_FLT_C_Rep2_M26","Mmus_C57-6J_LVR_FLT_C_Rep3_M27","Mmus_C57-6J_LVR_FLT_C_Rep4_M28","Mmus_C57-6J_LVR_FLT_C_Rep5_M30","LRT.p.value","Log2fc_(Ground Control & Carcass)v(Ground Control & Upon euthanasia)","Stat_(Ground Control & Carcass)v(Ground Control & Upon euthanasia)","P.value_(Ground Control & Carcass)v(Ground Control & Upon euthanasia)","Adj.p.value_(Ground Control & Carcass)v(Ground Control & Upon euthanasia)","Log2fc_(Ground Control & Carcass)v(Space Flight & Carcass)","Stat_(Ground Control & Carcass)v(Space Flight & Carcass)","P.value_(Ground Control & Carcass)v(Space Flight & Carcass)","Adj.p.value_(Ground Control & Carcass)v(Space Flight & Carcass)","Log2fc_(Ground Control & Carcass)v(Space Flight & Upon euthanasia)","Stat_(Ground Control & Carcass)v(Space Flight & Upon euthanasia)","P.value_(Ground Control & Carcass)v(Space Flight & Upon euthanasia)","Adj.p.value_(Ground Control & Carcass)v(Space Flight & Upon euthanasia)","Log2fc_(Ground Control & Upon euthanasia)v(Space Flight & Carcass)","Stat_(Ground Control & Upon euthanasia)v(Space Flight & Carcass)","P.value_(Ground Control & Upon euthanasia)v(Space Flight & Carcass)","Adj.p.value_(Ground Control & Upon euthanasia)v(Space Flight & Carcass)","Log2fc_(Ground Control & Upon euthanasia)v(Space Flight & Upon euthanasia)","Stat_(Ground Control & Upon euthanasia)v(Space Flight & Upon euthanasia)","P.value_(Ground Control & Upon euthanasia)v(Space Flight & Upon euthanasia)","Adj.p.value_(Ground Control & Upon euthanasia)v(Space Flight & Upon euthanasia)","Log2fc_(Space Flight & Carcass)v(Space Flight & Upon euthanasia)","Stat_(Space Flight & Carcass)v(Space Flight & Upon euthanasia)","P.value_(Space Flight & Carcass)v(Space Flight & Upon euthanasia)","Adj.p.value_(Space Flight & Carcass)v(Space Flight & Upon euthanasia)","Log2fc_(Ground Control & Upon euthanasia)v(Ground Control & Carcass)","Stat_(Ground Control & Upon euthanasia)v(Ground Control & Carcass)","P.value_(Ground Control & Upon euthanasia)v(Ground Control & Carcass)","Adj.p.value_(Ground Control & Upon euthanasia)v(Ground Control & Carcass)","Log2fc_(Space Flight & Carcass)v(Ground Control & Carcass)","Stat_(Space Flight & Carcass)v(Ground Control & Carcass)","P.value_(Space Flight & Carcass)v(Ground Control & Carcass)","Adj.p.value_(Space Flight & Carcass)v(Ground Control & Carcass)","Log2fc_(Space Flight & Upon euthanasia)v(Ground Control & Carcass)","Stat_(Space Flight & Upon euthanasia)v(Ground Control & Carcass)","P.value_(Space Flight & Upon euthanasia)v(Ground Control & Carcass)","Adj.p.value_(Space Flight & Upon euthanasia)v(Ground Control & Carcass)","Log2fc_(Space Flight & Carcass)v(Ground Control & Upon euthanasia)","Stat_(Space Flight & Carcass)v(Ground Control & Upon euthanasia)","P.value_(Space Flight & Carcass)v(Ground Control & Upon euthanasia)","Adj.p.value_(Space Flight & Carcass)v(Ground Control & Upon euthanasia)","Log2fc_(Space Flight & Upon euthanasia)v(Ground Control & Upon euthanasia)","Stat_(Space Flight & Upon euthanasia)v(Ground Control & Upon euthanasia)","P.value_(Space Flight & Upon euthanasia)v(Ground Control & Upon euthanasia)","Adj.p.value_(Space Flight & Upon euthanasia)v(Ground Control & Upon euthanasia)","Log2fc_(Space Flight & Upon euthanasia)v(Space Flight & Carcass)","Stat_(Space Flight & Upon euthanasia)v(Space Flight & Carcass)","P.value_(Space Flight & Upon euthanasia)v(Space Flight & Carcass)","Adj.p.value_(Space Flight & Upon euthanasia)v(Space Flight & Carcass)","All.mean","All.stdev","Group.Mean_(Ground Control & Carcass)","Group.Mean_(Ground Control & Upon euthanasia)","Group.Mean_(Space Flight & Carcass)","Group.Mean_(Space Flight & Upon euthanasia)","Group.Stdev_(Ground Control & Carcass)","Group.Stdev_(Ground Control & Upon euthanasia)","Group.Stdev_(Space Flight & Carcass)","Group.Stdev_(Space Flight & Upon euthanasia)"
"ENSMUSG00000001750","Tcirg1","T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3","NM_001136091|NM_001167784|NM_016921|NP_001129563|NP_001161256|NP_058617|XM_011248632|XP_011246934","27060","10090.ENSMUSP00000120531","GO:0045851|GO:0051453|GO:0098771|GO:0030003|GO:0030004|GO:0042592|GO:0055067|GO:0055080|GO:0019725|GO:0048878|GO:0009987|GO:0006873|GO:0055082|GO:0006885|GO:0065008|GO:0050801|GO:0065007|GO:0051452|GO:0030641|GO:0007035|GO:0015318|GO:0005488|GO:0003824|GO:0008324|GO:0015077|GO:0019899|GO:0015075|GO:0022804|GO:0005215|GO:0016462|GO:0022857|GO:0015078|GO:0016787|GO:0016818|GO:0005515|GO:0016817|GO:0017111|GO:0022890|GO:0016887|GO:0022853|GO:0098588|GO:0098796|GO:0043231|GO:0005774|GO:0005773|GO:0031090|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0016469|GO:0043229|GO:0098805|GO:0005737|GO:0032991|GO:0005622|GO:0043227|GO:0005886",630.009011964978,95.1027091993453,596.28989124324,3810.08661312812,1852.36662623894,4149.37154242633,2263.80968017365,1798.31435426269,1507.17130917941,2332.42958911813,3537.26814855585,3648.65352511601,3658.43164141602,2897.05974657811,0.625197743790132,2.67761294816836,3.31603390307026,0.000913047514866131,0.106065686310282,-0.474359322888101,-0.778644846348072,0.436188953717181,0.999382712621237,0.0709379472545116,0.0880133861660173,0.929866036810059,0.999581041711064,-3.15197227105646,-3.90364441367976,9.47549673131411e-05,0.0220147374057531,-2.60667500091385,-2.70234635942695,0.00688519970975778,0.509251911363571,0.545297270142613,0.676581624379893,0.498671441235923,0.999961895137857,-2.67761294816836,-3.31603390307026,0.000913047514866131,0.106065686310282,0.474359322888101,0.778644846348072,0.436188953717181,0.999382712621237,-0.0709379472545116,-0.0880133861660173,0.929866036810059,0.999581041711064,3.15197227105646,3.90364441367976,9.47549673131411e-05,0.0220147374057531,2.60667500091385,2.70234635942695,0.00688519970975778,0.509251911363571,-0.545297270142613,-0.676581624379893,0.498671441235923,0.999961895137857,2341.16888490006,1326.19748622903,2314.2067,362.5559,3214.7685,2203.1883,1060.7918,378.2359,584.9274,2272.4975
"ENSMUSG00000003053","Cyp2c29","cytochrome P450, family 2, subfamily c, polypeptide 29","NM_007815|NP_031841|XM_006526636|XP_006526699","13095","10090.ENSMUSP00000003137","GO:0050896|GO:0051716|GO:0070887|GO:0042221|GO:0055114|GO:0009056|GO:0044237|GO:0009987|GO:0006082|GO:0044248|GO:0044281|GO:0071704|GO:0008152|GO:0016705|GO:0005488|GO:0003824|GO:0097159|GO:0046906|GO:1901363|GO:0008395|GO:0016491|GO:0004497|GO:0020037|GO:0005737|GO:0043227|GO:0110165|GO:0043226|GO:0043231|GO:0005622|GO:0043229",5344.03001875831,1656.61146957562,1648.3945213692,2036.52583307171,931.886937563827,3191.5449265749,2680.34275605342,1117.06479767829,768.972274669698,4435.55418838566,3691.349089404,4536.17718199733,3655.4981131323,1654.14867338426,0.999833890762184,-1.01043687074035,-1.40558034102485,0.159848777047741,0.995988708758992,-1.04882661501136,-1.92995439195172,0.0536124890611756,0.999382712621237,-0.0842775516195576,-0.117206599669719,0.906696337188361,0.999581041711064,-0.038389744271009,-0.0534088099494428,0.957406185908551,0.998946756446904,0.92615931912079,1.077832861701,0.281108351496267,0.998765900847869,0.964549063391799,1.34157713497006,0.179733144040333,0.999961895137857,1.01043687074035,1.40558034102485,0.159848777047741,0.995988708758992,1.04882661501136,1.92995439195172,0.0536124890611756,0.999382712621237,0.0842775516195576,0.117206599669719,0.906696337188361,0.999581041711064,0.038389744271009,0.0534088099494428,0.957406185908551,0.998946756446904,-0.92615931912079,-1.077832861701,0.281108351496267,0.998765900847869,-0.964549063391799,-1.34157713497006,0.179733144040333,0.999961895137857,2667.72148440132,1482.9043223442,1737.962,3500.321,3594.545,1842.46,1115.2574,2607.3987,1158.8995,274.4503
"ENSMUSG00000003228","Grk5","G protein-coupled receptor kinase 5","NM_018869|NP_061357|XM_006526697|XM_011247149|XM_017318066|XM_036161439|XP_006526760|XP_011245451|XP_017173555|XP_036017332","14773","10090.ENSMUSP00000003313",NA,2126.34377149583,743.802940557747,3143.45292057837,673.437532670516,724.043663139567,3945.50663735737,2122.24163428549,995.315728822151,4025.02410999045,659.675750280089,3898.51132162671,1586.90218682105,150.137944661268,3860.51079172838,0.999833890762184,0.7195336383885,0.6921325098288,0.48885411731908,0.995988708758992,0.218052959820626,0.277502597721923,0.781394211424264,0.999382712621237,0.308027728814652,0.296319909569467,0.766985782699233,0.999581041711064,-0.501480678567874,-0.482376830985289,0.629538276884907,0.998946756446904,-0.411505909573847,-0.331179066090524,0.74050923169094,0.998765900847869,0.0899747689940265,0.0865537416475259,0.931026236659851,0.999961895137857,-0.7195336383885,-0.6921325098288,0.48885411731908,0.995988708758992,-0.218052959820626,-0.277502597721923,0.781394211424264,0.999382712621237,-0.308027728814652,-0.296319909569467,0.766985782699233,0.999581041711064,0.501480678567874,0.482376830985289,0.629538276884907,0.998946756446904,0.411505909573847,0.331179066090524,0.74050923169094,0.998765900847869,-0.0899747689940265,-0.0865537416475259,0.931026236659851,0.999961895137857,2046.77906671536,1457.70318257402,2362.426,1435.073,2031.148,1908.445,1571.731,977.604,1764.235,1746.565
"ENSMUSG00000003555","Cyp17a1","cytochrome P450, family 17, subfamily a, polypeptide 1","NM_007809|NP_031835","13074","10090.ENSMUSP00000026012",NA,1039.39756729415,368.8625714623,1391.55915079863,3689.34965267413,1374.42338357364,3235.12681048802,3396.81433491049,2480.5015179597,2383.79744535381,885.944481177885,3227.74672247856,1222.70792273797,1581.66762878766,2744.55808502225,0.999833890762184,1.87110501945649,2.46594361861642,0.0136652842223971,0.45355729061956,0.413767299222392,0.722182734733965,0.470182136820954,0.999382712621237,0.0189849806518402,0.0250500551011614,0.980015037920851,0.999581041711064,-1.4573377202341,-1.92055020385032,0.0547884381402321,0.954688534593544,-1.85212003880465,-2.04293231265884,0.0410591390902866,0.704233787878337,-0.394782318570552,-0.520878766191609,0.602451228215457,0.999961895137857,-1.87110501945649,-2.46594361861642,0.0136652842223971,0.45355729061956,-0.413767299222392,-0.722182734733965,0.470182136820954,0.999382712621237,-0.0189849806518402,-0.0250500551011614,0.980015037920851,0.999581041711064,1.4573377202341,1.92055020385032,0.0547884381402321,0.954688534593544,1.85212003880465,2.04293231265884,0.0410591390902866,0.704233787878337,0.394782318570552,0.520878766191609,0.602451228215457,0.999961895137857,2073.03266247994,1076.35375583793,2574.1327,704.1301,1932.525,2540.4544,805.918,474.1398,1007.3814,1624.7832
"ENSMUSG00000003559","As3mt","arsenite methyltransferase","NM_020577|NP_065602|XM_006527235|XM_011247302|XM_030251005|XM_036161647|XP_006527298|XP_011245604|XP_030106865|XP_036017540|XR_003952795","57344","10090.ENSMUSP00000003655","GO:0008168|GO:0016740|GO:0016741|GO:0003824",1636.63136149023,3363.68025454019,1442.16465194078,2335.37660059486,3926.36126434982,2674.37873543075,1398.5954714325,586.120697233544,4666.80764874992,1572.62731650416,513.335110272464,985.41122018179,1195.11432557569,4548.07357075859,0.999833890762184,0.0842559548933388,0.0943022401399401,0.924869070473021,0.995988708758992,0.588543181888534,0.87134187276013,0.383567513792221,0.999382712621237,0.489004819921985,0.547259388398859,0.584200540457361,0.999581041711064,0.504287226995195,0.564388221935924,0.572489952767758,0.998946756446904,0.404748865028646,0.378986855270864,0.704697625005368,0.998765900847869,-0.0995383619665488,-0.111390754054704,0.911306491629002,0.999961895137857,-0.0842559548933388,-0.0943022401399401,0.924869070473021,0.995988708758992,-0.588543181888534,-0.87134187276013,0.383567513792221,0.999382712621237,-0.489004819921985,-0.547259388398859,0.584200540457361,0.999581041711064,-0.504287226995195,-0.564388221935924,0.572489952767758,0.998946756446904,-0.404748865028646,-0.378986855270864,0.704697625005368,0.998765900847869,0.0995383619665488,0.111390754054704,0.911306491629002,0.999961895137857,2203.19130207538,1415.25464311777,2650.453,2500.156,1762.912,1888.771,1697.2636,1221.208,1603.2527,631.5962
"ENSMUSG00000003680","Taf6l|Gm2518","TATA-box binding protein associated factor 6 like|interferon induced transmembrane protein 2 pseudogene","NM_001177798|NM_146092|NP_001171269|NP_666204|NR_015538","225895|100039957","10090.ENSMUSP00000135193","GO:0010628|GO:0051171|GO:0031325|GO:0045944|GO:0010467|GO:2001141|GO:0006367|GO:0006139|GO:0050789|GO:0006351|GO:0006807|GO:0044267|GO:0048518|GO:0071704|GO:0045893|GO:0043170|GO:0016570|GO:0044237|GO:0032774|GO:0016043|GO:0034641|GO:0043543|GO:0010604|GO:0044238|GO:0006464|GO:0018130|GO:0048522|GO:0071840|GO:0034654|GO:0051276|GO:0050794|GO:0019438|GO:0006325|GO:0006473|GO:0019222|GO:0006475|GO:0031323|GO:0051173|GO:0006725|GO:0018394|GO:1902680|GO:0043412|GO:0016070|GO:0044260|GO:0006357|GO:0036211|GO:0018193|GO:0009058|GO:0009891|GO:0006355|GO:0009893|GO:1901360|GO:0009889|GO:0045935|GO:0044271|GO:0016573|GO:0010557|GO:0010556|GO:0010468|GO:0019538|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0018205|GO:0009059|GO:1901564|GO:0044249|GO:0031328|GO:1901576|GO:0016569|GO:1901362|GO:0009987|GO:0051252|GO:0018393|GO:0080090|GO:0006352|GO:0090304|GO:0031326|GO:0060255|GO:0006996|GO:0019219|GO:0065007|GO:1903506|GO:1903508|GO:0051254|GO:0006366|GO:2000112|GO:0003713|GO:0098772|GO:0003712|GO:0140110|GO:0016251|GO:0031974|GO:0043233|GO:0005634|GO:0000428|GO:0043231|GO:1902494|GO:0005654|GO:1990234|GO:0070013|GO:0090575|GO:0110165|GO:0043226|GO:0005669|GO:0043229|GO:0061695|GO:0016591|GO:0032991|GO:0030880|GO:0005667|GO:0005622|GO:0055029|GO:0043227|GO:0031981",4517.235911756,4743.15336370034,2404.35721250049,2772.26928731471,3678.98963121365,3142.4436506288,2311.64242841254,1176.36351481916,4713.18371836871,2297.7431843846,1338.66011153395,4369.59964138702,4264.39189124837,3951.78194147893,0.999833890762184,-0.62409998665437,-1.07134851668066,0.284012752451171,0.995988708758992,-0.110843604998474,-0.251675786241797,0.801291674448161,0.999382712621237,0.21520199421181,0.369318750376814,0.711890151142385,0.999581041711064,0.513256381655896,0.881084768497812,0.378271940655734,0.998946756446904,0.839301980866179,1.2052840340249,0.228093671020796,0.998765900847869,0.326045599210283,0.559551598925689,0.575785326687286,0.999961895137857,0.62409998665437,1.07134851668066,0.284012752451171,0.995988708758992,0.110843604998474,0.251675786241797,0.801291674448161,0.999382712621237,-0.21520199421181,-0.369318750376814,0.711890151142385,0.999581041711064,-0.513256381655896,-0.881084768497812,0.378271940655734,0.998946756446904,-0.839301980866179,-1.2052840340249,0.228093671020796,0.998765900847869,-0.326045599210283,-0.559551598925689,0.575785326687286,0.999961895137857,3262.9868206248,1228.769447561,3004.525,4630.195,3244.435,2588.313,1343.1027,159.7478,1354.1465,260.1531
"ENSMUSG00000004054","Map3k11","mitogen-activated protein kinase kinase kinase 11","NM_022012|NP_071295|XM_006531752|XM_006531753|XM_030250951|XM_030250952|XM_030250953|XM_036161599|XP_006531815|XP_006531816|XP_030106811|XP_030106812|XP_030106813|XP_036017492|XR_004940149","26403","10090.ENSMUSP00000004156","GO:0043408|GO:0031399|GO:0051246|GO:0051171|GO:0009967|GO:0031325|GO:0031401|GO:1902531|GO:0050789|GO:0023014|GO:0051174|GO:0080135|GO:0046328|GO:0006807|GO:0065009|GO:0009966|GO:0006915|GO:0035556|GO:0051403|GO:0023056|GO:0043405|GO:0007254|GO:0044267|GO:0048518|GO:0071704|GO:0043549|GO:0043170|GO:0010562|GO:0044237|GO:0007154|GO:0012501|GO:0031098|GO:0010604|GO:0048522|GO:0044238|GO:0006464|GO:0048583|GO:0045937|GO:0006950|GO:0001932|GO:0050794|GO:0010647|GO:0033554|GO:0042325|GO:0019222|GO:0031323|GO:0051173|GO:0007165|GO:0019220|GO:0043412|GO:0044260|GO:0043406|GO:0023051|GO:0000187|GO:0044093|GO:0036211|GO:0000165|GO:0032147|GO:0050790|GO:0006793|GO:0043410|GO:0006796|GO:0048584|GO:0051347|GO:0043068|GO:0046330|GO:0009893|GO:0071900|GO:0008219|GO:0016310|GO:1902533|GO:0032874|GO:0019538|GO:0023052|GO:0008152|GO:0043067|GO:0043065|GO:0070302|GO:0001934|GO:0045859|GO:0010646|GO:0051716|GO:0042327|GO:0042981|GO:0043085|GO:0080134|GO:1901564|GO:0006468|GO:0009987|GO:0032872|GO:0071902|GO:0080090|GO:0050896|GO:0032268|GO:0051247|GO:0045860|GO:0060255|GO:0007017|GO:0065007|GO:0010941|GO:0033674|GO:0032270|GO:0010942|GO:0051338|GO:0070304|GO:0004707|GO:0016740|GO:0016773|GO:0003824|GO:0016772|GO:0004674|GO:0004712|GO:0140096|GO:0016301|GO:0004708|GO:0004672|GO:0043232|GO:0043228|GO:0005815|GO:0005622|GO:0015630|GO:0110165|GO:0005856|GO:0043226|GO:0005814|GO:0043229|GO:0005813",2259.5991909415,4068.42286942698,2617.94721568398,4001.36038576621,1951.30967213561,2353.72266740661,3153.43733223733,79.7670429115525,34.9970361143025,3444.66498537518,2157.25457229895,942.528870543184,5054.90745042397,98.1187710965237,0.999833890762184,-1.06325911182638,-0.869235274345788,0.384718457271267,0.995988708758992,-0.627535633793213,-0.678623085553561,0.497376711609364,0.999382712621237,-1.12820701844001,-0.922332966356015,0.356354923439541,0.999581041711064,0.435723478033167,0.356223758176291,0.721673000956178,0.998946756446904,-0.0649479066136273,-0.0444255875227392,0.964565165886189,0.998765900847869,-0.500671384646795,-0.409322290509195,0.682303159408628,0.999961895137857,1.06325911182638,0.869235274345788,0.384718457271267,0.995988708758992,0.627535633793213,0.678623085553561,0.497376711609364,0.999382712621237,1.12820701844001,0.922332966356015,0.356354923439541,0.999581041711064,-0.435723478033167,-0.356223758176291,0.721673000956178,0.998946756446904,0.0649479066136273,0.0444255875227392,0.964565165886189,0.998765900847869,0.500671384646795,0.409322290509195,0.682303159408628,0.999961895137857,2301.28843302585,1584.74223197813,1514.647,3164.011,2339.495,3309.654,1398.9818,1279.0315,1975.0544,978.2208
"ENSMUSG00000004231","Pax2","paired box 2","NM_001368743|NM_001368744|NM_001368745|NM_001368746|NM_001368747|NM_001368748|NM_001368749|NM_001368750|NM_001368751|NM_011037|NP_001355672|NP_001355673|NP_001355674|NP_001355675|NP_001355676|NP_001355677|NP_001355678|NP_001355679|NP_001355680|NP_035167","18504","10090.ENSMUSP00000004340","GO:0006725|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0006139|GO:0050789|GO:0006355|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0034645|GO:0009059|GO:0043170|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0050794|GO:0019219|GO:0048856|GO:0065007|GO:0019438|GO:1903506|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:1990837|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0031974|GO:0043233|GO:0005634|GO:0043231|GO:0000785|GO:0070013|GO:0110165|GO:0043226|GO:0000790|GO:0043229|GO:0000228|GO:0043232|GO:0043228|GO:0005622|GO:0005694|GO:0043227|GO:0031981",2750.31002366186,4655.02253139163,3883.6005069766,1133.47644203958,4087.15124368205,924.671890684456,5061.80957671533,708.889237592796,5053.18370778413,767.525272535581,2892.12687317437,3945.84792284699,5045.64355336096,3591.49382974836,0.999833890762184,-0.225457101170934,-0.286490845084616,0.774502204324597,0.995988708758992,-0.0366119994451013,-0.0615425466429389,0.950927131280676,0.999382712621237,0.336464519399318,0.427498543194719,0.669016245984189,0.999581041711064,0.188845101725832,0.239968199561947,0.810354909454795,0.998946756446904,0.561921620570252,0.597367857518071,0.5502618086511,0.998765900847869,0.373076518844419,0.474017547761991,0.635487393914774,0.999961895137857,0.225457101170934,0.286490845084616,0.774502204324597,0.995988708758992,0.0366119994451013,0.0615425466429389,0.950927131280676,0.999382712621237,-0.336464519399318,-0.427498543194719,0.669016245984189,0.999581041711064,-0.188845101725832,-0.239968199561947,0.810354909454795,0.998946756446904,-0.561921620570252,-0.597367857518071,0.5502618086511,0.998765900847869,-0.373076518844419,-0.474017547761991,0.635487393914774,0.999961895137857,3178.62518658534,1669.84184657984,3167.141,3702.666,3248.527,2508.538,2183.175,1346.835,1590.275,1944.631
"ENSMUSG00000005986","Ankrd13d","ankyrin repeat domain 13 family, member D","NM_026720|NP_080996","68423","10090.ENSMUSP00000053783","GO:0005737|GO:0110165|GO:0005622",4627.50647151995,370.403409250781,122.595153377375,5021.05682698269,1614.5153629169,1797.6128645122,4087.99448081536,3368.50168730486,3000.96391455945,3096.11574140648,1727.69615999575,1472.50967983744,538.086984927984,2680.49173807241,0.999833890762184,0.150646273932627,0.147855739912447,0.882456618624843,0.995988708758992,0.543877078581377,0.706128562182369,0.480108190927718,0.999382712621237,0.109142582960548,0.107120823647641,0.914693127336798,0.999581041711064,0.39323080464875,0.385933857729084,0.699545654653782,0.998946756446904,-0.0415036909720791,-0.0340809412948306,0.972812606299225,0.998765900847869,-0.434734495620829,-0.42666727297213,0.669621690931746,0.999961895137857,-0.150646273932627,-0.147855739912447,0.882456618624843,0.995988708758992,-0.543877078581377,-0.706128562182369,0.480108190927718,0.999382712621237,-0.109142582960548,-0.107120823647641,0.914693127336798,0.999581041711064,-0.39323080464875,-0.385933857729084,0.699545654653782,0.998946756446904,0.0415036909720791,0.0340809412948306,0.972812606299225,0.998765900847869,0.434734495620829,0.42666727297213,0.669621690931746,0.999961895137857,2394.71789110569,1559.28255124207,2773.918,2498.955,1902.98,2571.826,1052.291,3010.226,1013.294,3463.735
"ENSMUSG00000006270","Vax1","ventral anterior homeobox 1","NM_009501|NP_033527|XM_006526916|XP_006526979","22326","10090.ENSMUSP00000134642","GO:0006725|GO:0022008|GO:0051171|GO:0016070|GO:0044260|GO:0006357|GO:0032502|GO:0010467|GO:2001141|GO:0009058|GO:0007399|GO:0006139|GO:0050789|GO:0048731|GO:0006355|GO:0030154|GO:0006351|GO:1901360|GO:0006807|GO:0009889|GO:0044271|GO:0030182|GO:0007417|GO:0010556|GO:0010468|GO:0071704|GO:0008152|GO:0097659|GO:0046483|GO:0048869|GO:0034645|GO:0009059|GO:0043170|GO:0007275|GO:0044237|GO:0032774|GO:0044249|GO:1901576|GO:0034641|GO:0009987|GO:1901362|GO:0051252|GO:0044238|GO:0018130|GO:0080090|GO:0090304|GO:0034654|GO:0031326|GO:0060255|GO:0019219|GO:0050794|GO:0048856|GO:0065007|GO:0019438|GO:0032501|GO:1903506|GO:0048699|GO:0006366|GO:0019222|GO:2000112|GO:0031323|GO:0000987|GO:0003700|GO:0003676|GO:0000976|GO:0000977|GO:0001067|GO:0005488|GO:0003690|GO:0001217|GO:1990837|GO:0001227|GO:0043565|GO:0140110|GO:0097159|GO:0003677|GO:0000978|GO:0098772|GO:1901363|GO:0000981|GO:0043227|GO:0110165|GO:0043226|GO:0005634|GO:0043231|GO:0043229|GO:0005622",4580.71860729131,3664.08990982218,2128.38826787929,526.439351419478,4054.73845316656,979.214803752964,3109.06579528176,332.420725201611,1764.70259530614,1863.58138062742,3614.99174072578,2254.69418314799,4255.67791994383,2114.27758358749,0.999833890762184,-1.00959432228898,-1.2275464816738,0.219617262729031,0.995988708758992,-0.461966154184431,-0.742968293168442,0.457500876933536,0.999382712621237,0.6260457832627,0.760884016536991,0.446726346114854,0.999581041711064,0.547628168104553,0.665877934046066,0.505489125675439,0.998946756446904,1.63564010555168,1.66354709145736,0.0962029726447758,0.891498626544654,1.08801193744713,1.32240295354179,0.186034005883194,0.999961895137857,1.00959432228898,1.2275464816738,0.219617262729031,0.995988708758992,0.461966154184431,0.742968293168442,0.457500876933536,0.999382712621237,-0.6260457832627,-0.760884016536991,0.446726346114854,0.999581041711064,-0.547628168104553,-0.665877934046066,0.505489125675439,0.998946756446904,-1.63564010555168,-1.66354709145736,0.0962029726447758,0.891498626544654,-1.08801193744713,-1.32240295354179,0.186034005883194,0.999961895137857,2517.35723693956,1386.55449692102,2048.028,4122.404,2820.645,1327.414,1526.3217,648.1544,1051.8475,1132.7489
