Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Mmus_C57-6J_LVR_FLT_C_Rep1_M25_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	46-50	44.0	90.66666666666666	49.60666666666667	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	44.0	90.66666666666666	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	Mmus_C57-6J_LVR_FLT_C_Rep2_M26_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	297.0	0.0	39-50	43.0	87.20538720538721	49.45454545454545	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	42.0	86.66666666666667	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	Mmus_C57-6J_LVR_FLT_C_Rep3_M27_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	40-50	46.0	92.9530201342282	49.46308724832215	pass	pass	pass	pass	fail	warn	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	46.0	92.66666666666666	50.0	pass	pass	pass	pass	fail	warn	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	Mmus_C57-6J_LVR_FLT_C_Rep4_M28_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	296.0	0.0	36-50	45.0	89.52702702702703	49.435810810810814	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	88.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	Mmus_C57-6J_LVR_FLT_C_Rep5_M30_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	42-50	45.0	91.2751677852349	49.47315436241611	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	45.0	91.0	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Mmus_C57-6J_LVR_FLT_I_Rep1_M21_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	299.0	0.0	43-50	48.0	93.64548494983278	49.491638795986624	pass	pass	pass	pass	fail	fail	pass	warn	pass	fail	pass
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	48.0	93.33333333333333	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	fail	pass
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Mmus_C57-6J_LVR_FLT_I_Rep2_M22_trimmed.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	298.0	0.0	32-50	49.0	93.6241610738255	49.466442953020135	pass	pass	pass	pass	fail	fail	pass	warn	pass	warn	pass
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300.0	0.0	50.0	49.0	93.66666666666667	50.0	pass	pass	pass	pass	fail	fail	pass	pass	pass	warn	pass
