Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Rsem_mqc-generalstats-rsem-alignable_percent	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	9.333333333333343	44.0	49.60666666666667	18.181818181818183	300.0	5.33	16.0	0.7092198581560284	
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_raw	9.333333333333343	44.0	50.0	18.181818181818183	300.0				0.7866666666666666
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	12.794612794612789	43.0	49.45454545454545	27.27272727272727	297.0	9.76	29.0	2.6022304832713754	
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_raw	13.333333333333329	42.0	50.0	27.27272727272727	300.0				2.08
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	7.046979865771803	46.0	49.46308724832215	18.181818181818183	298.0	6.04	18.0	1.4336917562724014	
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_raw	7.333333333333343	46.0	50.0	18.181818181818183	300.0				1.7333333333333332
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	10.472972972972968	45.0	49.435810810810814	27.27272727272727	296.0	7.43	22.0	3.2490974729241873	
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_raw	11.666666666666671	45.0	50.0	27.27272727272727	300.0				2.4466666666666668
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	8.724832214765101	45.0	49.47315436241611	27.27272727272727	298.0	5.37	16.0	1.4184397163120568	
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_raw	9.0	45.0	50.0	18.181818181818183	300.0				1.7133333333333334
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	6.3545150501672225	48.0	49.491638795986624	27.27272727272727	299.0	7.02	21.0	4.545454545454546	
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_raw	6.666666666666671	48.0	50.0	27.27272727272727	300.0				1.3466666666666667
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	6.375838926174495	49.0	49.466442953020135	18.181818181818183	298.0	3.36	10.0	2.3972602739726026	
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_raw	6.333333333333329	49.0	50.0	18.181818181818183	300.0				1.7266666666666666
Mmus_C57-6J_LVR_GC_C_Rep1_M36	9.764309764309758	45.0	49.50841750841751	18.181818181818183	297.0	5.05	15.0	0.7117437722419928	
Mmus_C57-6J_LVR_GC_C_Rep1_M36_raw	11.0	45.0	50.0	18.181818181818183	300.0				1.9733333333333332
Mmus_C57-6J_LVR_GC_C_Rep2_M37	10.06711409395973	46.0	49.50335570469799	27.27272727272727	298.0	6.71	20.0	2.5179856115107913	
Mmus_C57-6J_LVR_GC_C_Rep2_M37_raw	10.0	46.0	50.0	18.181818181818183	300.0				1.6533333333333333
Mmus_C57-6J_LVR_GC_C_Rep3_M38	9.364548494983282	47.0	49.62876254180602	27.27272727272727	299.0	8.7	26.0	4.593639575971731	
Mmus_C57-6J_LVR_GC_C_Rep3_M38_raw	9.333333333333343	46.0	50.0	27.27272727272727	300.0				1.0733333333333333
Mmus_C57-6J_LVR_GC_C_Rep4_M39	8.417508417508415	46.0	49.43434343434343	18.181818181818183	297.0	11.78	35.0	5.166051660516605	
Mmus_C57-6J_LVR_GC_C_Rep4_M39_raw	9.0	46.0	50.0	18.181818181818183	300.0				2.12
Mmus_C57-6J_LVR_GC_C_Rep5_M40	7.333333333333343	47.0	49.49	18.181818181818183	300.0	9.33	28.0	4.6263345195729535	
Mmus_C57-6J_LVR_GC_C_Rep5_M40_raw	7.666666666666671	46.0	50.0	18.181818181818183	300.0				1.02
Mmus_C57-6J_LVR_GC_I_Rep1_M31	7.666666666666671	48.0	49.60333333333333	9.090909090909092	300.0	8.67	26.0	6.643356643356643	
Mmus_C57-6J_LVR_GC_I_Rep1_M31_raw	7.666666666666671	47.0	50.0	9.090909090909092	300.0				0.7933333333333334
Mmus_C57-6J_LVR_GC_I_Rep2_M32	9.666666666666671	49.0	49.54	18.181818181818183	300.0	5.33	16.0	3.4246575342465753	
Mmus_C57-6J_LVR_GC_I_Rep2_M32_raw	9.666666666666671	49.0	50.0	18.181818181818183	300.0				0.9199999999999999
