Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_read_dist	20	21	20	1165257	3	0.0	918425	1	0.0	1620350	0	0.0	28603176	15	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	1	14.285714285714285	4.761904761904762	0.0	71.42857142857143	0.0	4.761904761904762	4.761904761904762	0.0	0.0	0.0	4.761904761904762	2705264	2916182	0	1	2679011	2787843	0	0
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_read_dist	35	35	33	1165257	0	0.0	918425	0	0.0	1620350	5	0.0	28603176	23	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	2	0.0	0.0	14.285714285714285	65.71428571428571	0.0	11.428571428571429	11.428571428571429	0.0	0.0	2.857142857142857	5.714285714285714	2705264	2916182	0	4	2679011	2787843	1	0
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_read_dist	23	24	21	1165257	2	0.0	918425	1	0.0	1620350	3	0.0	28603176	13	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	3	8.333333333333332	4.166666666666666	12.5	54.166666666666664	0.0	4.166666666666666	8.333333333333332	0.0	0.0	0.0	12.5	2705264	2916182	1	1	2679011	2787843	0	0
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_read_dist	28	29	28	1165257	4	0.0	918425	0	0.0	1620350	6	0.0	28603176	14	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	1	13.793103448275861	0.0	20.689655172413794	48.275862068965516	0.0	6.896551724137931	10.344827586206897	0.0	3.4482758620689653	3.4482758620689653	3.4482758620689653	2705264	2916182	1	2	2679011	2787843	0	1
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_read_dist	20	20	17	1165257	0	0.0	918425	1	0.0	1620350	3	0.0	28603176	10	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	3	0.0	5.0	15.0	50.0	0.0	5.0	15.0	0.0	0.0	0.0	15.0	2705264	2916182	2	1	2679011	2787843	0	0
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_read_dist	26	28	27	1165257	9	0.01	918425	1	0.0	1620350	5	0.0	28603176	8	0.0	863962	0	0.0	0.0	0.0	881642	2	0.0	0.0	0.0	1	32.142857142857146	3.571428571428571	17.857142857142858	28.57142857142857	0.0	0.0	7.142857142857142	7.142857142857142	7.142857142857142	7.142857142857142	3.571428571428571	2705264	2916182	2	0	2679011	2787843	0	0
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_read_dist	13	14	12	1165257	3	0.0	918425	0	0.0	1620350	5	0.0	28603176	4	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	2	21.428571428571427	0.0	35.714285714285715	28.57142857142857	0.0	0.0	0.0	0.0	0.0	0.0	14.285714285714285	2705264	2916182	0	0	2679011	2787843	0	0
Mmus_C57-6J_LVR_GC_C_Rep1_M36_read_dist	18	18	17	1165257	1	0.0	918425	1	0.0	1620350	2	0.0	28603176	11	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	1	5.555555555555555	5.555555555555555	11.11111111111111	61.111111111111114	0.0	0.0	5.555555555555555	0.0	0.0	5.555555555555555	5.555555555555555	2705264	2916182	1	0	2679011	2787843	1	0
Mmus_C57-6J_LVR_GC_C_Rep2_M37_read_dist	27	27	24	1165257	3	0.0	918425	0	0.0	1620350	4	0.0	28603176	11	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	3	11.11111111111111	0.0	14.814814814814813	40.74074074074074	0.0	3.7037037037037033	14.814814814814813	0.0	3.7037037037037033	7.4074074074074066	11.11111111111111	2705264	2916182	3	1	2679011	2787843	1	1
Mmus_C57-6J_LVR_GC_C_Rep3_M38_read_dist	29	30	29	1165257	7	0.01	918425	1	0.0	1620350	9	0.01	28603176	10	0.0	863962	0	0.0	0.0	0.0	881642	0	0.0	0.0	0.0	1	23.333333333333332	3.3333333333333335	30.0	33.33333333333333	0.0	6.666666666666667	6.666666666666667	0.0	0.0	0.0	3.3333333333333335	2705264	2916182	0	2	2679011	2787843	0	0
