Sample Name	organism	paired_end	has_ERCC	Factor Value[Spaceflight]	Factor Value[Dissection Condition]	Raw Data File (nucleotide sequencing)	Raw Data File (nucleotide sequencing).1	Raw Spectral Data File (mass spectrometry)	Raw Data File (RNA Sequencing (RNA-Seq))	GLDS-#	Device Type	Comment[Sample Name Description]	Comment[Original Submitted Sample Name]	Characteristics[organism]	Characteristics[strain]	Parameter Value[habitat,http://purl.obolibrary.org/obo/ENVO_01000739,ENVO]	Parameter Value[duration,http://www.ebi.ac.uk/efo/EFO_0000433,EFO]	Parameter Value[Sample Preservation Method]	Rep #
Mmus_C57-6J_LVR_GC_I_Rep1_M31	Mus musculus	False	False	Ground Control	Upon euthanasia			GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-31.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse31_Liver	RR1_GC_M31_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 1
Mmus_C57-6J_LVR_GC_I_Rep2_M32	Mus musculus	False	False	Ground Control	Upon euthanasia			GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-32.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse32_Liver	RR1_GC_M32_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 2
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	Mus musculus	False	False	Space Flight	Upon euthanasia			GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-FLT-21_.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Flight_Mouse21_Liver	RR1_FLT_M21_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 1
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	Mus musculus	False	False	Space Flight	Upon euthanasia			GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-FLT-22_.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Flight_Mouse22_Liver	RR1_FLT_M22_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 2
Mmus_C57-6J_LVR_GC_C_Rep1_M36	Mus musculus	False	False	Ground Control	Carcass	GLDS-48_epitranscriptomics_N44_S40_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N44_S40_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-36.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse36_Liver	RR1_GC_M36_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 2
Mmus_C57-6J_LVR_GC_C_Rep2_M37	Mus musculus	False	False	Ground Control	Carcass	GLDS-48_epitranscriptomics_N45_ACTTGA_L005_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N45_ACTTGA_L005_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-37.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse37_Liver	RR1_GC_M37_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 3
Mmus_C57-6J_LVR_GC_C_Rep3_M38	Mus musculus	False	False	Ground Control	Carcass	GLDS-48_epitranscriptomics_N46_GATCAG_L005_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N46_GATCAG_L005_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-38.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse38_Liver	RR1_GC_M38_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 4
Mmus_C57-6J_LVR_GC_C_Rep4_M39	Mus musculus	False	False	Ground Control	Carcass	GLDS-48_epitranscriptomics_N47_TAGCTT_L005_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N47_TAGCTT_L005_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-39.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse39_Liver	RR1_GC_M39_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 5
Mmus_C57-6J_LVR_GC_C_Rep5_M40	Mus musculus	False	False	Ground Control	Carcass	GLDS-48_epitranscriptomics_N48_CTTGTA_L005_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N48_CTTGTA_L005_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-GC-40.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Ground Control_Mouse40_Liver	RR1_GC_M40_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 6
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	Mus musculus	False	False	Space Flight	Carcass	GLDS-48_epitranscriptomics_N37_ACTTGA_L004_R1_001.fastq.gz	GLDS-48_epitranscriptomics_N37_ACTTGA_L004_R1_001.fastq.gz	GLDS-48_proteomics_RR1-NASA.raw.tar.gz	GLDS-48_transcriptomics_N-FLT-25.tar.gz	GLDS-48_Histology_ORO.tar.gz, GLDS-48_Histology_HE.tar.gz	GLDS-48	nucleotide sequencing, nucleotide sequencing, mass spectrometry, RNA Sequencing (RNA-Seq), imaging	Flight_Mouse25_Liver	RR1_FLT_M25_LVR	Mus musculus	C57BL/6J	Rodent Habitat	37 day	Rep 1
