Sample	se_sense	se_antisense	failed
Mmus_C57-6J_LVR_FLT_C_Rep1_M25_infer_expt	0.0769	0.8846	0.0385
Mmus_C57-6J_LVR_FLT_C_Rep2_M26_infer_expt	0.0816	0.8163	0.102
Mmus_C57-6J_LVR_FLT_C_Rep3_M27_infer_expt	0.1786	0.8214	0.0
Mmus_C57-6J_LVR_FLT_C_Rep4_M28_infer_expt	0.0882	0.8235	0.0882
Mmus_C57-6J_LVR_FLT_C_Rep5_M30_infer_expt	0.0435	0.8696	0.087
Mmus_C57-6J_LVR_FLT_I_Rep1_M21_infer_expt	0.0303	0.9091	0.0606
Mmus_C57-6J_LVR_FLT_I_Rep2_M22_infer_expt	0.0741	0.8889	0.037
Mmus_C57-6J_LVR_GC_C_Rep1_M36_infer_expt	0.069	0.7931	0.1379
Mmus_C57-6J_LVR_GC_C_Rep2_M37_infer_expt	0.0	0.9655	0.0345
Mmus_C57-6J_LVR_GC_C_Rep3_M38_infer_expt	0.1176	0.7353	0.1471
Mmus_C57-6J_LVR_GC_C_Rep4_M39_infer_expt	0.0909	0.8409	0.0682
Mmus_C57-6J_LVR_GC_C_Rep5_M40_infer_expt	0.0526	0.9211	0.0263
Mmus_C57-6J_LVR_GC_I_Rep1_M31_infer_expt	0.025	0.825	0.15
Mmus_C57-6J_LVR_GC_I_Rep2_M32_infer_expt	0.0	0.9333	0.0667
