Total Reads                   54
Total Tags                    55
Total Assigned Tags           48
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             5                   0.00              
5'UTR_Exons         962658              1                   0.00              
3'UTR_Exons         1658717             13                  0.01              
Introns             28945478            18                  0.00              
TSS_up_1kb          854805              1                   0.00              
TSS_up_5kb          3764141             4                   0.00              
TSS_up_10kb         6431897             7                   0.00              
TES_down_1kb        897960              0                   0.00              
TES_down_5kb        3730691             1                   0.00              
TES_down_10kb       6414154             4                   0.00              
=====================================================================
