Total Reads                   45
Total Tags                    48
Total Assigned Tags           45
=====================================================================
Group               Total_bases         Tag_count           Tags/Kb             
CDS_Exons           1169802             14                  0.01              
5'UTR_Exons         962658              2                   0.00              
3'UTR_Exons         1658717             14                  0.01              
Introns             28945478            7                   0.00              
TSS_up_1kb          854805              0                   0.00              
TSS_up_5kb          3764141             4                   0.00              
TSS_up_10kb         6431897             7                   0.00              
TES_down_1kb        897960              1                   0.00              
TES_down_5kb        3730691             1                   0.00              
TES_down_10kb       6414154             1                   0.00              
=====================================================================
