"","sample","group"
"1","GSM2775174","(pre-confinement)"
"2","GSM2775175","(pre-confinement)"
"3","GSM2775176","(pre-confinement)"
"4","GSM2775177","(pre-confinement)"
"5","GSM2775178","(pre-confinement)"
"6","GSM2775179","(pre-confinement)"
"7","GSM2775180","(pre-confinement)"
"8","GSM2775181","(post-confinement for 14 days)"
"9","GSM2775182","(post-confinement for 14 days)"
"10","GSM2775183","(post-confinement for 14 days)"
"11","GSM2775184","(post-confinement for 14 days)"
"12","GSM2775185","(post-confinement for 14 days)"
"13","GSM2775186","(post-confinement for 14 days)"
"14","GSM2775187","(post-confinement for 14 days)"
"15","GSM2775188","(pre-confinement)"
"16","GSM2775189","(pre-confinement)"
"17","GSM2775190","(pre-confinement)"
"18","GSM2775191","(pre-confinement)"
"19","GSM2775192","(pre-confinement)"
"20","GSM2775193","(pre-confinement)"
"21","GSM2775194","(pre-confinement)"
"22","GSM2775195","(pre-confinement)"
"23","GSM2775196","(post-confinement for 14 days)"
"24","GSM2775197","(post-confinement for 14 days)"
"25","GSM2775198","(post-confinement for 14 days)"
"26","GSM2775199","(post-confinement for 14 days)"
"27","GSM2775200","(post-confinement for 14 days)"
"28","GSM2775201","(post-confinement for 14 days)"
"29","GSM2775202","(post-confinement for 14 days)"
"30","GSM2775203","(post-confinement for 14 days)"
